source,destination,link_id,used_rate_c,usage,capacity_c
26,23,101,265.624,0.474329,560
26,18,61,403.337,0.696158,579.376
26,21,57,333.943,0.582454,573.339
26,19,55,394.82,0.692253,570.341
26,22,39,163.342,0.253462,644.444
25,15,73,343.482,0.605504,567.267
25,24,29,640.895,0.985407,650.386
25,10,27,626.532,1,626.532
24,23,33,372.807,0.665727,560
24,22,31,409.312,0.635139,644.444
24,25,28,650.386,1,650.386
23,26,100,318.508,0.568764,560
23,15,71,567.267,1,567.267
23,18,69,427.656,0.738133,579.376
23,21,37,367.933,0.641737,573.339
23,22,35,315.218,0.489131,644.444
23,24,32,336.354,0.600633,560
22,21,41,342.146,0.59676,573.339
22,26,38,199.009,0.308806,644.444
22,23,34,267.223,0.414656,644.444
22,24,30,360.018,0.558649,644.444
21,26,56,287.664,0.501734,573.339
21,19,51,361.145,0.63321,570.341
21,20,43,368.221,0.571588,644.207
21,22,40,298.749,0.521068,573.339
21,23,36,319.015,0.556416,573.339
20,19,47,227.652,0.399151,570.341
20,0,45,318.246,0.491797,647.108
20,21,42,334.651,0.519477,644.207
19,18,59,453.69,0.783067,579.376
19,26,54,346.496,0.607525,570.341
19,1,53,392.252,0.610445,642.567
19,21,50,312.594,0.548084,570.341
19,0,49,334.52,0.516946,647.108
19,20,46,225.608,0.395567,570.341
18,23,68,398.515,0.687835,579.376
18,15,67,567.267,1,567.267
18,17,65,651.954,0.992142,657.117
18,3,63,535.232,0.923808,579.376
18,26,60,407.122,0.702691,579.376
18,19,58,442.463,0.763688,579.376
17,4,87,478.941,0.670026,714.81
17,16,85,457.61,0.698749,654.898
17,15,83,308.131,0.543184,567.267
17,18,64,641.131,0.975671,657.117
16,12,97,643.725,0.872105,738.128
16,13,89,466.677,0.608347,767.123
16,17,84,471.342,0.719717,654.898
16,15,81,459.863,0.810665,567.267
15,17,82,281.61,0.496433,567.267
15,16,80,444.847,0.784194,567.267
15,14,75,648.337,0.907672,714.286
15,25,72,348.639,0.614594,567.267
15,23,70,567.267,1,567.267
15,18,66,567.267,1,567.267
14,12,79,302.653,0.410029,738.128
14,10,77,424.328,0.677265,626.532
14,15,74,587.827,0.822958,714.286
13,6,95,421.812,0.51166,824.399
13,5,93,167.43,0.218257,767.123
13,4,91,482.165,0.674535,714.81
13,16,88,538.901,0.702496,767.123
12,11,99,445.293,0.656607,678.173
12,16,96,575.065,0.779086,738.128
12,14,78,355.537,0.481675,738.128
11,12,98,350.82,0.517302,678.173
11,10,23,327.077,0.522044,626.532
11,9,21,251.263,0.319553,786.297
11,8,19,396.995,0.459829,863.354
10,14,76,365.395,0.583202,626.532
10,25,26,586.255,0.935714,626.532
10,9,25,379.946,0.48321,786.297
10,11,22,382.503,0.610509,626.532
9,10,24,331.454,0.421538,786.297
9,11,20,164.469,0.209169,786.297
9,8,17,383.877,0.444635,863.354
8,11,18,319.583,0.370164,863.354
8,9,16,313.424,0.363031,863.354
8,7,15,521.841,0.604434,863.354
7,8,14,505.803,0.585858,863.354
7,6,13,542.596,0.658171,824.399
6,13,94,388.111,0.470781,824.399
6,7,12,645.795,0.783353,824.399
6,5,11,385.858,0.468047,824.399
5,13,92,198.249,0.258431,767.123
5,6,10,421.97,0.511851,824.399
5,4,9,481.431,0.673509,714.81
4,13,90,433.264,0.606125,714.81
4,17,86,532.873,0.745475,714.81
4,5,8,431.509,0.603669,714.81
4,3,7,645.402,0.9029,714.81
3,18,62,490.105,0.845919,579.376
3,4,6,643.437,0.90015,714.81
3,2,5,486.934,0.597406,815.081
2,3,4,439.842,0.53963,815.081
2,1,3,468.878,0.729696,642.567
1,19,52,342.591,0.533161,642.567
1,2,2,536.254,0.83455,642.567
1,0,1,301.186,0.465434,647.108
0,19,48,277.647,0.429058,647.108
0,20,44,263.187,0.406713,647.108
0,1,0,357.057,0.551774,647.108
