source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,21.3478,10,2.13478,1,1,1
1,0,1,23.4826,11,2.13478,1,1,1
0,2,2,23.4826,11,2.13478,1,2,2
2,0,3,17.0783,8,2.13478,1,2,2
0,3,4,4.26956,2,2.13478,2,3,3
3,0,5,25.6174,12,2.13478,2,3,3
0,4,6,29.8869,14,2.13478,3,4,4
4,0,7,14.9435,7,2.13478,4,4.25,4
0,5,8,12.8087,6,2.13478,2,5,5
5,0,9,2.13478,1,2.13478,5,6,5
0,6,10,14.9435,7,2.13478,3,6,6
6,0,11,21.3478,10,2.13478,6,6.83333,6
0,7,12,4.26956,2,2.13478,2,7,7
7,0,13,25.6174,12,2.13478,6,7.83333,7
0,8,14,23.4826,11,2.13478,12,7.75,7
8,0,15,2.13478,1,2.13478,13,7.84615,7
0,9,16,23.4826,11,2.13478,12,7.16667,6
9,0,17,6.40434,3,2.13478,10,6.9,6
0,10,18,29.8869,14,2.13478,12,5.91667,5
10,0,19,4.26956,2,2.13478,12,6.08333,5
0,11,20,12.8087,6,2.13478,14,7,6
11,0,21,14.9435,7,2.13478,12,7,6
0,12,22,10.6739,5,2.13478,16,6.125,5
12,0,23,23.4826,11,2.13478,9,5.88889,5
0,13,24,6.40434,3,2.13478,1,5,5
13,0,25,17.0783,8,2.13478,6,6,5
0,14,26,12.8087,6,2.13478,11,5.45455,4
14,0,27,10.6739,5,2.13478,10,5.5,4
0,15,28,29.8869,14,2.13478,13,4.46154,3
15,0,29,25.6174,12,2.13478,9,4.33333,3
0,16,30,27.7522,13,2.13478,10,5.4,4
16,0,31,27.7522,13,2.13478,16,5.375,4
0,17,32,21.3478,10,2.13478,9,4.77778,3
17,0,33,19.213,9,2.13478,13,5.15385,3
0,18,34,2.13478,1,2.13478,12,3.91667,2
18,0,35,29.8869,14,2.13478,11,4,2
0,19,36,14.9435,7,2.13478,2,1.5,1
19,0,37,27.7522,13,2.13478,2,1.5,1
0,20,38,12.8087,6,2.13478,1,1,1
20,0,39,19.213,9,2.13478,1,1,1
0,21,40,25.6174,12,2.13478,3,2.33333,2
21,0,41,2.13478,1,2.13478,3,2.33333,2
0,22,42,4.26956,2,2.13478,6,3.5,3
22,0,43,6.40434,3,2.13478,5,3.4,3
0,23,44,4.26956,2,2.13478,9,3.66667,3
23,0,45,23.4826,11,2.13478,8,3.625,3
0,24,46,6.40434,3,2.13478,12,4.66667,4
24,0,47,23.4826,11,2.13478,7,4.42857,4
0,25,48,14.9435,7,2.13478,15,5.33333,4
25,0,49,10.6739,5,2.13478,11,5.27273,4
0,26,50,23.4826,11,2.13478,5,3,2
26,0,51,29.8869,14,2.13478,5,3,2
1,2,52,8.53913,4,2.13478,1,1,1
2,1,53,12.8087,6,2.13478,1,1,1
1,3,54,27.7522,13,2.13478,1,2,2
3,1,55,27.7522,13,2.13478,1,2,2
1,4,56,29.8869,14,2.13478,1,3,3
4,1,57,27.7522,13,2.13478,1,3,3
1,5,58,25.6174,12,2.13478,1,4,4
5,1,59,25.6174,12,2.13478,1,4,4
1,6,60,23.4826,11,2.13478,2,5,5
6,1,61,17.0783,8,2.13478,2,5,5
1,7,62,8.53913,4,2.13478,2,6,6
7,1,63,29.8869,14,2.13478,2,6,6
1,8,64,14.9435,7,2.13478,16,7.875,7
8,1,65,23.4826,11,2.13478,14,8,7
1,9,66,23.4826,11,2.13478,14,7.35714,6
9,1,67,21.3478,10,2.13478,9,7.22222,6
1,10,68,8.53913,4,2.13478,13,6,5
10,1,69,19.213,9,2.13478,12,6.08333,5
1,11,70,10.6739,5,2.13478,15,6.93333,6
11,1,71,8.53913,4,2.13478,15,7,6
1,12,72,23.4826,11,2.13478,11,6.18182,5
12,1,73,19.213,9,2.13478,10,6,5
1,13,74,19.213,9,2.13478,1,4,4
13,1,75,21.3478,10,2.13478,1,4,4
1,14,76,19.213,9,2.13478,10,5.5,4
14,1,77,14.9435,7,2.13478,8,5.375,4
1,15,78,23.4826,11,2.13478,14,5.21429,3
15,1,79,12.8087,6,2.13478,10,4.6,3
1,16,80,21.3478,10,2.13478,14,6.21429,4
16,1,81,17.0783,8,2.13478,13,5.61538,4
1,17,82,23.4826,11,2.13478,11,5.54545,3
17,1,83,10.6739,5,2.13478,7,5.14286,3
1,18,84,8.53913,4,2.13478,16,4.375,2
18,1,85,12.8087,6,2.13478,11,4.18182,2
1,19,86,6.40434,3,2.13478,3,2,1
19,1,87,29.8869,14,2.13478,2,1.5,1
1,20,88,23.4826,11,2.13478,1,2,2
20,1,89,29.8869,14,2.13478,1,2,2
1,21,90,23.4826,11,2.13478,2,2.5,2
21,1,91,2.13478,1,2.13478,3,2.66667,2
1,22,92,21.3478,10,2.13478,6,3.83333,3
22,1,93,27.7522,13,2.13478,7,3.85714,3
1,23,94,2.13478,1,2.13478,11,4.09091,3
23,1,95,23.4826,11,2.13478,9,4.33333,3
1,24,96,12.8087,6,2.13478,14,4.92857,4
24,1,97,17.0783,8,2.13478,13,4.92308,4
1,25,98,10.6739,5,2.13478,13,5.69231,4
25,1,99,2.13478,1,2.13478,15,5.8,4
1,26,100,21.3478,10,2.13478,5,3.2,2
26,1,101,23.4826,11,2.13478,5,3.2,2
2,3,102,4.26956,2,2.13478,1,1,1
3,2,103,6.40434,3,2.13478,1,1,1
2,4,104,6.40434,3,2.13478,1,2,2
4,2,105,29.8869,14,2.13478,1,2,2
2,5,106,8.53913,4,2.13478,1,3,3
5,2,107,19.213,9,2.13478,1,3,3
2,6,108,21.3478,10,2.13478,2,4,4
6,2,109,19.213,9,2.13478,2,4,4
2,7,110,21.3478,10,2.13478,2,5,5
7,2,111,17.0783,8,2.13478,2,5,5
2,8,112,14.9435,7,2.13478,2,6,6
8,2,113,27.7522,13,2.13478,2,6,6
2,9,114,4.26956,2,2.13478,4,6.5,6
9,2,115,14.9435,7,2.13478,4,6.5,6
2,10,116,10.6739,5,2.13478,13,7.53846,5
10,2,117,4.26956,2,2.13478,14,7.35714,5
2,11,118,14.9435,7,2.13478,4,6.5,6
11,2,119,19.213,9,2.13478,19,7.94737,6
2,12,120,17.0783,8,2.13478,3,5,5
12,2,121,25.6174,12,2.13478,19,7.05263,5
2,13,122,8.53913,4,2.13478,1,3,3
13,2,123,29.8869,14,2.13478,1,3,3
2,14,124,19.213,9,2.13478,15,6.86667,4
14,2,125,14.9435,7,2.13478,15,6.66667,4
2,15,126,6.40434,3,2.13478,15,5.93333,3
15,2,127,23.4826,11,2.13478,22,6.04545,3
2,16,128,6.40434,3,2.13478,3,4,4
16,2,129,29.8869,14,2.13478,17,6.76471,4
2,17,130,21.3478,10,2.13478,1,3,3
17,2,131,29.8869,14,2.13478,15,5.93333,3
2,18,132,14.9435,7,2.13478,13,4.92308,2
18,2,133,25.6174,12,2.13478,14,5.35714,2
2,19,134,21.3478,10,2.13478,3,3,2
19,2,135,21.3478,10,2.13478,3,3,2
2,20,136,25.6174,12,2.13478,1,3,3
20,2,137,29.8869,14,2.13478,1,3,3
2,21,138,27.7522,13,2.13478,3,3.66667,3
21,2,139,17.0783,8,2.13478,3,3.66667,3
2,22,140,29.8869,14,2.13478,8,4.875,4
22,2,141,17.0783,8,2.13478,8,5,4
2,23,142,25.6174,12,2.13478,11,4.90909,3
23,2,143,12.8087,6,2.13478,13,5,3
2,24,144,8.53913,4,2.13478,15,5.73333,4
24,2,145,6.40434,3,2.13478,14,5.78571,4
2,25,146,19.213,9,2.13478,13,6.76923,4
25,2,147,25.6174,12,2.13478,12,6.66667,4
2,26,148,27.7522,13,2.13478,6,4,3
26,2,149,19.213,9,2.13478,6,4.33333,3
3,4,150,8.53913,4,2.13478,1,1,1
4,3,151,23.4826,11,2.13478,1,1,1
3,5,152,19.213,9,2.13478,1,2,2
5,3,153,2.13478,1,2.13478,1,2,2
3,6,154,2.13478,1,2.13478,2,3,3
6,3,155,8.53913,4,2.13478,2,3,3
3,7,156,23.4826,11,2.13478,2,4,4
7,3,157,6.40434,3,2.13478,2,4,4
3,8,158,4.26956,2,2.13478,2,5,5
8,3,159,27.7522,13,2.13478,2,5,5
3,9,160,29.8869,14,2.13478,4,5.5,5
9,3,161,10.6739,5,2.13478,4,5.5,5
3,10,162,12.8087,6,2.13478,2,4,4
10,3,163,27.7522,13,2.13478,2,4,4
3,11,164,23.4826,11,2.13478,7,5.28571,5
11,3,165,14.9435,7,2.13478,9,5.22222,5
3,12,166,14.9435,7,2.13478,5,4,4
12,3,167,21.3478,10,2.13478,5,4,4
3,13,168,23.4826,11,2.13478,1,2,2
13,3,169,27.7522,13,2.13478,1,2,2
3,14,170,25.6174,12,2.13478,1,3,3
14,3,171,25.6174,12,2.13478,1,3,3
3,15,172,14.9435,7,2.13478,1,2,2
15,3,173,27.7522,13,2.13478,1,2,2
3,16,174,12.8087,6,2.13478,3,3,3
16,3,175,21.3478,10,2.13478,3,3,3
3,17,176,2.13478,1,2.13478,2,2,2
17,3,177,12.8087,6,2.13478,2,2,2
3,18,178,12.8087,6,2.13478,1,1,1
18,3,179,21.3478,10,2.13478,1,1,1
3,19,180,23.4826,11,2.13478,5,3.4,2
19,3,181,17.0783,8,2.13478,3,3,2
3,20,182,21.3478,10,2.13478,8,4.375,3
20,3,183,2.13478,1,2.13478,8,4.25,3
3,21,184,23.4826,11,2.13478,4,3.5,3
21,3,185,19.213,9,2.13478,4,3.5,3
3,22,186,4.26956,2,2.13478,2,3,3
22,3,187,23.4826,11,2.13478,1,3,3
3,23,188,29.8869,14,2.13478,1,2,2
23,3,189,14.9435,7,2.13478,1,2,2
3,24,190,29.8869,14,2.13478,1,3,3
24,3,191,19.213,9,2.13478,1,3,3
3,25,192,19.213,9,2.13478,1,3,3
25,3,193,19.213,9,2.13478,1,3,3
3,26,194,8.53913,4,2.13478,1,2,2
26,3,195,19.213,9,2.13478,1,2,2
4,5,196,6.40434,3,2.13478,1,1,1
5,4,197,6.40434,3,2.13478,1,1,1
4,6,198,8.53913,4,2.13478,2,2,2
6,4,199,10.6739,5,2.13478,2,2,2
4,7,200,19.213,9,2.13478,2,3,3
7,4,201,14.9435,7,2.13478,2,3,3
4,8,202,25.6174,12,2.13478,2,4,4
8,4,203,6.40434,3,2.13478,2,4,4
4,9,204,21.3478,10,2.13478,3,5,5
9,4,205,25.6174,12,2.13478,3,5,5
4,10,206,6.40434,3,2.13478,7,5.14286,4
10,4,207,17.0783,8,2.13478,4,4.5,4
4,11,208,8.53913,4,2.13478,4,4.5,4
11,4,209,10.6739,5,2.13478,4,4.5,4
4,12,210,8.53913,4,2.13478,2,3,3
12,4,211,19.213,9,2.13478,2,3,3
4,13,212,14.9435,7,2.13478,1,1,1
13,4,213,29.8869,14,2.13478,1,1,1
4,14,214,14.9435,7,2.13478,3,3.66667,3
14,4,215,17.0783,8,2.13478,3,3.66667,3
4,15,216,14.9435,7,2.13478,1,2,2
15,4,217,29.8869,14,2.13478,1,2,2
4,16,218,29.8869,14,2.13478,2,2,2
16,4,219,29.8869,14,2.13478,2,2,2
4,17,220,14.9435,7,2.13478,1,1,1
17,4,221,8.53913,4,2.13478,1,1,1
4,18,222,8.53913,4,2.13478,1,2,2
18,4,223,25.6174,12,2.13478,1,2,2
4,19,224,6.40434,3,2.13478,6,5.16667,3
19,4,225,8.53913,4,2.13478,5,5,3
4,20,226,25.6174,12,2.13478,7,5.57143,4
20,4,227,14.9435,7,2.13478,9,5.55556,4
4,21,228,27.7522,13,2.13478,4,4.5,4
21,4,229,23.4826,11,2.13478,5,4.8,4
4,22,230,14.9435,7,2.13478,2,4,4
22,4,231,17.0783,8,2.13478,2,4,4
4,23,232,12.8087,6,2.13478,2,3,3
23,4,233,29.8869,14,2.13478,2,3,3
4,24,234,12.8087,6,2.13478,3,4,4
24,4,235,25.6174,12,2.13478,2,4,4
4,25,236,21.3478,10,2.13478,1,3,3
25,4,237,6.40434,3,2.13478,1,3,3
4,26,238,14.9435,7,2.13478,3,3.66667,3
26,4,239,21.3478,10,2.13478,3,3.66667,3
5,6,240,29.8869,14,2.13478,1,1,1
6,5,241,4.26956,2,2.13478,1,1,1
5,7,242,8.53913,4,2.13478,1,2,2
7,5,243,21.3478,10,2.13478,1,2,2
5,8,244,29.8869,14,2.13478,1,3,3
8,5,245,14.9435,7,2.13478,1,3,3
5,9,246,21.3478,10,2.13478,1,4,4
9,5,247,25.6174,12,2.13478,1,4,4
5,10,248,19.213,9,2.13478,5,5.2,5
10,5,249,10.6739,5,2.13478,3,5,5
5,11,250,25.6174,12,2.13478,3,4.33333,4
11,5,251,2.13478,1,2.13478,2,4,4
5,12,252,4.26956,2,2.13478,1,3,3
12,5,253,6.40434,3,2.13478,1,3,3
5,13,254,29.8869,14,2.13478,1,1,1
13,5,255,29.8869,14,2.13478,1,1,1
5,14,256,19.213,9,2.13478,1,4,4
14,5,257,2.13478,1,2.13478,1,4,4
5,15,258,29.8869,14,2.13478,2,3,3
15,5,259,12.8087,6,2.13478,2,3,3
5,16,260,19.213,9,2.13478,1,2,2
16,5,261,14.9435,7,2.13478,1,2,2
5,17,262,4.26956,2,2.13478,1,2,2
17,5,263,19.213,9,2.13478,2,2.5,2
5,18,264,25.6174,12,2.13478,1,3,3
18,5,265,8.53913,4,2.13478,4,3.5,3
5,19,266,6.40434,3,2.13478,9,6.22222,4
19,5,267,17.0783,8,2.13478,6,5.33333,4
5,20,268,2.13478,1,2.13478,14,6.71429,5
20,5,269,4.26956,2,2.13478,9,6.33333,5
5,21,270,27.7522,13,2.13478,7,5.57143,5
21,5,271,10.6739,5,2.13478,8,5.5,5
5,22,272,19.213,9,2.13478,5,5.4,5
