source,destination,link_id,used_rate,usage,link_capa
26,23,101,154.85,0.15485,1000
26,18,61,249.661,0.249661,1000
26,21,57,154.433,0.154433,1000
26,19,55,226.062,0.226062,1000
26,22,39,74.2978,0.0742978,1000
25,15,73,222.226,0.222226,1000
25,24,29,380.995,0.380995,1000
25,10,27,398.423,0.398423,1000
24,23,33,225.562,0.225562,1000
24,22,31,256.165,0.256165,1000
24,25,28,397.256,0.397256,1000
23,26,100,180.866,0.180866,1000
23,15,71,394.004,0.394004,1000
23,18,69,210.886,0.210886,1000
23,21,37,231.399,0.231399,1000
23,22,35,138.422,0.138422,1000
23,24,32,201.63,0.20163,1000
22,21,41,190.623,0.190623,1000
22,26,38,90.4749,0.0904749,1000
22,23,34,114.657,0.114657,1000
22,24,30,229.731,0.229731,1000
21,26,56,125.164,0.125164,1000
21,19,51,169.776,0.169776,1000
21,20,43,208.217,0.208217,1000
21,22,40,167.941,0.167941,1000
21,23,36,205.716,0.205716,1000
20,19,47,96.312,0.096312,1000
20,0,45,142.675,0.142675,1000
20,21,42,189.455,0.189455,1000
19,18,59,292.021,0.292021,1000
19,26,54,201.213,0.201213,1000
19,1,53,249.16,0.24916,1000
19,21,50,147.762,0.147762,1000
19,0,49,188.121,0.188121,1000
19,20,46,106.569,0.106569,1000
18,23,68,185.369,0.185369,1000
18,15,67,380.495,0.380495,1000
18,17,65,389.834,0.389834,1000
18,3,63,323.375,0.323375,1000
18,26,60,245.992,0.245992,1000
18,19,58,299.693,0.299693,1000
17,4,87,302.361,0.302361,1000
17,16,85,258.416,0.258416,1000
17,15,83,190.873,0.190873,1000
17,18,64,384.498,0.384498,1000
16,12,97,371.322,0.371322,1000
16,13,89,296.191,0.296191,1000
16,17,84,265.171,0.265171,1000
16,15,81,294.94,0.29494,1000
15,17,82,190.623,0.190623,1000
15,16,80,290.437,0.290437,1000
15,14,75,399.34,0.39934,1000
15,25,72,229.648,0.229648,1000
15,23,70,383.163,0.383163,1000
15,18,66,373.24,0.37324,1000
14,12,79,170.443,0.170443,1000
14,10,77,244.824,0.244824,1000
14,15,74,371.156,0.371156,1000
13,6,95,255.581,0.255581,1000
13,5,93,87.6398,0.0876398,1000
13,4,91,267.422,0.267422,1000
13,16,88,325.376,0.325376,1000
12,11,99,270.091,0.270091,1000
12,16,96,336.383,0.336383,1000
12,14,78,200.379,0.200379,1000
11,12,98,218.307,0.218307,1000
11,10,23,193.791,0.193791,1000
11,9,21,115.991,0.115991,1000
11,8,19,232.566,0.232566,1000
10,14,76,222.143,0.222143,1000
10,25,26,366.236,0.366236,1000
10,9,25,242.239,0.242239,1000
10,11,22,218.891,0.218891,1000
9,10,24,212.47,0.21247,1000
9,11,20,69.378,0.069378,1000
9,8,17,204.298,0.204298,1000
8,11,18,193.791,0.193791,1000
8,9,16,169.026,0.169026,1000
8,7,15,283.433,0.283433,1000
7,8,14,291.604,0.291604,1000
7,6,13,288.519,0.288519,1000
6,13,94,229.064,0.229064,1000
6,7,12,367.57,0.36757,1000
6,5,11,211.386,0.211386,1000
5,13,92,97.5628,0.0975628,1000
5,6,10,244.074,0.244074,1000
5,4,9,271.008,0.271008,1000
4,13,90,239.488,0.239488,1000
4,17,86,320.29,0.32029,1000
4,5,8,244.157,0.244157,1000
4,3,7,386.165,0.386165,1000
3,18,62,304.529,0.304529,1000
3,4,6,374.825,0.374825,1000
3,2,5,333.798,0.333798,1000
2,3,4,303.612,0.303612,1000
2,1,3,270.424,0.270424,1000
1,19,52,221.81,0.22181,1000
1,2,2,308.282,0.308282,1000
1,0,1,148.179,0.148179,1000
0,19,48,164.106,0.164106,1000
0,20,44,109.404,0.109404,1000
0,1,0,181.367,0.181367,1000
