source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,10,10,1,1,1,1,1
1,0,1,11,11,1,1,1,1,1
0,2,2,11,11,1,1,2,2,1
2,0,3,8,8,1,1,2,2,1
0,3,4,2,2,1,2,3,3,1
3,0,5,12,12,1,2,3,3,1
0,4,6,14,14,1,2,4,4,1
4,0,7,7,7,1,2,4,4,1
0,5,8,6,6,1,1,5,5,1
5,0,9,1,1,1,1,5,5,1
0,6,10,7,7,1,2,6,6,1
6,0,11,10,10,1,2,6,6,1
0,7,12,2,2,1,2,7,7,1
7,0,13,12,12,1,2,7,7,1
0,8,14,11,11,1,3,7,7,1
8,0,15,1,1,1,2,7,7,1
0,9,16,11,11,1,2,6,6,2
9,0,17,3,3,1,3,6.33333,6,2
0,10,18,14,14,1,3,5.33333,5,2
10,0,19,2,2,1,2,5.5,5,2
0,11,20,6,6,1,1,6,6,1
11,0,21,7,7,1,2,6.5,6,1
0,12,22,5,5,1,1,5,5,1
12,0,23,11,11,1,2,5,5,2
0,13,24,3,3,1,1,5,5,1
13,0,25,8,8,1,1,5,5,1
0,14,26,6,6,1,1,4,4,1
14,0,27,5,5,1,1,4,4,1
0,15,28,14,14,1,2,3.5,3,1
15,0,29,12,12,1,2,3.5,3,1
0,16,30,13,13,1,1,4,4,1
16,0,31,13,13,1,2,4,4,1
0,17,32,10,10,1,1,3,3,1
17,0,33,9,9,1,1,3,3,1
0,18,34,1,1,1,1,2,2,1
18,0,35,14,14,1,2,2.5,2,1
0,19,36,7,7,1,1,1,1,1
19,0,37,13,13,1,1,1,1,1
0,20,38,6,6,1,1,1,1,1
20,0,39,9,9,1,1,1,1,1
0,21,40,12,12,1,1,2,2,1
21,0,41,1,1,1,1,2,2,1
0,22,42,2,2,1,1,3,3,1
22,0,43,3,3,1,1,3,3,1
0,23,44,2,2,1,1,3,3,1
23,0,45,11,11,1,1,3,3,1
0,24,46,3,3,1,1,4,4,1
24,0,47,11,11,1,3,4,4,1
0,25,48,7,7,1,2,4.5,4,2
25,0,49,5,5,1,2,4.5,4,2
0,26,50,11,11,1,1,2,2,1
26,0,51,14,14,1,1,2,2,1
1,2,52,4,4,1,1,1,1,1
2,1,53,6,6,1,1,1,1,1
1,3,54,13,13,1,1,2,2,1
3,1,55,13,13,1,1,2,2,1
1,4,56,14,14,1,1,3,3,1
4,1,57,13,13,1,1,3,3,1
