source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,17.3077
10,7,20,16.8,1,16.8
10,6,18,8.34748,0.466256,17.9032
10,2,16,17.093,1,17.093
10,1,14,16.1688,1,16.1688
10,9,5,11.7985,0.694029,17
9,8,57,2.3335,0.134824,17.3077
9,7,12,16.8,1,16.8
9,6,10,17.9032,1,17.9032
9,2,8,17.093,1,17.093
9,1,6,16.1688,1,16.1688
9,10,4,17,1,17
9,0,3,0.0458447,0.00222277,20.625
8,7,66,16.8,1,16.8
8,6,64,17.9032,1,17.9032
8,5,62,17.25,1,17.25
8,1,60,16.1688,1,16.1688
8,10,58,17.3077,1,17.3077
8,9,56,17.3077,1,17.3077
8,0,1,19.0685,0.924532,20.625
7,8,67,0,0,16.8
7,6,55,5.5103,0.307783,17.9032
7,5,53,3.8024,0.220429,17.25
7,4,51,11.2395,0.669015,16.8
7,0,47,0,0,20.625
7,1,33,14.7769,0.913915,16.1688
7,10,21,11.2919,0.672138,16.8
7,9,13,1.71756,0.102236,16.8
6,8,65,1.31307,0.0733429,17.9032
6,7,54,17.9032,1,17.9032
6,4,49,16.8,1,16.8
6,0,25,0.201866,0.00978745,20.625
6,10,19,17.9032,1,17.9032
6,9,11,7.48307,0.417973,17.9032
5,8,63,0,0,17.25
5,7,52,17.25,1,17.25
5,4,45,10.7189,0.63803,16.8
5,3,43,12.7376,0.684816,18.6
5,2,39,12.9583,0.758104,17.093
5,1,31,12.6089,0.779829,16.1688
4,7,50,16.8,1,16.8
4,6,48,0,0,16.8
4,5,44,15.7555,0.937827,16.8
4,3,41,5.03336,0.270611,18.6
4,2,37,15.9741,0.934538,17.093
4,1,29,5.00008,0.309242,16.1688
3,5,42,10.7596,0.578472,18.6
3,4,40,14.7696,0.794062,18.6
3,2,35,1.73029,0.101228,17.093
3,1,27,0,0,16.1688
2,5,38,16.5782,0.969882,17.093
2,4,36,17.0027,0.994713,17.093
2,3,34,17.093,1,17.093
2,1,23,4.87675,0.301614,16.1688
2,10,17,1.45226,0.0849619,17.093
2,9,9,0.277652,0.0162436,17.093
1,8,61,0,0,16.1688
1,7,32,16.1688,1,16.1688
1,5,30,16.1688,1,16.1688
1,4,28,16.1688,1,16.1688
1,3,26,16.1688,1,16.1688
1,2,22,16.1688,1,16.1688
1,10,15,16.1688,1,16.1688
1,9,7,6.86199,0.424396,16.1688
0,7,46,20.625,1,20.625
0,6,24,20.625,1,20.625
0,9,2,20.625,1,20.625
0,8,0,20.625,1,20.625
