source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
8,1,0,40.6657,384,0.1059,8,2.625,1
2,3,1,23.3982,215,0.108829,4,2,1
6,7,2,23.0717,212,0.108829,5,1.8,1
9,2,3,21.4393,197,0.108829,4,2.5,1
8,10,4,17.4126,160,0.108829,1,1,1
1,7,5,17.4126,160,0.108829,3,2,1
1,4,6,15.6713,144,0.108829,4,2.5,1
0,6,7,15.0184,138,0.108829,2,1.5,1
2,4,8,13.4948,124,0.108829,2,1.5,1
5,7,9,12.5153,115,0.108829,1,1,1
0,9,10,12.5153,115,0.108829,2,1.5,1
9,10,11,39.6137,364,0.108829,4,1.75,1
4,7,12,11.7535,108,0.108829,1,1,1
3,4,13,11.427,105,0.108829,2,1.5,1
8,7,14,10.8829,100,0.108829,3,1.66667,1
10,2,15,10.774,99,0.108829,2,2,1
4,5,16,10.3387,95,0.108829,2,1.5,1
1,2,17,29.6196,278,0.106545,8,2.125,1
10,1,18,28.9485,266,0.108829,5,2.2,1
8,9,19,28.4603,263,0.108214,7,2.14286,1
0,8,20,28.0778,258,0.108829,4,1.75,1
8,6,21,26.63,247,0.107814,5,2,1
1,5,22,25.5979,237,0.108008,7,2.14286,1
1,3,23,23.7643,237,0.100271,6,2.83333,1
