source,destination,link_id,used_rate,usage,link_capa
10,8,59,0,0,30
10,7,20,12.3215,0.410718,30
10,6,18,5.54068,0.184689,30
10,2,16,12.3771,0.412569,30
10,1,14,13.5556,0.451852,30
10,9,5,7.79274,0.259758,30
9,8,57,3.38734,0.112911,30
9,7,12,15.6163,0.520544,30
9,6,10,14.1417,0.471389,30
9,2,8,15.9002,0.530005,30
9,1,6,12.2845,0.409484,30
9,10,4,16.437,0.547899,30
9,0,3,0,0,30
8,7,66,15.7582,0.525274,30
8,6,64,18.6211,0.620705,30
8,5,62,16.8812,0.562706,30
8,1,60,17.0663,0.568877,30
8,10,58,17.782,0.592734,30
8,9,56,17.6278,0.587593,30
8,0,1,11.9266,0.397555,30
7,8,67,3.18373,0.106124,30
7,6,55,5.3926,0.179753,30
7,5,53,8.09507,0.269836,30
7,4,51,5.9664,0.19888,30
7,0,47,0,0,30
7,1,33,8.88481,0.29616,30
7,10,21,6.92894,0.230965,30
7,9,13,3.80073,0.126691,30
6,8,65,2.25822,0.0752742,30
6,7,54,13.4507,0.448355,30
6,4,49,11.5071,0.38357,30
6,0,25,0.56147,0.0187157,30
6,10,19,11.0505,0.36835,30
6,9,11,5.62706,0.187569,30
5,8,63,0,0,30
5,7,52,11.3528,0.378428,30
5,4,45,7.06468,0.235489,30
5,3,43,8.8293,0.29431,30
5,2,39,8.23698,0.274566,30
5,1,31,8.84782,0.294927,30
4,7,50,11.7847,0.392825,30
4,6,48,2.18418,0.0728062,30
4,5,44,9.37844,0.312615,30
4,3,41,11.4269,0.380896,30
4,2,37,5.68875,0.189625,30
4,1,29,4.73858,0.157953,30
3,5,42,5.40495,0.180165,30
3,4,40,9.06994,0.302331,30
3,2,35,1.37591,0.0458638,30
3,1,27,0,0,30
2,5,38,9.4895,0.316317,30
2,4,36,11.3097,0.376988,30
2,3,34,12.6671,0.422235,30
2,1,23,3.28245,0.109415,30
2,10,17,0.765075,0.0255025,30
2,9,9,0,0,30
1,8,61,1.73994,0.0579981,30
1,7,32,15.641,0.521367,30
1,5,30,16.5048,0.55016,30
1,4,28,17.0663,0.568876,30
1,3,26,17.1835,0.572784,30
1,2,22,17.1342,0.571139,30
1,10,15,14.3206,0.477354,30
1,9,7,9.15014,0.305005,30
0,7,46,14.9376,0.497921,30
0,6,24,15.6533,0.521778,30
0,9,2,15.7027,0.523423,30
0,8,0,16.6406,0.554686,30
