source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,17.6471
10,7,20,5.13516,0.303588,16.9149
10,6,18,11.2285,0.630371,17.8125
10,2,16,17.3684,1,17.3684
10,1,14,16.3636,1,16.3636
10,9,5,16.3636,0.945455,17.3077
9,8,57,0,0,17.6471
9,7,12,16.9149,1,16.9149
9,6,10,17.8125,1,17.8125
9,2,8,17.3684,1,17.3684
9,1,6,16.3636,1,16.3636
9,10,4,17.3077,1,17.3077
9,0,3,0,0,20.625
8,7,66,16.9149,1,16.9149
8,6,64,17.8125,1,17.8125
8,5,62,17.3077,1,17.3077
8,1,60,16.3636,1,16.3636
8,10,58,17.6471,1,17.6471
8,9,56,17.6471,1,17.6471
8,0,1,13.5136,0.655203,20.625
7,8,67,7.11144,0.420425,16.9149
7,6,55,0,0,17.8125
7,5,53,0,0,17.3077
7,4,51,5.13516,0.300424,17.093
7,0,47,0,0,20.625
7,1,33,0,0,16.3636
7,10,21,8.71673,0.515329,16.9149
7,9,13,13.5136,0.798915,16.9149
6,8,65,0,0,17.8125
6,7,54,17.8125,1,17.8125
6,4,49,16.7239,0.978407,17.093
6,0,25,0,0,20.625
6,10,19,12.317,0.691483,17.8125
6,9,11,8.19816,0.460248,17.8125
5,8,63,0,0,17.3077
5,7,52,17.3077,1,17.3077
5,4,45,0.583816,0.0341552,17.093
5,3,43,8.7387,0.476656,18.3333
5,2,39,0.36024,0.0207411,17.3684
5,1,31,16.3636,1,16.3636
4,7,50,17.093,1,17.093
4,6,48,0.583816,0.0341552,17.093
4,5,44,17.093,1,17.093
4,3,41,11.2285,0.612462,18.3333
4,2,37,10.6306,0.612066,17.3684
4,1,29,0,0,16.3636
3,5,42,0,0,18.3333
3,4,40,18.3333,1,18.3333
3,2,35,0,0,17.3684
3,1,27,0,0,16.3636
2,5,38,8.7387,0.503137,17.3684
2,4,36,17.3684,1,17.3684
2,3,34,17.3684,1,17.3684
2,1,23,0,0,16.3636
2,10,17,0,0,17.3684
2,9,9,0.36024,0.0207411,17.3684
1,8,61,0,0,16.3636
1,7,32,16.3636,1,16.3636
1,5,30,16.3636,1,16.3636
1,4,28,16.3636,1,16.3636
1,3,26,16.3636,1,16.3636
1,2,22,16.3636,1,16.3636
1,10,15,16.3636,1,16.3636
1,9,7,0,0,16.3636
0,7,46,20.625,1,20.625
0,6,24,20.625,1,20.625
0,9,2,20.625,1,20.625
0,8,0,20.625,1,20.625
