source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
8,1,0,69.1891,384,0.18018,9,2.44444,1,6
2,3,1,38.7387,215,0.18018,3,1.66667,1,2
6,7,2,38.1982,212,0.18018,5,1.8,1,3
9,2,3,35.4955,197,0.18018,3,2.33333,1,3
8,10,4,28.8288,160,0.18018,1,1,1,1
1,7,5,28.8288,160,0.18018,2,1.5,1,2
1,4,6,25.9459,144,0.18018,2,2,1,2
0,6,7,24.8648,138,0.18018,2,1.5,1,2
2,4,8,22.3423,124,0.18018,2,1.5,1,1
5,7,9,20.7207,115,0.18018,1,1,1,1
0,9,10,20.7207,115,0.18018,1,1,1,1
9,10,11,65.5855,364,0.18018,4,1.75,1,4
4,7,12,19.4594,108,0.18018,1,1,1,1
3,4,13,18.9189,105,0.18018,2,1.5,1,2
8,7,14,18.018,100,0.18018,3,1.66667,1,2
10,2,15,17.8378,99,0.18018,1,1,1,1
4,5,16,17.1171,95,0.18018,2,1.5,1,2
1,2,17,50.09,278,0.18018,8,2.5,1,4
10,1,18,47.9279,266,0.18018,5,2.2,1,4
8,9,19,47.3873,263,0.18018,6,2.16667,1,5
0,8,20,46.4864,258,0.18018,4,1.75,1,4
8,6,21,44.5045,247,0.18018,6,2.16667,1,5
1,5,22,42.7027,237,0.18018,8,2.125,1,4
1,3,23,42.7027,237,0.18018,5,3,1,4
