source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
8,1,0,49.5003,384,0.128907,9,2.44444,1
2,3,1,31.9205,215,0.148468,3,1.66667,1
6,7,2,28.4923,212,0.134398,5,1.8,1
9,2,3,28.6773,197,0.14557,3,2.33333,1
8,10,4,18.913,160,0.118207,1,1,1
1,7,5,17.9032,160,0.111895,2,1.5,1
1,4,6,17.9032,144,0.124328,2,2,1
0,6,7,24,138,0.173913,2,1.5,1
2,4,8,22.3423,124,0.18018,2,1.5,1
5,7,9,20.7207,115,0.18018,1,1,1
0,9,10,20.7207,115,0.18018,1,1,1
9,10,11,45.808,364,0.125846,4,1.75,1
4,7,12,19.4594,108,0.18018,1,1,1
3,4,13,18.9189,105,0.18018,2,1.5,1
8,7,14,8.52308,100,0.0852308,3,1.66667,1
10,2,15,17.8378,99,0.18018,1,1,1
4,5,16,17.1171,95,0.18018,2,1.5,1
1,2,17,30.0039,278,0.107928,8,2.5,1
10,1,18,35.8065,266,0.134611,5,2.2,1
8,9,19,25.1652,263,0.0956853,6,2.16667,1
0,8,20,40.4864,258,0.156924,4,1.75,1
8,6,21,25.5505,247,0.103443,6,2.16667,1
1,5,22,20.3358,237,0.0858051,8,2.125,1
1,3,23,21.2732,237,0.0897604,5,3,1
