switch_id,used_rules,usage
39,5207,13.3513
38,5956,15.2718
37,7193,18.4436
36,4702,12.0564
35,5252,13.4667
34,5123,13.1359
33,7418,19.0205
32,2459,6.30513
31,5738,14.7128
30,3864,9.90769
29,4614,11.8308
28,6648,17.0462
27,4243,10.8795
26,5512,14.1333
25,4990,12.7949
24,9619,24.6641
23,4165,10.6795
22,5644,14.4718
21,3435,8.80769
20,5783,14.8282
19,5122,13.1333
18,4675,11.9872
17,2417,6.19744
16,4323,11.0846
15,2659,6.81795
14,1854,4.75385
13,5574,14.2923
12,5385,13.8077
11,2403,6.16154
10,5646,14.4769
9,5408,13.8667
8,2676,6.86154
7,1740,4.46154
6,4275,10.9615
5,5607,14.3769
4,5610,14.3846
3,7201,18.4641
2,1795,4.60256
1,6784,17.3949
0,6108,15.6615
