source,destination,link_id,used_rate_c,usage,capacity_c
39,26,157,62.5659,0.693475,90.221
39,22,139,51.4687,0.592524,86.8634
39,9,79,21.6955,0.250145,86.7318
39,1,17,56.4617,0.637878,88.5149
38,33,177,69.4764,0.819697,84.7586
38,29,165,63.3231,0.707943,89.4466
38,27,159,45.2472,0.496861,91.066
38,20,131,20.862,0.234239,89.0627
38,11,91,49.0698,0.489593,100.226
37,33,175,54.362,0.641375,84.7586
37,28,161,60.3702,0.703361,85.831
37,24,149,41.9716,0.504708,83.1601
37,4,39,9.50244,0.101188,93.9088
36,24,147,83.1601,1,83.1601
36,16,109,22.2311,0.237396,93.6458
36,13,99,5.23095,0.0598528,87.3969
36,5,47,0.958366,0.0107879,88.8372
36,3,33,0,0,87.3261
35,30,169,68.783,0.733549,93.7675
35,29,163,20.5794,0.230074,89.4466
35,24,145,67.7234,0.814373,83.1601
35,9,77,39.9454,0.460562,86.7318
35,6,55,1.33591,0.0147329,90.6757
34,32,173,32.0579,0.316233,101.374
34,30,167,39.9386,0.425932,93.7675
34,26,155,40.7511,0.451681,90.221
34,20,129,52.7783,0.592597,89.0627
33,38,176,78.6039,0.927385,84.7586
33,37,174,56.788,0.669996,84.7586
33,31,171,35.9105,0.391651,91.6901
33,20,127,78.6937,0.883576,89.0627
33,4,37,11.8602,0.126295,93.9088
32,34,172,83.7646,0.82629,101.374
32,11,89,10.1222,0.100994,100.226
32,8,71,2.44106,0.0238867,102.194
32,7,63,2.39887,0.0211067,113.654
31,33,170,64.1255,0.699371,91.6901
31,24,143,56.2575,0.676496,83.1601
31,4,35,10.7769,0.114759,93.9088
31,1,15,3.11617,0.035205,88.5149
30,35,168,64.1146,0.683762,93.7675
30,34,166,50.6285,0.539936,93.7675
30,26,153,25.2199,0.279535,90.221
30,18,123,15.9692,0.172487,92.5823
29,38,164,69.3945,0.77582,89.4466
29,35,162,38.4727,0.43012,89.4466
29,9,75,36.9798,0.426369,86.7318
29,6,53,11.0448,0.121805,90.6757
29,5,45,69.0855,0.777664,88.8372
28,37,160,85.831,1,85.831
28,16,107,13.4487,0.143613,93.6458
28,13,97,14.1458,0.161857,87.3969
28,12,95,13.1179,0.144632,90.6987
28,0,9,3.2679,0.0368203,88.7528
27,38,158,55.36,0.607911,91.066
27,20,125,54.1601,0.608112,89.0627
27,18,121,46.3614,0.500759,92.5823
27,15,103,43.8586,0.460719,95.1961
26,39,156,64.2244,0.711857,90.221
26,34,154,53.2453,0.590166,90.221
26,30,152,39.3292,0.43592,90.221
26,25,151,40.8663,0.446975,91.4286
26,18,119,31.3398,0.338507,92.5823
25,26,150,72.5594,0.793619,91.4286
25,23,141,28.3447,0.30785,92.0733
25,18,117,72.5412,0.783531,92.5823
25,17,115,23.7295,0.225284,105.331
25,2,25,13.9013,0.116912,118.904
24,37,148,51.7261,0.622006,83.1601
