switch_id,used_rules,usage
39,1570,4.02564
38,1821,4.66923
37,2029,5.20256
36,1639,4.20256
35,1723,4.41795
34,1272,3.26154
33,2277,5.83846
32,828,2.12308
31,1260,3.23077
30,1124,2.88205
29,1460,3.74359
28,2009,5.15128
27,1309,3.35641
26,1383,3.54615
25,1280,3.28205
24,2865,7.34615
23,1232,3.15897
22,1809,4.63846
21,1047,2.68462
20,1502,3.85128
19,1127,2.88974
18,1197,3.06923
17,738,1.89231
16,1131,2.9
15,1049,2.68974
14,633,1.62308
13,1722,4.41538
12,1340,3.4359
11,860,2.20513
10,1349,3.45897
9,1832,4.69744
8,807,2.06923
7,613,1.57179
6,1342,3.44103
5,1528,3.91795
4,1116,2.86154
3,1733,4.44359
2,560,1.4359
1,1567,4.01795
0,1538,3.94359
