source,destination,link_id,used_rate,usage,link_capa
39,26,157,59.1018,0.381302,155
39,22,139,50.7537,0.327443,155
39,9,79,19.2354,0.1241,155
39,1,17,43.6752,0.281775,155
38,33,177,55.9931,0.361246,155
38,29,165,49.2612,0.317814,155
38,27,159,41.6175,0.2685,155
38,20,131,17.2902,0.11155,155
38,11,91,46.7396,0.301546,155
37,33,175,61.2052,0.394872,155
37,28,161,47.4264,0.305977,155
37,24,149,32.6458,0.210618,155
37,4,39,11.6065,0.0748807,155
36,24,147,106.892,0.689628,155
36,16,109,15.6951,0.101259,155
36,13,99,2.49354,0.0160873,155
36,5,47,2.53782,0.0163731,155
36,3,33,2.39019,0.0154206,155
35,30,169,70.5234,0.45499,155
35,29,163,10.6954,0.0690027,155
35,24,145,52.8479,0.340954,155
35,9,77,33.7376,0.217662,155
35,6,55,0,0,155
34,32,173,30.4581,0.196504,155
34,30,167,28.3829,0.183115,155
34,26,155,30.6521,0.197756,155
34,20,129,40.1011,0.258717,155
33,38,176,77.7235,0.501442,155
33,37,174,42.6073,0.274886,155
33,31,171,32.0982,0.207085,155
33,20,127,77.6785,0.501152,155
33,4,37,12.7257,0.0821012,155
32,34,172,66.8432,0.431247,155
32,11,89,4.41905,0.02851,155
32,8,71,0,0,155
32,7,63,0.598252,0.00385969,155
31,33,170,61.634,0.397639,155
31,24,143,41.5163,0.267847,155
31,4,35,3.47703,0.0224325,155
31,1,15,0.598955,0.00386422,155
30,35,168,52.9618,0.341689,155
30,34,166,37.5985,0.242571,155
30,26,153,13.3134,0.0858928,155
30,18,123,16.4101,0.105872,155
29,38,164,69.9083,0.451021,155
29,35,162,28.9031,0.186471,155
29,9,75,37.7609,0.243618,155
29,6,53,7.69713,0.0496589,155
29,5,45,56.3242,0.363382,155
28,37,160,106.897,0.68966,155
28,16,107,10.1415,0.0654288,155
28,13,97,28.7632,0.185569,155
28,12,95,9.4722,0.061111,155
28,0,9,3.61904,0.0233486,155
27,38,158,44.8654,0.289454,155
27,20,125,42.5342,0.274414,155
27,18,121,31.7481,0.204827,155
27,15,103,37.5886,0.242507,155
26,39,156,50.8001,0.327742,155
26,34,154,40.5215,0.261429,155
26,30,152,27.0802,0.174711,155
26,25,151,36.5447,0.235772,155
26,18,119,19.8344,0.127964,155
25,26,150,58.3566,0.376494,155
25,23,141,24.0158,0.154941,155
25,18,117,57.4736,0.370798,155
25,17,115,17.118,0.110439,155
25,2,25,7.30626,0.0471372,155
24,37,148,38.7359,0.249909,155
24,36,146,48.0858,0.310231,155
24,35,144,74.7871,0.482497,155
24,31,142,36.1355,0.233132,155
24,6,51,74.3878,0.479921,155
23,25,140,35.8044,0.230996,155
23,22,137,54.055,0.348742,155
23,21,135,9.28239,0.0598864,155
23,17,113,11.7429,0.0757606,155
23,2,23,1.17471,0.00757878,155
22,39,138,55.9966,0.361269,155
22,23,136,51.6964,0.333525,155
22,21,133,51.5277,0.332437,155
22,9,73,56.0993,0.361931,155
21,23,134,12.1802,0.0785816,155
21,22,132,53.9727,0.348211,155
21,17,111,18.2126,0.117501,155
21,2,21,13.158,0.0848905,155
20,38,130,28.025,0.180807,155
20,34,128,48.5617,0.313301,155
20,33,126,56.6575,0.365532,155
20,27,124,42.6727,0.275308,155
19,16,105,21.4506,0.138391,155
19,12,93,2.50127,0.0161372,155
19,10,83,23.4527,0.151308,155
19,0,7,8.99557,0.0580359,155
18,30,122,36.8146,0.237514,155
18,27,120,41.5219,0.267883,155
18,26,118,36.8793,0.237931,155
18,25,116,43.8495,0.2829,155
18,8,69,39.0298,0.251805,155
17,25,114,34.674,0.223703,155
17,23,112,15.8716,0.102397,155
17,21,110,20.2112,0.130395,155
17,2,19,0,0,155
16,36,108,44.4583,0.286828,155
16,28,106,35.2772,0.227595,155
16,19,104,5.63242,0.0363382,155
16,0,5,0,0,155
15,27,102,66.5381,0.429278,155
15,14,101,4.93013,0.0318073,155
15,11,87,20.0558,0.129393,155
15,8,67,20.5676,0.132694,155
15,7,61,16.0473,0.103531,155
14,15,100,16.3201,0.105291,155
14,11,85,25.2278,0.16276,155
14,8,65,19.549,0.126122,155
14,7,59,11.2346,0.0724814,155
13,36,98,35.7875,0.230887,155
13,28,96,38.3612,0.247492,155
13,5,43,32.4588,0.209412,155
13,3,31,33.9731,0.219181,155
13,0,3,16.325,0.105323,155
12,28,94,37.1106,0.239423,155
12,19,92,7.52138,0.048525,155
12,10,81,24.29,0.15671,155
12,0,1,9.14531,0.059002,155
11,38,90,67.864,0.437832,155
11,32,88,32.617,0.210432,155
11,15,86,15.5531,0.100343,155
11,14,84,16.8516,0.10872,155
10,19,82,26.9558,0.173908,155
10,12,80,26.8166,0.17301,155
10,5,41,42.5047,0.274224,155
10,3,29,43.1486,0.278378,155
9,39,78,65.7479,0.42418,155
9,35,76,36.6311,0.23633,155
9,29,74,37.202,0.240013,155
9,22,72,67.5898,0.436063,155
9,6,49,30.0574,0.193919,155
8,32,70,32.2501,0.208065,155
8,18,68,66.555,0.429387,155
8,15,66,22.4819,0.145044,155
8,14,64,15.4751,0.0998394,155
8,7,57,4.75016,0.0306462,155
7,32,62,33.0142,0.212995,155
7,15,60,20.2653,0.130744,155
7,14,58,10.6244,0.0685446,155
7,8,56,15.5602,0.100388,155
6,35,54,38.0582,0.245537,155
6,29,52,35.2041,0.227123,155
6,24,50,53.4427,0.344791,155
6,9,48,43.3926,0.279952,155
5,36,46,36.4941,0.235446,155
5,29,44,107.374,0.692735,155
5,13,42,31.4662,0.203008,155
5,10,40,27.1934,0.175441,155
5,3,27,13.8491,0.0893488,155
4,37,38,41.9592,0.270704,155
4,33,36,61.5869,0.397335,155
4,31,34,32.3485,0.2087,155
4,1,13,6.23278,0.0402115,155
3,36,32,35.2301,0.227291,155
3,13,30,30.4061,0.196168,155
3,10,28,23.9406,0.154456,155
3,5,26,20.9262,0.135007,155
3,1,11,106.835,0.689256,155
2,25,24,35.4578,0.22876,155
2,23,22,21.3149,0.137516,155
2,21,20,24.193,0.156084,155
2,17,18,12.0135,0.0775067,155
1,39,16,78.9432,0.509311,155
1,31,14,52.0296,0.335675,155
1,4,12,50.7811,0.32762,155
1,3,10,54.6891,0.352833,155
0,28,8,36.7956,0.237391,155
0,19,6,11.3837,0.0734429,155
0,16,4,21.026,0.135652,155
0,13,2,39.9451,0.25771,155
0,12,0,10.4402,0.0673563,155
