source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,1.2413,110,0.0112846,1,3,3,1
0,2,1,2.09893,186,0.0112846,3,7,7,1
0,3,2,1.89581,168,0.0112846,1,2,2,1
0,4,3,1.36543,121,0.0112846,2,3.5,3,2
0,5,4,1.83939,163,0.0112846,1,2,2,1
0,6,5,1.42186,126,0.0112846,2,4,4,2
0,7,6,1.63626,145,0.0112846,4,7.5,7,2
0,8,7,1.34287,119,0.0112846,6,7.5,7,2
0,9,8,2.07636,184,0.0112846,3,4.66667,4,3
0,10,9,1.42186,126,0.0112846,2,2,2,1
0,11,10,2.1215,188,0.0112846,4,5.75,5,2
0,12,11,1.48956,132,0.0112846,1,1,1,1
0,13,12,2.05379,182,0.0112846,1,1,1,1
0,14,13,1.6137,143,0.0112846,5,7.6,6,4
0,15,14,2.23435,198,0.0112846,4,6.75,6,1
0,16,15,1.90709,169,0.0112846,1,1,1,1
0,17,16,1.47828,131,0.0112846,3,7.33333,7,2
0,18,17,1.44443,128,0.0112846,3,6,6,2
0,19,18,2.09893,186,0.0112846,1,1,1,1
0,20,19,1.29773,115,0.0112846,3,5.33333,4,2
0,21,20,1.8281,162,0.0112846,4,6.5,6,3
0,22,21,1.91838,170,0.0112846,3,5.66667,5,2
0,23,22,1.60241,142,0.0112846,4,6.75,6,2
0,24,23,1.67012,148,0.0112846,3,3,3,2
0,25,24,1.1736,104,0.0112846,3,7,6,2
0,26,25,1.39929,124,0.0112846,4,6.25,5,1
0,27,26,1.96352,174,0.0112846,3,5.33333,5,3
0,28,27,2.08765,185,0.0112846,1,1,1,1
0,29,28,1.35415,120,0.0112846,2,3.5,3,2
0,30,29,1.15103,102,0.0112846,2,5.5,5,2
0,31,30,1.21873,108,0.0112846,4,4.25,4,3
0,32,31,2.04251,181,0.0112846,3,6.33333,6,3
0,33,32,1.52342,135,0.0112846,5,4.8,3,2
0,34,33,2.04251,181,0.0112846,3,6,5,3
0,35,34,1.72654,153,0.0112846,3,4,4,2
0,36,35,1.3203,117,0.0112846,2,2,2,2
0,37,36,1.81682,161,0.0112846,1,2,2,1
0,38,37,2.15536,191,0.0112846,5,5.4,4,3
0,39,38,1.34287,119,0.0112846,2,5,4,1
1,2,39,1.80553,160,0.0112846,2,4,4,1
1,3,40,2.16664,192,0.0112846,1,1,1,1
1,4,41,1.51213,134,0.0112846,1,1,1,1
1,5,42,1.76039,156,0.0112846,1,2,2,1
1,6,43,2.08765,185,0.0112846,1,3,3,1
1,7,44,1.87324,166,0.0112846,4,5.75,5,2
1,8,45,1.48956,132,0.0112846,3,5.33333,4,1
1,9,46,1.86196,165,0.0112846,3,3.33333,2,3
1,10,47,1.39929,124,0.0112846,1,2,2,1
1,11,48,1.25259,111,0.0112846,2,4,4,1
1,12,49,1.94095,172,0.0112846,1,3,3,1
1,13,50,1.55727,138,0.0112846,1,2,2,1
1,14,51,1.27516,113,0.0112846,3,5.33333,5,2
1,15,52,1.42186,126,0.0112846,3,5,5,2
1,16,53,2.17792,193,0.0112846,2,3.5,3,1
1,17,54,1.41057,125,0.0112846,2,4,4,2
1,18,55,1.60241,142,0.0112846,1,3,3,1
1,19,56,1.30901,116,0.0112846,1,3,3,1
1,20,57,1.6814,149,0.0112846,2,3,3,2
1,21,58,2.06508,183,0.0112846,1,3,3,1
1,22,59,2.11022,187,0.0112846,1,2,2,1
1,23,60,1.51213,134,0.0112846,1,3,3,1
1,24,61,1.89581,168,0.0112846,1,2,2,1
1,25,62,1.6814,149,0.0112846,1,3,3,1
1,26,63,1.388,123,0.0112846,1,2,2,1
1,27,64,1.3203,117,0.0112846,2,4,4,2
1,28,65,1.95223,173,0.0112846,2,3,3,1
1,29,66,1.55727,138,0.0112846,3,4,3,2
1,30,67,1.6814,149,0.0112846,4,4.25,3,1
1,31,68,1.60241,142,0.0112846,1,1,1,1
1,32,69,1.57984,140,0.0112846,4,4.75,4,2
1,33,70,1.64755,146,0.0112846,3,2.33333,2,2
1,34,71,1.85067,164,0.0112846,4,4,3,2
1,35,72,2.14407,190,0.0112846,3,3.66667,3,2
1,36,73,1.89581,168,0.0112846,1,2,2,1
1,37,74,1.19617,106,0.0112846,1,2,2,1
1,38,75,2.05379,182,0.0112846,2,3,3,2
1,39,76,2.00866,178,0.0112846,1,1,1,1
2,3,77,1.74911,155,0.0112846,3,5.33333,5,3
2,4,78,1.79425,159,0.0112846,3,5,5,2
2,5,79,1.30901,116,0.0112846,2,5,5,2
2,6,80,1.2413,110,0.0112846,2,4,4,2
2,7,81,1.28644,114,0.0112846,1,4,4,1
2,8,82,1.69269,150,0.0112846,1,3,3,1
2,9,83,1.37672,122,0.0112846,2,3,3,2
2,10,84,2.21178,196,0.0112846,5,6.2,6,2
2,11,85,1.388,123,0.0112846,3,5,5,2
2,12,86,2.23435,198,0.0112846,4,7,7,3
2,13,87,2.17792,193,0.0112846,4,6.5,6,2
2,14,88,1.27516,113,0.0112846,1,4,4,1
2,15,89,1.95223,173,0.0112846,2,4,4,1
2,16,90,1.39929,124,0.0112846,4,7.25,7,2
2,17,91,1.9748,175,0.0112846,1,1,1,1
2,18,92,2.25692,200,0.0112846,2,2.5,2,1
2,19,93,2.06508,183,0.0112846,3,7,7,2
2,20,94,1.59113,141,0.0112846,3,4.33333,4,2
2,21,95,1.19617,106,0.0112846,1,1,1,1
2,22,96,2.03122,180,0.0112846,2,2,2,2
2,23,97,1.388,123,0.0112846,1,1,1,1
2,24,98,1.30901,116,0.0112846,4,5.25,5,1
2,25,99,1.99737,177,0.0112846,2,1.5,1,1
2,26,100,1.23002,109,0.0112846,2,2.5,2,1
2,27,101,1.23002,109,0.0112846,1,3,3,1
2,28,102,1.54599,137,0.0112846,5,7.2,7,2
2,29,103,1.56856,139,0.0112846,6,4.83333,4,1
2,30,104,2.15536,191,0.0112846,3,3.33333,3,2
2,31,105,1.47828,131,0.0112846,5,5.6,5,2
2,32,106,1.29773,115,0.0112846,3,4.33333,4,2
2,33,107,1.44443,128,0.0112846,3,5.33333,5,2
2,34,108,1.36543,121,0.0112846,2,3.5,3,2
2,35,109,1.65883,147,0.0112846,4,4.5,4,3
2,36,110,2.09893,186,0.0112846,5,6.4,6,2
2,37,111,1.74911,155,0.0112846,6,6.33333,6,2
2,38,112,2.09893,186,0.0112846,1,4,4,1
2,39,113,1.34287,119,0.0112846,2,3,3,2
3,4,114,1.74911,155,0.0112846,1,2,2,1
3,5,115,1.18488,105,0.0112846,1,1,1,1
3,6,116,1.80553,160,0.0112846,1,3,3,1
3,7,117,1.44443,128,0.0112846,5,6.4,6,2
3,8,118,2.1215,188,0.0112846,5,6,5,3
3,9,119,1.74911,155,0.0112846,2,3.5,3,1
3,10,120,2.1215,188,0.0112846,1,1,1,1
3,11,121,1.78296,158,0.0112846,3,4.66667,4,3
3,12,122,1.90709,169,0.0112846,1,2,2,1
3,13,123,1.87324,166,0.0112846,1,1,1,1
3,14,124,1.69269,150,0.0112846,3,6,5,2
3,15,125,1.71526,152,0.0112846,4,6,5,3
3,16,126,1.39929,124,0.0112846,2,2.5,2,2
3,17,127,1.3203,117,0.0112846,6,6.33333,5,2
3,18,128,1.73783,154,0.0112846,4,5.5,4,2
3,19,129,1.34287,119,0.0112846,1,2,2,1
3,20,130,1.52342,135,0.0112846,3,4,4,2
3,21,131,1.54599,137,0.0112846,3,5,4,3
3,22,132,1.57984,140,0.0112846,3,4.33333,3,2
3,23,133,1.96352,174,0.0112846,3,5,4,2
3,24,134,1.1736,104,0.0112846,2,3,2,1
3,25,135,1.30901,116,0.0112846,2,5,4,2
3,26,136,1.48956,132,0.0112846,2,4.5,3,2
3,27,137,1.88453,167,0.0112846,5,5,4,1
3,28,138,1.60241,142,0.0112846,1,2,2,1
3,29,139,1.83939,163,0.0112846,1,2,2,1
3,30,140,1.90709,169,0.0112846,3,5.33333,4,2
3,31,141,2.08765,185,0.0112846,1,2,2,1
3,32,142,2.05379,182,0.0112846,5,6.2,5,2
3,33,143,1.83939,163,0.0112846,3,3.33333,3,1
3,34,144,2.04251,181,0.0112846,5,5.2,4,1
3,35,145,1.62498,144,0.0112846,3,3.33333,3,3
3,36,146,1.9748,175,0.0112846,1,1,1,1
3,37,147,2.03122,180,0.0112846,3,3,3,2
3,38,148,1.47828,131,0.0112846,3,3.66667,3,1
3,39,149,1.52342,135,0.0112846,4,4,2,2
4,5,150,1.95223,173,0.0112846,1,3,3,1
4,6,151,1.35415,120,0.0112846,2,3,3,2
4,7,152,2.21178,196,0.0112846,4,5.25,5,1
4,8,153,1.60241,142,0.0112846,3,5.66667,5,2
4,9,154,2.11022,187,0.0112846,4,3.75,3,2
4,10,155,1.6137,143,0.0112846,2,3.5,3,1
4,11,156,1.47828,131,0.0112846,2,3.5,3,2
4,12,157,1.19617,106,0.0112846,1,3,3,1
4,13,158,1.60241,142,0.0112846,1,3,3,1
4,14,159,1.16231,103,0.0112846,3,5,4,2
4,15,160,1.23002,109,0.0112846,2,4.5,4,2
4,16,161,1.57984,140,0.0112846,1,3,3,1
4,17,162,1.16231,103,0.0112846,7,6.42857,5,1
4,18,163,1.26387,112,0.0112846,3,4.33333,4,3
4,19,164,2.00866,178,0.0112846,2,4,4,1
4,20,165,1.6137,143,0.0112846,2,2.5,2,2
4,21,166,1.23002,109,0.0112846,3,5.33333,4,3
4,22,167,1.71526,152,0.0112846,5,5,3,1
4,23,168,1.39929,124,0.0112846,5,5.8,4,2
4,24,169,1.81682,161,0.0112846,2,2,2,2
4,25,170,1.79425,159,0.0112846,4,5.75,4,1
4,26,171,2.13279,189,0.0112846,6,4.83333,3,1
4,27,172,2.18921,194,0.0112846,4,3.5,3,2
4,28,173,1.39929,124,0.0112846,1,2,2,1
4,29,174,1.71526,152,0.0112846,3,3.66667,3,2
4,30,175,1.41057,125,0.0112846,3,4,4,2
4,31,176,1.77168,157,0.0112846,1,1,1,1
4,32,177,1.89581,168,0.0112846,4,4.5,4,2
4,33,178,2.00866,178,0.0112846,2,1.5,1,1
4,34,179,2.14407,190,0.0112846,2,3.5,3,2
4,35,180,2.06508,183,0.0112846,2,3.5,3,2
4,36,181,1.39929,124,0.0112846,2,3,3,1
4,37,182,1.21873,108,0.0112846,1,1,1,1
4,38,183,1.74911,155,0.0112846,1,2,2,1
4,39,184,1.21873,108,0.0112846,5,4.6,2,2
5,6,185,1.16231,103,0.0112846,1,2,2,1
5,7,186,1.91838,170,0.0112846,3,5,5,2
5,8,187,1.92966,171,0.0112846,3,5.33333,5,2
5,9,188,1.90709,169,0.0112846,3,3.33333,2,1
5,10,189,1.64755,146,0.0112846,1,1,1,1
5,11,190,1.96352,174,0.0112846,2,4.5,3,1
5,12,191,1.65883,147,0.0112846,2,2.5,2,2
5,13,192,2.24563,199,0.0112846,1,1,1,1
5,14,193,1.23002,109,0.0112846,3,6,4,1
5,15,194,2.01994,179,0.0112846,4,5.5,4,2
5,16,195,1.87324,166,0.0112846,2,2.5,2,1
5,17,196,1.70397,151,0.0112846,4,6.25,5,3
5,18,197,1.71526,152,0.0112846,4,5,4,2
5,19,198,1.34287,119,0.0112846,1,2,2,1
5,20,199,1.47828,131,0.0112846,2,4.5,3,1
5,21,200,1.28644,114,0.0112846,5,5.4,4,2
5,22,201,1.47828,131,0.0112846,4,4.25,3,3
5,23,202,1.86196,165,0.0112846,4,5,4,1
