switch_id,used_rules,usage
39,7230,18.5385
38,8547,21.9154
37,9860,25.2821
36,6576,16.8615
35,7312,18.7487
34,7595,19.4744
33,10443,26.7769
32,3424,8.77949
31,8693,22.2897
30,5546,14.2205
29,6405,16.4231
28,8725,22.3718
27,5925,15.1923
26,8436,21.6308
25,7511,19.259
24,13577,34.8128
23,6252,16.0308
22,7945,20.3718
21,4928,12.6359
20,8478,21.7385
19,7656,19.6308
18,7076,18.1436
17,3118,7.99487
16,6306,16.1692
15,3433,8.80256
14,2326,5.9641
13,7418,19.0205
12,7685,19.7051
11,3301,8.4641
10,8625,22.1154
9,7646,19.6051
8,3585,9.19231
7,2195,5.62821
6,5778,14.8154
5,7849,20.1256
4,8417,21.5821
3,10398,26.6615
2,2252,5.77436
1,9887,25.3513
0,8824,22.6256
