source,destination,link_id,used_rate,usage,link_capa
39,26,157,83.9324,0.5415,155
39,22,139,61.1362,0.394427,155
39,9,79,5.43931,0.0350923,155
39,1,17,77.3523,0.499047,155
38,33,177,72.463,0.467503,155
38,29,165,81.06,0.522968,155
38,27,159,54.5765,0.352106,155
38,20,131,17.418,0.112374,155
38,11,91,75.8753,0.489518,155
37,33,175,102.624,0.662088,155
37,28,161,79.0635,0.510087,155
37,24,149,33.2878,0.21476,155
37,4,39,11.0416,0.0712361,155
36,24,147,155,1,155
36,16,109,29.4986,0.190313,155
36,13,99,7.49688,0.048367,155
36,5,47,5.31708,0.0343037,155
36,3,33,5.56154,0.0358809,155
35,30,169,128.527,0.829204,155
35,29,163,9.61556,0.0620359,155
35,24,145,83.0157,0.535585,155
35,9,77,19.4756,0.125649,155
35,6,55,0,0,155
34,32,173,66.3922,0.428337,155
34,30,167,25.3427,0.163501,155
34,26,155,46.9777,0.303082,155
34,20,129,44.3294,0.285996,155
33,38,176,82.2518,0.530657,155
33,37,174,80.8767,0.521785,155
33,31,171,36.7917,0.237366,155
33,20,127,117.74,0.759611,155
33,4,37,3.30026,0.021292,155
32,34,172,68.8776,0.444371,155
32,11,89,14.403,0.0929224,155
32,8,71,0,0,155
32,7,63,10.0637,0.0649274,155
31,33,170,67.5432,0.435763,155
31,24,143,62.2058,0.401327,155
31,4,35,3.46323,0.0223434,155
31,1,15,2.89282,0.0186633,155
30,35,168,98.8855,0.637971,155
30,34,166,46.4684,0.299796,155
30,26,153,24.6297,0.158901,155
30,18,123,31.3117,0.202011,155
29,38,164,141.687,0.914109,155
29,35,162,37.4233,0.24144,155
29,9,75,43.4228,0.280147,155
29,6,53,9.26924,0.0598015,155
29,5,45,74.2558,0.479069,155
28,37,160,155,1,155
28,16,107,13.1195,0.0846422,155
28,13,97,14.9123,0.0962082,155
28,12,95,19.883,0.128278,155
28,0,9,0,0,155
27,38,158,60.1176,0.387856,155
27,20,125,55.6154,0.358809,155
27,18,121,38.3196,0.247224,155
27,15,103,45.9693,0.296576,155
26,39,156,72.5038,0.467766,155
26,34,154,63.8253,0.411776,155
26,30,152,46.5499,0.300322,155
26,25,151,52.743,0.340277,155
26,18,119,18.2329,0.117632,155
25,26,150,89.0865,0.574752,155
25,23,141,35.3046,0.227772,155
25,18,117,69.998,0.4516,155
25,17,115,23.9167,0.154301,155
25,2,25,6.1727,0.0398239,155
24,37,148,52.8041,0.340672,155
24,36,146,84.3399,0.544128,155
24,35,144,115.733,0.746665,155
24,31,142,40.7439,0.262864,155
24,6,51,87.9865,0.567655,155
23,25,140,47.2426,0.304791,155
23,22,137,73.0742,0.471446,155
23,21,135,6.92646,0.0446869,155
23,17,113,13.4455,0.0867451,155
23,2,23,0,0,155
22,39,138,82.5879,0.532825,155
22,23,136,63.9068,0.412302,155
22,21,133,60.1787,0.38825,155
22,9,73,88.5772,0.571466,155
21,23,134,17.255,0.111323,155
21,22,132,70.5277,0.455017,155
21,17,111,13.527,0.0872708,155
21,2,21,7.0487,0.0454755,155
20,38,130,15.2993,0.0987054,155
20,34,128,96.5019,0.622593,155
20,33,126,87.3346,0.563449,155
20,27,124,33.522,0.216271,155
19,16,105,32.2081,0.207794,155
19,12,93,0,0,155
19,10,83,24.8334,0.160216,155
19,0,7,12.7121,0.0820135,155
18,30,122,62.4808,0.403102,155
18,27,120,64.3346,0.415062,155
18,26,118,43.3108,0.279424,155
18,25,116,67.5534,0.435828,155
18,8,69,34.6323,0.223434,155
17,25,114,33.8174,0.218177,155
17,23,112,17.0513,0.110009,155
17,21,110,20.4942,0.132221,155
17,2,19,0,0,155
16,36,108,80.7748,0.521128,155
16,28,106,31.658,0.204245,155
16,19,104,8.73957,0.0563843,155
16,0,5,0,0,155
15,27,102,99.191,0.639942,155
15,14,101,0,0,155
15,11,87,11.6935,0.0754419,155
15,8,67,21.1868,0.136689,155
15,7,61,9.43221,0.060853,155
14,15,100,9.65631,0.0622987,155
14,11,85,47.3648,0.305579,155
14,8,65,33.0229,0.213051,155
14,7,59,6.19307,0.0399553,155
13,36,98,47.7722,0.308208,155
13,28,96,33.3896,0.215417,155
13,5,43,25.7909,0.166393,155
13,3,31,57.8767,0.373398,155
13,0,3,2.72984,0.0176119,155
12,28,94,60.5964,0.390944,155
12,19,92,11.2249,0.072419,155
12,10,81,12.9056,0.0832621,155
12,0,1,7.35427,0.0474469,155
11,38,90,114.307,0.737465,155
11,32,88,36.038,0.232503,155
11,15,86,20.7081,0.133601,155
11,14,84,31.0876,0.200565,155
10,19,82,33.5933,0.216731,155
10,12,80,27.7262,0.178879,155
10,5,41,49.4224,0.318854,155
10,3,29,60.739,0.391864,155
9,39,78,31.8312,0.205362,155
9,35,76,42.4348,0.273773,155
9,29,74,74.378,0.479858,155
9,22,72,106.525,0.687258,155
9,6,49,33.8989,0.218703,155
8,32,70,35.0398,0.226063,155
8,18,68,105.649,0.681606,155
8,15,66,20.9627,0.135243,155
8,14,64,13.914,0.089768,155
8,7,57,5.70415,0.0368009,155
7,32,62,37.7085,0.243281,155
7,15,60,21.1257,0.136295,155
7,14,58,15.8086,0.101991,155
7,8,56,24.6093,0.15877,155
6,35,54,38.2178,0.246566,155
6,29,52,42.72,0.275613,155
6,24,50,70.1406,0.45252,155
6,9,48,64.0494,0.413222,155
5,36,46,52.1828,0.336663,155
5,29,44,155,1,155
5,13,42,21.5128,0.138792,155
5,10,40,47.8537,0.308734,155
5,3,27,3.64658,0.0235263,155
4,37,38,49.3612,0.31846,155
4,33,36,69.5906,0.448972,155
4,31,34,18.5996,0.119997,155
4,1,13,27.8485,0.179667,155
3,36,32,39.2975,0.253532,155
3,13,30,32.1062,0.207137,155
3,10,28,27.1354,0.175067,155
3,5,26,36.1195,0.233029,155
3,1,11,155,1,155
2,25,24,55.0858,0.355392,155
2,23,22,26.0354,0.16797,155
2,21,20,31.9025,0.205822,155
2,17,18,3.56509,0.0230006,155
1,39,16,155,1,155
1,31,14,105.73,0.682132,155
1,4,12,55.5339,0.358283,155
1,3,10,61.4418,0.396399,155
0,28,8,50.4817,0.325688,155
0,19,6,9.08589,0.0586187,155
0,16,4,21.635,0.139581,155
0,13,2,57.0007,0.367747,155
0,12,0,2.6891,0.017349,155
