source,destination,link_id,used_rate_c,usage,capacity_c
39,26,157,59.6694,0.686934,86.8634
39,22,139,45.2438,0.532993,84.8864
39,9,79,5.43931,0.0641074,84.8469
39,1,17,66.7872,0.788034,84.7517
38,33,177,61.1362,0.738254,82.812
38,29,165,73.8092,0.854889,86.3377
38,27,159,38.2789,0.439321,87.1319
38,20,131,14.6678,0.171171,85.6911
38,11,91,57.216,0.606678,94.3103
37,33,175,54.2607,0.655228,82.812
37,28,161,79.0635,0.946767,83.5089
37,24,149,25.1594,0.308181,81.6381
37,4,39,4.62443,0.0528775,87.4555
36,24,147,81.6381,1,81.6381
36,16,109,26.6058,0.301952,88.1127
36,13,99,4.52578,0.0534697,84.642
36,5,47,1.58206,0.0184804,85.6076
36,3,33,0,0,84.1167
35,30,169,89.0187,1,89.0187
35,29,163,9.61556,0.111372,86.3377
35,24,145,77.1518,0.945046,81.6381
35,9,77,15.8086,0.18632,84.8469
35,6,55,0,0,87.3775
34,32,173,56.1655,0.590636,95.0931
34,30,167,25.3427,0.28469,89.0187
34,26,155,46.9777,0.540823,86.8634
34,20,129,44.3294,0.517316,85.6911
33,38,176,70.6194,0.852768,82.812
33,37,174,74.7039,0.902091,82.812
33,31,171,33.7767,0.389615,86.6925
33,20,127,85.6911,1,85.6911
33,4,37,0,0,87.4555
32,34,172,68.8776,0.724317,95.0931
32,11,89,11.3268,0.120101,94.3103
32,8,71,0,0,94.7124
32,7,63,7.45613,0.0733015,101.719
31,33,170,60.4989,0.697856,86.6925
31,24,143,58.5388,0.717052,81.6381
31,4,35,3.46323,0.0395999,87.4555
31,1,15,0,0,84.7517
30,35,168,89.0187,1,89.0187
30,34,166,37.6677,0.423144,89.0187
30,26,153,19.8423,0.228431,86.8634
30,18,123,22.8981,0.260414,87.9296
29,38,164,86.3377,1,86.3377
29,35,162,29.3764,0.340249,86.3377
29,9,75,38.0446,0.448392,84.8469
29,6,53,9.26924,0.106083,87.3775
29,5,45,68.0353,0.794735,85.6076
28,37,160,83.5089,1,83.5089
28,16,107,13.1195,0.148895,88.1127
28,13,97,8.04692,0.0950701,84.642
