switch_id,used_rules,usage
39,487,1.24872
38,570,1.46154
37,523,1.34103
36,484,1.24103
35,541,1.38718
34,372,0.953846
33,684,1.75385
32,252,0.646154
31,345,0.884615
30,333,0.853846
29,484,1.24103
28,509,1.30513
27,398,1.02051
26,411,1.05385
25,400,1.02564
24,753,1.93077
23,377,0.966667
22,631,1.61795
21,321,0.823077
20,438,1.12308
19,231,0.592308
18,343,0.879487
17,240,0.615385
16,309,0.792308
15,326,0.835897
14,162,0.415385
13,467,1.19744
12,270,0.692308
11,273,0.7
10,370,0.948718
9,603,1.54615
8,238,0.610256
7,159,0.407692
6,382,0.979487
5,484,1.24103
4,333,0.853846
3,478,1.22564
2,212,0.54359
1,451,1.15641
0,324,0.830769
