source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,27.7192,195,0.14215,2,2,2,2
0,2,1,22.4596,158,0.14215,1,1,1,1
0,3,2,24.734,174,0.14215,4,3.5,3,4
0,4,3,14.3571,101,0.14215,3,2.66667,2,3
0,5,4,28.1456,198,0.14215,2,1.5,1,2
0,6,5,22.4596,158,0.14215,5,3.8,2,4
0,7,6,25.8712,182,0.14215,2,3,3,2
0,8,7,21.891,154,0.14215,3,2.66667,2,3
0,9,8,24.8762,175,0.14215,2,3,2,2
0,10,9,17.3423,122,0.14215,2,1.5,1,2
0,11,10,16.2051,114,0.14215,9,4.55556,3,9
1,2,11,25.4448,179,0.14215,1,1,1,1
1,3,12,16.6315,117,0.14215,3,3,3,3
1,4,13,14.9257,105,0.14215,1,2,2,1
1,5,14,22.6018,159,0.14215,3,3,2,2
1,6,15,28.1456,198,0.14215,8,4.5,2,8
1,7,16,26.8663,189,0.14215,2,2,1,2
1,8,17,23.5968,166,0.14215,5,4,3,5
1,9,18,20.1853,142,0.14215,2,2,2,2
1,10,19,19.4745,137,0.14215,3,2.66667,1,3
1,11,20,23.1704,163,0.14215,10,5.4,2,7
2,3,21,18.6216,131,0.14215,9,4.33333,4,9
2,4,22,22.6018,159,0.14215,4,3.5,3,4
2,5,23,23.3125,164,0.14215,3,2.66667,2,3
2,6,24,18.1952,128,0.14215,8,4.25,3,8
2,7,25,27.7192,195,0.14215,2,2,2,2
2,8,26,18.4795,130,0.14215,5,3.8,3,5
2,9,27,14.9257,105,0.14215,2,2,1,2
2,10,28,24.5919,173,0.14215,3,2.33333,2,3
2,11,29,22.3175,157,0.14215,2,3,3,2
3,4,30,27.577,194,0.14215,1,1,1,1
3,5,31,17.7687,125,0.14215,2,3,3,1
3,6,32,15.6365,110,0.14215,1,1,1,1
3,7,33,18.7638,132,0.14215,2,2.5,2,2
3,8,34,22.6018,159,0.14215,1,2,2,1
3,9,35,15.4943,109,0.14215,2,3.5,3,2
3,10,36,17.9109,126,0.14215,1,2,2,1
3,11,37,14.215,100,0.14215,2,1.5,1,2
4,5,38,17.6266,124,0.14215,2,2,2,2
4,6,39,15.0679,106,0.14215,2,2,2,2
4,7,40,19.3324,136,0.14215,6,4,3,5
4,8,41,20.4696,144,0.14215,1,1,1,1
4,9,42,23.8811,168,0.14215,6,4.66667,4,6
4,10,43,16.9158,119,0.14215,1,1,1,1
4,11,44,18.053,127,0.14215,4,3,2,4
5,6,45,14.9257,105,0.14215,3,3.33333,2,3
5,7,46,20.896,147,0.14215,5,4.4,3,4
5,8,47,19.901,140,0.14215,1,1,1,1
5,9,48,28.1456,198,0.14215,8,5.125,3,6
5,10,49,14.7836,104,0.14215,1,1,1,1
5,11,50,16.0629,113,0.14215,4,4,3,4
6,7,51,24.0233,169,0.14215,2,2.5,2,2
6,8,52,26.582,187,0.14215,2,3,3,1
6,9,53,27.8613,196,0.14215,2,3.5,3,2
6,10,54,27.4349,193,0.14215,1,1,1,1
6,11,55,21.4646,151,0.14215,2,1.5,1,2
7,8,56,15.0679,106,0.14215,8,5,4,5
7,9,57,17.7687,125,0.14215,1,1,1,1
7,10,58,27.577,194,0.14215,6,3.83333,2,6
7,11,59,27.577,194,0.14215,1,1,1,1
8,9,60,17.4844,123,0.14215,6,5.33333,4,6
8,10,61,25.7291,181,0.14215,2,2,2,2
8,11,62,27.4349,193,0.14215,6,4.16667,3,5
9,10,63,25.7291,181,0.14215,4,3.5,3,4
9,11,64,27.7192,195,0.14215,1,2,2,1
10,11,65,20.0431,141,0.14215,4,3,2,4
