source,destination,link_id,used_rate,usage,link_capa
11,7,33,113.59,0.732842,155
11,6,29,26.7278,0.172437,155
11,3,17,15.7718,0.101753,155
10,6,27,137.964,0.890091,155
10,5,25,70.2324,0.453112,155
10,4,21,102.797,0.663207,155
10,1,9,70.0431,0.451891,155
10,0,1,0,0,155
9,7,31,99.444,0.641574,155
9,2,11,16.3408,0.105424,155
8,5,23,11.3551,0.0732585,155
8,4,19,103.71,0.669097,155
7,11,32,142.168,0.917212,155
7,9,30,114.774,0.740477,155
7,1,7,18.769,0.12109,155
6,11,28,124.088,0.800569,155
6,10,26,82.0187,0.529153,155
6,3,15,76.1371,0.491207,155
5,0,35,12.4842,0.0805433,155
5,10,24,107.917,0.696238,155
5,8,22,107.275,0.692097,155
4,10,20,105.837,0.68282,155
4,8,18,105.731,0.682137,155
4,3,13,137.944,0.889964,155
3,11,16,124.097,0.800624,155
3,6,14,104.617,0.674945,155
3,4,12,91.1208,0.587876,155
2,9,10,138.185,0.891517,155
2,1,5,109.796,0.708361,155
2,0,3,136.254,0.879057,155
1,10,8,141.915,0.91558,155
1,7,6,138.158,0.891341,155
1,2,4,111.859,0.72167,155
0,5,34,140.829,0.908576,155
0,2,2,113.175,0.730161,155
0,10,0,140.795,0.908355,155
