source,destination,link_id,used_rate_c,usage,capacity_c
11,7,33,98.6364,1,98.6364
11,6,29,0,0,94.2157
11,3,17,18.2353,0.193548,94.2157
10,6,27,94.2157,1,94.2157
10,5,25,69.9798,0.729722,95.8993
10,4,21,69.8166,0.74273,94
10,1,9,16.504,0.169575,97.3256
10,0,1,0,0,95.3846
9,7,31,89.1502,0.903827,98.6364
9,2,11,0,0,95.8993
8,5,23,19.4821,0.203152,95.8993
8,4,19,41.7911,0.444586,94
7,11,32,98.6364,1,98.6364
7,9,30,98.5015,0.998633,98.6364
7,1,7,0,0,97.3256
6,11,28,94.2157,1,94.2157
6,10,26,49.7184,0.527708,94.2157
6,3,15,19.716,0.209265,94.2157
5,0,35,0,0,95.3846
5,10,24,86.2815,0.899709,95.8993
5,8,22,72.0059,0.75085,95.8993
4,10,20,74.8576,0.796357,94
4,8,18,86.4228,0.919392,94
4,3,13,94.2157,1,94.2157
3,11,16,94.2157,1,94.2157
3,6,14,55.2511,0.586432,94.2157
3,4,12,94.2157,1,94.2157
2,9,10,95.8993,1,95.8993
2,1,5,44.3899,0.456097,97.3256
2,0,3,49.4061,0.517967,95.3846
1,10,8,97.3256,1,97.3256
1,7,6,97.3256,1,97.3256
1,2,4,58.8827,0.605007,97.3256
0,5,34,95.3846,1,95.3846
0,2,2,95.3846,1,95.3846
0,10,0,95.3846,1,95.3846
