source,destination,link_id,used_rate,usage,link_capa
11,7,33,141.83,0.915031,155
11,6,29,26.2621,0.169433,155
11,3,17,18.2353,0.117647,155
10,6,27,140.504,0.90648,155
10,5,25,30.7043,0.198092,155
10,4,21,80.2668,0.51785,155
10,1,9,28.5995,0.184513,155
10,0,1,0,0,155
9,7,31,89.1502,0.575163,155
9,2,11,28.2101,0.182001,155
8,5,23,57.9788,0.374057,155
8,4,19,76.1359,0.4912,155
7,11,32,155,1,155
7,9,30,112.762,0.727499,155
7,1,7,35.4577,0.228759,155
6,11,28,137.778,0.888888,155
6,10,26,61.0178,0.393663,155
6,3,15,35.4573,0.228756,155
5,0,35,44.3415,0.286074,155
5,10,24,78.7855,0.508294,155
5,8,22,126.322,0.81498,155
4,10,20,46.7571,0.301659,155
4,8,18,115.178,0.743086,155
4,3,13,155,1,155
3,11,16,150.402,0.970336,155
3,6,14,53.3031,0.343891,155
3,4,12,103.645,0.668677,155
2,9,10,155,1,155
2,1,5,106.606,0.687782,155
2,0,3,150.869,0.973349,155
1,10,8,155,1,155
1,7,6,155,1,155
1,2,4,72.6289,0.468574,155
0,5,34,154.999,0.999994,155
0,2,2,155,1,155
0,10,0,155,1,155
