source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,30.3921,195,0.155857,2,2,2,1
0,2,1,24.6254,158,0.155857,1,1,1,1
0,3,2,27.1191,174,0.155857,4,3.5,3,1
0,4,3,15.7416,101,0.155857,3,2.66667,2,1
0,5,4,30.8597,198,0.155857,1,1,1,1
0,6,5,24.6254,158,0.155857,1,2,2,1
0,7,6,28.366,182,0.155857,2,3,3,2
0,8,7,24.002,154,0.155857,1,2,2,1
0,9,8,27.275,175,0.155857,1,2,2,1
0,10,9,19.0146,122,0.155857,2,1.5,1,1
0,11,10,17.7677,114,0.155857,3,4,3,2
1,2,11,27.8984,179,0.155857,1,1,1,1
1,3,12,18.2353,117,0.155857,2,3,3,2
1,4,13,16.365,105,0.155857,1,2,2,1
1,5,14,24.7813,159,0.155857,1,2,2,1
1,6,15,30.8597,198,0.155857,2,2.5,2,2
1,7,16,29.457,189,0.155857,1,1,1,1
1,8,17,25.8723,166,0.155857,2,3.5,3,2
1,9,18,22.1317,142,0.155857,2,2,2,2
1,10,19,21.3524,137,0.155857,1,1,1,1
1,11,20,25.4047,163,0.155857,1,2,2,1
2,3,21,20.4173,131,0.155857,2,4,4,2
2,4,22,24.7813,159,0.155857,4,3.5,3,2
2,5,23,25.5605,164,0.155857,1,2,2,1
2,6,24,19.9497,128,0.155857,3,3.33333,3,2
2,7,25,30.3921,195,0.155857,2,2,2,1
2,8,26,20.2614,130,0.155857,1,3,3,1
2,9,27,16.365,105,0.155857,1,1,1,1
2,10,28,26.9633,173,0.155857,2,2,2,1
2,11,29,24.4695,157,0.155857,2,3,3,1
3,4,30,30.2363,194,0.155857,1,1,1,1
3,5,31,19.4821,125,0.155857,2,3,3,1
3,6,32,17.1443,110,0.155857,1,1,1,1
3,7,33,20.5731,132,0.155857,1,2,2,1
3,8,34,24.7813,159,0.155857,1,2,2,1
3,9,35,16.9884,109,0.155857,1,3,3,1
3,10,36,19.638,126,0.155857,1,2,2,1
3,11,37,15.5857,100,0.155857,1,1,1,1
4,5,38,19.3263,124,0.155857,2,2,2,2
4,6,39,16.5208,106,0.155857,1,2,2,1
4,7,40,21.1966,136,0.155857,2,3.5,3,2
4,8,41,22.4434,144,0.155857,1,1,1,1
4,9,42,26.184,168,0.155857,2,4,4,2
4,10,43,18.547,119,0.155857,1,1,1,1
4,11,44,19.7938,127,0.155857,1,2,2,1
5,6,45,16.365,105,0.155857,1,2,2,1
5,7,46,22.911,147,0.155857,1,3,3,1
5,8,47,21.82,140,0.155857,1,1,1,1
5,9,48,30.8597,198,0.155857,2,3.5,3,2
5,10,49,16.2091,104,0.155857,1,1,1,1
5,11,50,17.6118,113,0.155857,1,3,3,1
6,7,51,26.3398,169,0.155857,1,2,2,1
6,8,52,29.1453,187,0.155857,2,3,3,1
6,9,53,30.548,196,0.155857,1,3,3,1
6,10,54,30.0804,193,0.155857,1,1,1,1
6,11,55,23.5344,151,0.155857,1,1,1,1
7,8,56,16.5208,106,0.155857,2,4,4,1
7,9,57,19.4821,125,0.155857,1,1,1,1
7,10,58,30.2363,194,0.155857,2,2.5,2,2
7,11,59,30.2363,194,0.155857,1,1,1,1
8,9,60,19.1704,123,0.155857,4,4.75,4,2
8,10,61,28.2101,181,0.155857,1,2,2,1
8,11,62,30.0804,193,0.155857,1,3,3,1
9,10,63,28.2101,181,0.155857,1,3,3,1
9,11,64,30.3921,195,0.155857,1,2,2,1
10,11,65,21.9758,141,0.155857,1,2,2,1
