source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
12,8,0,14.8719,10,1.48719,36,4.66667,2
12,21,1,9.82672,7,1.40382,158,5.88608,4
12,9,2,10.4104,7,1.48719,4,2,2
12,14,3,8.92316,6,1.48719,18,3.22222,1
12,11,4,5.94878,4,1.48719,2,1,1
12,2,5,15.5003,11,1.40912,173,6.81503,5
12,0,6,12.911,9,1.43455,205,6.72683,5
12,7,7,2.97439,2,1.48719,24,3.83333,3
12,25,8,14.8719,10,1.48719,57,3.50877,3
12,16,9,10.4104,7,1.48719,2,1,1
16,9,10,6.79616,6,1.13269,10,3.5,3
16,20,11,10.4104,7,1.48719,155,5.09677,4
16,18,12,16.0823,11,1.46202,49,3.81633,2
16,14,13,4.81693,4,1.20423,34,4.14706,2
16,6,14,14.8719,10,1.48719,11,2.63636,2
16,13,15,10.6612,11,0.969197,2,1,1
16,0,16,20.4864,14,1.46332,197,5.89848,4
16,3,17,9.86119,13,0.758553,81,4.77778,3
16,21,18,8.45007,8,1.05626,148,5.0473,3
16,24,19,3.73115,9,0.414572,134,5.11194,3
8,25,20,5.94878,4,1.48719,65,4.58462,3
8,7,21,8.92316,6,1.48719,2,1,1
8,22,22,4.46158,3,1.48719,175,6.14857,5
8,6,23,19.3335,13,1.48719,4,2,2
8,9,24,20.8207,14,1.48719,6,1.66667,1
8,11,25,2.97439,2,1.48719,6,1.66667,1
8,2,26,5.94878,4,1.48719,132,7.65152,6
8,20,27,17.8463,12,1.48719,218,7.76147,7
8,10,28,19.3335,13,1.48719,18,2.55556,2
8,12,29,1.48719,1,1.48719,36,4.66667,2
8,18,30,7.37072,6,1.22845,166,5.78916,5
2,22,31,7.43597,5,1.48719,102,4.45098,4
2,0,32,11.8976,8,1.48719,59,5.01695,2
2,25,33,14.8719,10,1.48719,145,6.10345,4
2,4,34,20.8207,14,1.48719,33,5.39394,2
2,15,35,2.97439,2,1.48719,117,5.19658,3
2,14,36,4.46158,3,1.48719,147,6.06803,4
2,10,37,10.4104,7,1.48719,142,6.94366,5
2,20,38,6.17581,5,1.23516,55,4.78182,3
2,19,39,1.98413,10,0.198413,40,3.675,2
2,13,40,0,1,0,50,5.96,3
4,20,41,10.4104,7,1.48719,162,5.3642,4
4,11,42,2.2648,7,0.323544,106,5.22642,4
4,3,43,13.3255,9,1.48061,13,4.07692,1
4,21,44,6.18567,5,1.23713,139,4.94964,4
4,6,45,4.46158,3,1.48719,8,2,2
4,7,46,2.97439,2,1.48719,16,3,3
4,24,47,7.43765,7,1.06252,90,4.61111,4
4,22,48,2.14768,4,0.536921,118,4.89831,4
4,2,49,10.4104,7,1.48719,4,2,2
5,10,50,0,1,0,102,5.27451,5
5,15,51,12.9504,12,1.0792,71,5.1831,3
5,11,52,0,1,0,54,4.55556,4
5,25,53,3.12574,5,0.625148,155,5.67742,4
5,24,54,1.89519,6,0.315864,193,6.31606,5
5,12,55,2.97439,2,1.48719,35,3.77143,3
5,3,56,6.77715,14,0.484082,31,4.51613,2
5,21,57,0,1,0,208,7.54808,5
5,14,58,0,13,0,135,5.8,4
5,16,59,16.3591,11,1.48719,20,2.8,2
5,1,60,0.157932,6,0.026322,199,8.01508,4
2,11,61,0,13,0,197,7.88832,6
16,15,62,0,10,0,50,4.42,1
16,22,63,0,2,0,123,5.14634,3
2,1,64,0,3,0,37,4.62162,1
2,3,65,0,14,0,31,4.45161,1
8,15,66,0,2,0,86,4.27907,4
