source,destination,link_id,used_rate_c,usage,capacity_c
26,18,122,0.388359,0.0191205,20.3112
26,18,121,0.19418,0.00956024,20.3112
26,21,112,9.45342,0.463043,20.4159
26,21,111,10.2181,0.500496,20.4159
26,19,108,10.1944,0.499502,20.4092
26,19,107,9.39794,0.460476,20.4092
26,22,74,3.39814,0.165319,20.5551
26,22,71,4.07777,0.198383,20.5551
26,23,8,1.01251,0.0496826,20.3795
26,23,7,1.42861,0.0701001,20.3795
25,15,148,1.22056,0.0602275,20.2658
25,15,147,0.859939,0.042433,20.2658
25,24,52,19.6635,0.958103,20.5234
25,24,49,19.0285,0.92716,20.5234
25,10,46,2.03889,0.100189,20.3505
25,10,45,1.9418,0.0954176,20.3505
24,23,60,5.09028,0.249774,20.3795
24,23,59,5.1694,0.253657,20.3795
24,22,56,8.97388,0.436577,20.5551
24,22,55,8.9184,0.433878,20.5551
24,25,53,8.40521,0.409543,20.5234
24,25,48,8.10007,0.394675,20.5234
23,15,144,2.45499,0.121139,20.2658
23,15,143,3.07914,0.151937,20.2658
23,18,140,2.48273,0.122234,20.3112
23,18,137,2.39847,0.118086,20.3112
23,21,68,11.2919,0.553096,20.4159
23,21,67,10.6539,0.521845,20.4159
23,22,64,6.7117,0.326522,20.5551
23,22,63,6.92024,0.336668,20.5551
23,24,61,7.03808,0.34535,20.3795
23,24,58,7.04875,0.345874,20.3795
23,26,9,8.88656,0.436053,20.3795
23,26,6,8.33586,0.409031,20.3795
22,21,78,10.7354,0.525834,20.4159
22,21,77,10.4025,0.509529,20.4159
22,26,75,0.596409,0.0290152,20.5551
22,26,70,0.776719,0.0377872,20.5551
22,23,65,0,0,20.5551
22,23,62,0,0,20.5551
22,24,57,4.46613,0.217276,20.5551
22,24,54,5.22898,0.254389,20.5551
21,26,113,0.26353,0.0129081,20.4159
21,26,110,0.707369,0.034648,20.4159
21,19,100,7.55914,0.370379,20.4092
21,19,99,7.26196,0.355819,20.4092
21,20,82,12.3998,0.596525,20.7867
21,20,81,12.3304,0.593189,20.7867
21,22,79,4.18873,0.20517,20.4159
21,22,76,3.14848,0.154217,20.4159
21,23,69,1.51183,0.0740516,20.4159
21,23,66,1.76149,0.0862803,20.4159
20,19,90,0,0,20.4092
20,19,89,0,0,20.4092
20,0,86,5.67282,0.271548,20.8907
20,0,85,5.67282,0.271548,20.8907
20,21,83,2.64917,0.127446,20.7867
20,21,80,2.56595,0.123442,20.7867
19,18,118,4.77127,0.234909,20.3112
19,18,115,2.02502,0.0996996,20.3112
19,26,109,3.32879,0.163103,20.4092
19,26,106,3.85585,0.188927,20.4092
19,1,104,3.62006,0.175941,20.5754
19,1,103,4.29969,0.208972,20.5754
19,21,101,3.0514,0.149511,20.4092
19,21,98,3.31492,0.162423,20.4092
19,0,96,12.1362,0.58094,20.8907
19,0,93,12.2888,0.588243,20.8907
19,20,91,12.0808,0.591927,20.4092
19,20,88,12.053,0.590568,20.4092
18,23,141,11.0885,0.545932,20.3112
18,23,136,9.70811,0.477969,20.3112
18,15,134,4.02229,0.198477,20.2658
18,15,133,4.45226,0.219693,20.2658
18,17,130,3.10688,0.15146,20.5128
18,17,129,3.10688,0.15146,20.5128
18,3,126,10.3737,0.502067,20.662
18,3,125,10.5634,0.511249,20.662
18,26,123,11.0287,0.542987,20.3112
18,26,120,11.9837,0.590003,20.3112
18,19,119,13.0655,0.643268,20.3112
18,19,114,12.4414,0.612538,20.3112
17,4,178,3.15706,0.154062,20.4922
17,4,177,3.28718,0.160412,20.4922
17,16,174,0,0,20.4017
17,16,173,0,0,20.4017
17,15,170,20.2658,1,20.2658
17,15,169,20.2658,1,20.2658
17,18,131,20.5128,1,20.5128
17,18,128,20.5128,1,20.5128
16,12,200,10.2777,0.500294,20.5432
16,12,199,8.77065,0.426937,20.5432
16,13,184,20.6969,1,20.6969
16,13,181,20.6969,1,20.6969
16,17,175,20.4017,1,20.4017
16,17,172,20.4017,1,20.4017
16,15,166,20.2658,1,20.2658
16,15,165,20.2658,1,20.2658
15,17,171,0,0,20.2658
15,17,168,0,0,20.2658
15,16,167,0,0,20.2658
15,16,164,0,0,20.2658
15,14,152,5.28446,0.258201,20.4664
15,14,151,4.99319,0.24397,20.4664
15,25,149,13.0378,0.643339,20.2658
15,25,146,13.2833,0.655456,20.2658
15,23,145,20.2658,1,20.2658
15,23,142,20.2658,1,20.2658
15,18,135,20.2658,1,20.2658
15,18,132,20.2658,1,20.2658
14,12,162,0,0,20.5432
14,12,159,0,0,20.5432
14,10,156,4.71579,0.231729,20.3505
14,10,155,6.29697,0.309426,20.3505
14,15,153,19.5231,0.953906,20.4664
14,15,150,19.2394,0.940048,20.4664
13,6,196,16.8659,0.816012,20.6687
13,6,195,16.8137,0.813487,20.6687
13,5,192,0,0,20.5217
13,5,191,0,0,20.5217
13,4,188,5.18839,0.253189,20.4922
13,4,187,5.60347,0.273444,20.4922
13,16,185,9.41949,0.455115,20.6969
13,16,180,12.1085,0.585038,20.6969
12,11,203,20.5152,1,20.5152
12,16,201,16.7151,0.813655,20.5432
12,16,198,16.852,0.820321,20.5432
12,14,163,20.5432,1,20.5432
12,14,158,20.5432,1,20.5432
12,11,4,20.5152,1,20.5152
11,12,202,0.18031,0.00878907,20.5152
11,10,38,17.6999,0.869751,20.3505
11,10,37,18.2806,0.898289,20.3505
11,9,34,15.4542,0.745925,20.7182
11,9,33,15.895,0.767201,20.7182
11,8,30,1.91406,0.0937065,20.4261
11,8,27,1.91406,0.0937065,20.4261
11,12,5,0.16644,0.00811299,20.5152
10,14,157,7.37119,0.362211,20.3505
10,14,154,8.26828,0.406293,20.3505
10,25,47,19.9268,0.979178,20.3505
10,25,44,20.3505,1,20.3505
10,9,42,0,0,20.7182
10,9,41,0,0,20.7182
10,11,39,0,0,20.3505
10,11,36,0,0,20.3505
9,10,43,14.2017,0.685471,20.7182
9,10,40,19.1745,0.925494,20.7182
