source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
12,8,0,11.8039,10,1.18039,15,4.2,2,7
12,21,1,8.26273,7,1.18039,29,4.82759,4,6
12,9,2,8.26273,7,1.18039,4,2,2,4
12,14,3,7.08234,6,1.18039,4,2,1,3
12,11,4,4.72156,4,1.18039,2,1,1,2
12,2,5,12.9843,11,1.18039,32,6,5,3
12,0,6,10.6235,9,1.18039,34,6.20588,5,1
12,7,7,2.36078,2,1.18039,18,3.72222,3,8
12,25,8,11.8039,10,1.18039,20,3.2,3,10
12,16,9,8.26273,7,1.18039,2,1,1,2
16,9,10,7.08234,6,1.18039,8,3,3,8
16,20,11,8.26273,7,1.18039,32,4.6875,4,2
16,18,12,12.9843,11,1.18039,13,2.38462,2,9
16,14,13,4.72156,4,1.18039,8,2.5,2,5
16,6,14,11.8039,10,1.18039,4,2,2,4
16,13,15,12.9843,11,1.18039,2,1,1,2
16,0,16,16.5255,14,1.18039,34,5.11765,4,1
16,3,17,15.3451,13,1.18039,25,3.28,3,6
16,21,18,9.44312,8,1.18039,30,4.36667,3,2
16,24,19,10.6235,9,1.18039,23,4.04348,3,7
8,25,20,4.72156,4,1.18039,15,3.33333,3,8
8,7,21,7.08234,6,1.18039,2,1,1,2
8,22,22,3.54117,3,1.18039,31,5.48387,5,4
8,6,23,15.3451,13,1.18039,4,2,2,4
8,9,24,16.5255,14,1.18039,6,1.66667,1,5
8,11,25,2.36078,2,1.18039,2,1,1,2
8,2,26,4.72156,4,1.18039,32,6.875,6,3
8,20,27,14.1647,12,1.18039,35,7.45714,7,0
8,10,28,15.3451,13,1.18039,11,2.27273,2,10
8,12,29,1.18039,1,1.18039,19,4.36842,2,7
8,18,30,7.08234,6,1.18039,31,5.32258,5,4
2,22,31,5.90195,5,1.18039,27,4.40741,4,6
2,0,32,9.44312,8,1.18039,9,3.44444,2,4
2,25,33,11.8039,10,1.18039,30,5.53333,4,4
2,4,34,16.5255,14,1.18039,9,3.77778,2,4
2,15,35,2.36078,2,1.18039,33,4.60606,3,2
2,14,36,3.54117,3,1.18039,32,5.59375,4,2
2,10,37,8.26273,7,1.18039,32,6.53125,5,2
2,20,38,5.90195,5,1.18039,12,3.41667,3,9
2,19,39,11.8039,10,1.18039,15,3.2,2,5
2,13,40,1.18039,1,1.18039,14,4.42857,3,8
4,20,41,8.26273,7,1.18039,29,4.89655,4,3
4,11,42,8.26273,7,1.18039,25,4.68,4,8
4,3,43,10.6235,9,1.18039,3,1.66667,1,2
4,21,44,5.90195,5,1.18039,28,4.39286,4,6
4,6,45,3.54117,3,1.18039,8,2,2,7
4,7,46,2.36078,2,1.18039,14,3,3,10
4,24,47,8.26273,7,1.18039,25,4.04,4,8
4,22,48,4.72156,4,1.18039,29,4.03448,4,6
4,2,49,8.26273,7,1.18039,4,2,2,4
5,10,50,1.18039,1,1.18039,31,5.06452,5,4
5,15,51,14.1647,12,1.18039,17,3.70588,3,7
5,11,52,1.18039,1,1.18039,14,4.07143,4,11
5,25,53,5.90195,5,1.18039,29,5.03448,4,6
5,24,54,7.08234,6,1.18039,35,6.14286,5,0
5,12,55,2.36078,2,1.18039,17,3.52941,3,7
5,3,56,16.5255,14,1.18039,11,3.09091,2,7
5,21,57,1.18039,1,1.18039,34,6.55882,5,1
5,14,58,15.3451,13,1.18039,34,5.29412,4,1
5,16,59,12.9843,11,1.18039,8,2.5,2,7
5,1,60,7.08234,6,1.18039,34,6.5,4,1
2,11,61,15.3451,13,1.18039,35,7.97143,6,0
16,15,62,11.8039,10,1.18039,10,2.3,1,5
16,22,63,2.36078,2,1.18039,18,4,3,11
2,1,64,3.54117,3,1.18039,6,3.83333,1,2
2,3,65,16.5255,14,1.18039,2,1,1,2
8,15,66,2.36078,2,1.18039,24,4.04167,4,6
