source,destination,link_id,used_rate,usage,link_capa
26,18,122,0,0,40
26,18,121,0,0,40
26,21,112,5.22661,0.130665,40
26,21,111,5.43025,0.135756,40
26,19,108,6.78781,0.169695,40
26,19,107,6.99144,0.174786,40
26,22,74,2.71512,0.0678781,40
26,22,71,2.71512,0.0678781,40
26,23,8,1.15393,0.0288482,40
26,23,7,1.76483,0.0441208,40
25,15,148,0.135756,0.0033939,40
25,15,147,0,0,40
25,24,52,13.9829,0.349572,40
25,24,49,13.915,0.347875,40
25,10,46,3.73329,0.0933324,40
25,10,45,3.52966,0.0882415,40
24,23,60,1.83271,0.0458177,40
24,23,59,1.90059,0.0475147,40
24,22,56,5.36237,0.134059,40
24,22,55,5.566,0.13915,40
24,25,53,6.99144,0.174786,40
24,25,48,6.85569,0.171392,40
23,15,144,2.37573,0.0593933,40
23,15,143,3.05451,0.0763628,40
23,18,140,0,0,40
23,18,137,0,0,40
23,21,68,8.00961,0.20024,40
23,21,67,7.87386,0.196846,40
23,22,64,4.41208,0.110302,40
23,22,63,4.3442,0.108605,40
23,24,61,6.38054,0.159513,40
23,24,58,6.10903,0.152726,40
23,26,9,4.81934,0.120484,40
23,26,6,4.61571,0.115393,40
22,21,78,5.83751,0.145938,40
22,21,77,5.49812,0.137453,40
22,26,75,0,0,40
22,26,70,0,0,40
22,23,65,0,0,40
22,23,62,0,0,40
22,24,57,3.59754,0.0899385,40
22,24,54,3.93693,0.0984232,40
21,26,113,0,0,40
21,26,110,0,0,40
21,19,100,2.23998,0.0559994,40
21,19,99,2.44361,0.0610903,40
21,20,82,7.26295,0.181574,40
21,20,81,7.39871,0.184968,40
21,22,79,3.05451,0.0763628,40
21,22,76,3.05451,0.0763628,40
21,23,69,1.76483,0.0441208,40
21,23,66,1.49332,0.0373329,40
20,19,90,0,0,40
20,19,89,0,0,40
20,0,86,2.51149,0.0627872,40
20,0,85,2.1721,0.0543025,40
20,21,83,1.22181,0.0305451,40
20,21,80,1.83271,0.0458177,40
19,18,118,1.28968,0.0322421,40
19,18,115,0.746659,0.0186665,40
19,26,109,4.27632,0.106908,40
19,26,106,3.80117,0.0950293,40
19,1,104,3.52966,0.0882415,40
19,1,103,3.86905,0.0967263,40
19,21,101,3.19027,0.0797567,40
19,21,98,3.12239,0.0780598,40
19,0,96,8.07749,0.201937,40
19,0,93,7.53447,0.188362,40
19,20,91,6.31266,0.157817,40
19,20,88,6.65205,0.166301,40
18,23,141,6.5163,0.162907,40
18,23,136,6.5163,0.162907,40
18,15,134,6.04115,0.151029,40
18,15,133,5.566,0.13915,40
18,17,130,0.0678781,0.00169695,40
18,17,129,0.0678781,0.00169695,40
18,3,126,6.65205,0.166301,40
18,3,125,6.38054,0.159513,40
18,26,123,7.67022,0.191756,40
18,26,120,7.60234,0.190059,40
18,19,119,9.9102,0.247755,40
18,19,114,9.63869,0.240967,40
17,4,178,0.882415,0.0220604,40
17,4,177,0.135756,0.0033939,40
17,16,174,0.475147,0.0118787,40
17,16,173,0,0,40
17,15,170,15.4083,0.385208,40
17,15,169,15.4083,0.385208,40
17,18,131,17.4447,0.436117,40
17,18,128,17.5125,0.437814,40
16,12,200,10.1817,0.254543,40
16,12,199,9.50293,0.237573,40
16,13,184,12.6253,0.315633,40
16,13,181,13.2362,0.330906,40
16,17,175,16.7659,0.419147,40
16,17,172,16.9695,0.424238,40
16,15,166,19.0737,0.476844,40
16,15,165,18.7344,0.468359,40
15,17,171,0,0,40
15,17,168,0,0,40
15,16,167,0,0,40
15,16,164,0,0,40
15,14,152,7.19508,0.179877,40
15,14,151,6.65205,0.166301,40
15,25,149,9.16354,0.229089,40
15,25,146,9.09566,0.227392,40
15,23,145,14.5259,0.363148,40
15,23,142,14.5259,0.363148,40
