source,destination,link_id,used_rate_c,usage,capacity_c
26,18,122,0,0,20.6256
26,18,121,0,0,20.6256
26,21,112,4.06146,0.194324,20.9004
26,21,111,1,0.047846,20.9004
26,19,108,0,0,20.8386
26,19,107,0,0,20.8386
26,22,74,5,0.236431,21.1478
26,22,71,4,0.189145,21.1478
26,23,8,0,0,20.865
26,23,7,0,0,20.865
25,15,148,0,0,20.5532
25,15,147,0,0,20.5532
25,24,52,1.55323,0.074021,20.9836
25,24,49,15,0.714844,20.9836
25,10,46,4.76301,0.230082,20.7014
25,10,45,0,0,20.7014
24,23,60,0,0,20.865
24,23,59,0,0,20.865
24,22,56,3,0.141859,21.1478
24,22,55,12,0.567434,21.1478
24,25,53,0,0,20.9836
24,25,48,0,0,20.9836
23,15,144,0,0,20.5532
23,15,143,0,0,20.5532
23,18,140,0,0,20.6256
23,18,137,0,0,20.6256
23,21,68,15,0.717689,20.9004
23,21,67,7,0.334922,20.9004
23,22,64,0,0,21.1478
23,22,63,0,0,21.1478
23,24,61,7,0.33549,20.865
23,24,58,5.8365,0.279727,20.865
23,26,9,0,0,20.865
23,26,6,0,0,20.865
22,21,78,12,0.574151,20.9004
22,21,77,0,0,20.9004
22,26,75,0,0,21.1478
22,26,70,0,0,21.1478
22,23,65,0,0,21.1478
22,23,62,0,0,21.1478
22,24,57,0,0,21.1478
22,24,54,0,0,21.1478
21,26,113,0,0,20.9004
21,26,110,0,0,20.9004
21,19,100,0,0,20.8386
21,19,99,0,0,20.8386
21,20,82,7,0.326136,21.4634
21,20,81,12,0.559091,21.4634
21,22,79,0,0,20.9004
21,22,76,0,0,20.9004
21,23,69,0,0,20.9004
21,23,66,0,0,20.9004
20,19,90,0,0,20.8386
20,19,89,0,0,20.8386
20,0,86,0,0,21.6709
20,0,85,0,0,21.6709
20,21,83,0,0,21.4634
20,21,80,0,0,21.4634
19,18,118,0,0,20.6256
19,18,115,0,0,20.6256
19,26,109,5,0.239939,20.8386
19,26,106,0,0,20.8386
19,1,104,0,0,21.1282
19,1,103,0,0,21.1282
19,21,101,0,0,20.8386
19,21,98,0,0,20.8386
19,0,96,9,0.415304,21.6709
19,0,93,13.5532,0.625412,21.6709
19,20,91,7,0.335915,20.8386
19,20,88,0,0,20.8386
18,23,141,5.8365,0.282974,20.6256
18,23,136,0,0,20.6256
18,15,134,14.763,0.718282,20.5532
18,15,133,11.763,0.572319,20.5532
18,17,130,0,0,20.898
18,17,129,0,0,20.898
18,3,126,11,0.51995,21.1559
18,3,125,0,0,21.1559
18,26,123,4.06146,0.196913,20.6256
18,26,120,5,0.242417,20.6256
18,19,119,16,0.775735,20.6256
18,19,114,13.5532,0.657107,20.6256
17,4,178,0,0,20.8365
17,4,177,0,0,20.8365
17,16,174,7,0.336934,20.7756
17,16,173,0,0,20.7756
17,15,170,7,0.340579,20.5532
17,15,169,9.77504,0.475597,20.5532
17,18,131,19,0.90918,20.898
17,18,128,20.898,1,20.898
16,12,200,8,0.379245,21.0945
16,12,199,19.0945,0.905189,21.0945
16,13,184,21.3226,1,21.3226
16,13,181,11,0.515883,21.3226
16,17,175,11,0.529468,20.7756
16,17,172,11,0.529468,20.7756
16,15,166,20.5532,1,20.5532
16,15,165,20.5532,1,20.5532
15,17,171,0,0,20.5532
15,17,168,0,0,20.5532
15,16,167,0,0,20.5532
15,16,164,0,0,20.5532
15,14,152,4,0.190652,20.9807
15,14,151,9.76301,0.465333,20.9807
15,25,149,1.55323,0.075571,20.5532
15,25,146,14.763,0.718282,20.5532
15,23,145,15,0.729812,20.5532
15,23,142,14,0.681158,20.5532
15,18,135,15,0.729812,20.5532
15,18,132,13.5532,0.659421,20.5532
14,12,162,0,0,21.0945
14,12,159,0,0,21.0945
14,10,156,10,0.48306,20.7014
14,10,155,6.76301,0.326693,20.7014
14,15,153,9,0.428966,20.9807
14,15,150,8,0.381303,20.9807
13,6,196,10,0.4725,21.164
13,6,195,0,0,21.164
13,5,192,0,0,20.9257
13,5,191,0,0,20.9257
13,4,188,11.3226,0.543404,20.8365
13,4,187,0,0,20.8365
13,16,185,11,0.515883,21.3226
13,16,180,14.0945,0.661012,21.3226
12,11,203,19,0.902356,21.056
12,16,201,14,0.663679,21.0945
12,16,198,11,0.521462,21.0945
12,14,163,16,0.758491,21.0945
12,14,158,21.0945,1,21.0945
12,11,4,17,0.807371,21.056
11,12,202,1,0.0474924,21.056
11,10,38,12,0.579671,20.7014
11,10,37,13,0.627977,20.7014
11,9,34,7,0.325633,21.4966
11,9,33,6,0.279114,21.4966
11,8,30,10,0.482026,20.7458
11,8,27,2,0.0964052,20.7458
11,12,5,0,0,21.056
10,14,157,6,0.289836,20.7014
10,14,154,2,0.0966119,20.7014
10,25,47,10,0.48306,20.7014
10,25,44,19,0.917813,20.7014
10,9,42,0,0,21.4966
10,9,41,0,0,21.4966
10,11,39,4.76301,0.230082,20.7014
10,11,36,0,0,20.7014
9,10,43,7,0.325633,21.4966
9,10,40,9,0.418671,21.4966
9,11,35,0,0,21.4966
9,11,32,0,0,21.4966
9,8,24,0,0,20.7458
9,8,23,0,0,20.7458
8,11,31,15,0.723039,20.7458
8,11,26,14,0.674837,20.7458
8,9,25,13,0.626634,20.7458
8,9,22,17,0.819444,20.7458
8,7,20,15,0.702947,21.3387
8,7,19,10,0.468631,21.3387
7,8,21,1,0.0468631,21.3387
7,8,18,1,0.0468631,21.3387
7,6,16,13,0.61425,21.164
7,6,15,4,0.189,21.164
6,13,197,0,0,21.164
6,13,194,0,0,21.164
6,7,17,2,0.0945,21.164
6,7,14,2,0.0945,21.164
6,5,12,4,0.191153,20.9257
6,5,11,0,0,20.9257
5,13,193,11,0.52567,20.9257
5,13,190,14.0945,0.673552,20.9257
5,4,183,15.6697,0.752032,20.8365
5,6,13,4,0.191153,20.9257
5,6,10,3,0.143365,20.9257
5,4,2,11.9309,0.572597,20.8365
4,13,189,1,0.0479927,20.8365
4,13,186,0,0,20.8365
4,5,182,3,0.143978,20.8365
4,17,179,20.8365,1,20.8365
4,17,176,20.8365,1,20.8365
4,3,160,21.1559,1,21.1559
4,3,139,21.1559,1,21.1559
4,5,3,2,0.0959854,20.8365
3,4,161,14,0.661755,21.1559
3,4,138,1,0.0472682,21.1559
3,18,127,14,0.661755,21.1559
3,18,124,16.526,0.781155,21.1559
3,2,116,12.1559,0.585458,20.763
3,2,95,11,0.529788,20.763
2,3,117,20.763,1,20.763
2,3,94,20.763,1,20.763
2,1,72,14.1559,0.669999,21.1282
2,1,51,18,0.851942,21.1282
1,19,105,5,0.23665,21.1282
1,19,102,10,0.473301,21.1282
1,2,73,0,0,21.1282
1,2,50,0,0,21.1282
1,0,28,8,0.369159,21.6709
1,0,1,5,0.230724,21.6709
0,19,97,0,0,21.6709
0,19,92,0,0,21.6709
0,20,87,5,0.230724,21.6709
0,20,84,0,0,21.6709
0,1,29,0,0,21.6709
0,1,0,0,0,21.6709
