source,destination,link_id,used_rate,usage,link_capa
23,13,22,32569.6,0.0646223,504000
23,22,21,98913.2,0.196256,504000
22,16,99,143937,0.28559,504000
22,14,85,243763,0.483658,504000
22,23,20,58893.4,0.116852,504000
22,13,18,77131.5,0.153039,504000
22,8,16,84192.3,0.167048,504000
22,19,13,202265,0.40132,504000
21,11,67,36741,0.0728987,504000
21,7,43,51870.5,0.102918,504000
21,19,11,93574.6,0.185664,504000
20,17,55,75345.2,0.149494,504000
20,9,14,61089.9,0.12121,504000
19,16,107,24641.4,0.0488916,504000
19,8,83,51395.8,0.101976,504000
19,7,69,20110.7,0.0399022,504000
19,0,65,60522.9,0.120085,504000
19,22,12,59890.9,0.118831,504000
19,21,10,22265.6,0.0441779,504000
19,16,9,23084.7,0.0458029,504000
19,14,6,222170,0.440813,504000
19,11,4,63922.7,0.126831,504000
19,3,2,27784.7,0.0551285,504000
19,2,0,152870,0.303313,504000
18,6,87,50401.5,0.100003,504000
18,15,81,112610,0.223433,504000
18,14,59,285849,0.56716,504000
18,1,57,106779,0.211864,504000
17,15,108,108977,0.216224,504000
17,15,76,113770,0.225734,504000
17,14,61,272408,0.540491,504000
17,20,54,46991.5,0.0932371,504000
17,10,52,74625.2,0.148066,504000
16,19,106,122162,0.242384,504000
16,22,98,30346.2,0.0602106,504000
16,0,50,34316.1,0.0680876,504000
16,19,8,109977,0.218208,504000
15,17,109,64364.3,0.127707,504000
15,10,105,8354.38,0.0165761,504000
15,6,97,64031.4,0.127046,504000
15,18,80,130571,0.25907,504000
15,9,78,28616.8,0.0567794,504000
15,17,77,49389.8,0.0979957,504000
15,10,75,22267.1,0.0441808,504000
15,14,49,259487,0.514855,504000
14,22,84,191436,0.379832,504000
14,17,60,145437,0.288565,504000
14,18,58,70350.8,0.139585,504000
14,15,48,118933,0.235978,504000
14,10,47,111815,0.221855,504000
14,9,45,127087,0.252157,504000
14,5,41,138137,0.274082,504000
14,4,39,146117,0.289915,504000
14,2,31,171124,0.339532,504000
14,1,27,135218,0.268291,504000
14,19,7,177488,0.352159,504000
13,2,29,187956,0.372929,504000
13,23,23,54428.8,0.107994,504000
13,22,19,111337,0.220907,504000
12,1,95,17944.4,0.035604,504000
12,4,93,121360,0.240793,504000
12,11,91,73723.8,0.146277,504000
11,12,90,43630.9,0.0865693,504000
11,3,89,108211,0.214705,504000
11,4,73,116494,0.231139,504000
11,21,66,87851,0.174308,504000
11,1,25,65845.8,0.130647,504000
11,19,5,134174,0.266219,504000
10,15,104,43796.2,0.0868973,504000
10,15,74,43545.5,0.0863997,504000
10,17,53,16396,0.0325317,504000
10,14,46,269085,0.5339,504000
9,6,102,74989.9,0.148789,504000
9,15,79,62992.8,0.124986,504000
9,14,44,261492,0.518833,504000
9,20,15,37152.2,0.0737146,504000
8,19,82,152343,0.302268,504000
8,0,63,46393.8,0.0920511,504000
8,22,17,80465.8,0.159654,504000
7,19,68,85035.9,0.168722,504000
7,21,42,13058.8,0.0259104,504000
7,3,33,4131,0.00819642,504000
6,9,103,42390.1,0.0841074,504000
6,15,96,22457.3,0.0445582,504000
6,18,86,124575,0.247173,504000
5,14,40,259689,0.515256,504000
5,4,37,56597.6,0.112297,504000
4,2,101,102447,0.203268,504000
4,12,92,62740.1,0.124484,504000
4,11,72,99773,0.197962,504000
4,1,71,26655.5,0.0528879,504000
4,14,38,266769,0.529304,504000
4,5,36,68975,0.136855,504000
4,2,35,112765,0.22374,504000
3,11,88,31915.7,0.0633249,504000
3,7,32,3173.31,0.00629625,504000
3,19,3,105038,0.208408,504000
2,4,100,50072.1,0.0993494,504000
2,4,34,56438.3,0.111981,504000
2,14,30,239039,0.474283,504000
2,13,28,111821,0.221867,504000
2,19,1,137592,0.273,504000
1,12,94,106657,0.211621,504000
1,4,70,187872,0.372763,504000
1,18,56,224916,0.446262,504000
1,14,26,267981,0.531708,504000
1,11,24,108696,0.215667,504000
0,19,64,165176,0.327729,504000
0,8,62,10167.6,0.0201739,504000
0,16,51,105137,0.208606,504000
