source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,7,0,640,640,1,4,2.75,2
9,13,1,0,2000,0,52,8.86538,3
21,5,2,1040,1040,1,2,3.5,3
2,19,3,156663,156663,1,1,1,1
1,5,4,2400,2400,1,4,2.5,2
8,4,5,160,160,1,11,4.54545,3
18,9,6,1120,1120,1,3,2.33333,2
1,17,7,0,7280,0,5,3.2,2
13,11,8,3120,3120,1,25,5.08,3
19,13,9,8400,8400,1,6,3.16667,2
19,7,10,18509,18509,1,1,1,1
18,20,11,80,80,1,4,3,3
10,21,12,0,800,0,17,6.76471,3
20,18,13,80,80,1,5,3.2,3
19,18,14,240,240,1,5,3.4,2
9,0,15,0,1520,0,30,7.9,3
14,8,16,71365,71365,1,9,4.11111,2
20,13,17,0,640,0,43,9.18605,4
1,0,18,2240,2240,1,13,5.07692,3
9,20,19,2480,2480,1,1,1,1
7,8,20,560,560,1,3,2.66667,2
1,22,21,0,40132,0,36,5.47222,2
0,18,22,0,80,0,6,4.66667,3
0,5,23,0,1200,0,15,5.4,3
2,17,24,0,8960,0,9,5.11111,2
20,1,25,1034.93,1280,0.808539,9,4.11111,3
21,22,26,2480,2480,1,9,3.66667,2
9,18,27,1120,1120,1,4,2.5,2
21,0,28,1040,1040,1,3,3,2
17,21,29,0,2800,0,20,6.9,3
23,8,30,9200,9200,1,2,2.5,2
2,7,31,1840,1840,1,2,3,2
11,13,32,3120,3120,1,30,5.4,3
11,7,33,2800,2800,1,2,2,2
4,9,34,400,400,1,4,3.75,2
17,1,35,7280,7280,1,7,3.42857,2
17,11,36,5360,5360,1,13,4.92308,3
7,21,37,19789,19789,1,1,1,1
4,1,38,160,160,1,1,1,1
22,2,39,5971.29,68640,0.0869943,10,3.2,2
9,1,40,6000,6000,1,5,3.2,2
5,19,41,1276.2,3840,0.332345,14,4.35714,2
22,21,42,2480,2480,1,8,3.625,2
22,4,43,320,320,1,19,4.68421,2
10,11,44,2400,2400,1,10,4.6,3
7,5,45,800,800,1,5,4.2,3
0,11,46,10465,10465,1,13,3.53846,2
22,7,47,1760,1760,1,7,3.57143,2
0,13,48,2240,2240,1,3,3.33333,3
22,20,49,0,1120,0,30,8.1,3
23,20,50,0,160,0,20,8.55,4
5,18,51,160,160,1,2,2.5,2
23,2,52,880,880,1,6,4,2
8,22,53,65076,65076,1,1,1,1
21,19,54,99326,99326,1,3,2,1
17,0,55,0,2880,0,35,8,3
17,20,56,33502,33502,1,1,1,1
10,7,57,0,800,0,17,6.76471,3
14,18,58,13727,13727,1,1,1,1
11,10,59,2400,2400,1,8,4.625,3
8,2,60,4320,4320,1,6,3.66667,2
11,4,61,960,960,1,2,1.5,1
13,8,62,6560,6560,1,2,2.5,2
19,11,63,41218,41218,1,5,2.2,1
9,7,64,0,400,0,13,6.46154,3
19,1,65,5360,5360,1,7,3.28571,2
11,20,66,880,880,1,9,5.11111,4
14,20,67,70687,70687,1,10,3.2,2
8,14,68,63964.8,71365,0.896305,39,5.94872,2
14,2,69,298710,298710,1,5,2.2,1
10,17,70,23406,23406,1,1,1,1
21,13,71,640,640,1,9,4.44444,3
22,1,72,40132,40132,1,35,5.28571,2
1,9,73,0,6000,0,4,3,2
2,22,74,68640,68640,1,3,2.33333,2
22,10,75,3600,3600,1,36,7.83333,2
23,21,76,160,160,1,6,4.33333,3
2,23,77,880,880,1,1,2,2
10,1,78,3360,3360,1,5,3.2,2
8,19,79,208862,208862,1,4,2.25,1
10,23,80,0,640,0,42,8.71429,3
18,13,81,0,240,0,16,6.0625,3
13,22,82,97481,97481,1,2,1.5,1
17,23,83,0,880,0,41,8.92683,3
2,1,84,10623,10623,1,2,2,2
18,8,85,0,160,0,10,5.4,3
17,18,86,560,560,1,6,2.66667,2
11,1,87,28143,28143,1,2,1.5,1
23,22,88,31800,31800,1,2,1.5,1
13,18,89,240,240,1,15,5.73333,3
17,7,90,0,1440,0,20,6.95,3
19,0,91,29423,29423,1,3,1.66667,1
0,21,92,1040,1040,1,4,2.75,2
8,9,93,0,1600,0,19,7.47368,3
10,13,94,0,2800,0,52,8.84615,3
14,5,95,146023,146023,1,1,1,1
1,14,96,618634,1.02611e+06,0.602893,44,4.43182,1
1,7,97,240,240,1,4,3.5,3
22,11,98,8000,8000,1,17,3.82353,2
11,9,99,3200,3200,1,6,4.33333,3
19,2,100,156663,156663,1,5,4,1
10,22,101,0,3600,0,56,8.28571,2
21,4,102,160,160,1,2,2.5,2
2,20,103,0,1200,0,11,5.54545,3
10,0,104,0,1840,0,37,7.97297,3
20,19,105,0,960,0,38,7.55263,3
22,9,106,0,4320,0,28,7.53571,2
2,0,107,36023,36023,1,5,3.4,2
5,11,108,2480,2480,1,2,2.5,2
7,2,109,1840,1840,1,10,4.1,2
11,21,110,3120,3120,1,2,2,1
19,17,111,0,9681,0,29,6.65517,2
5,23,112,320,320,1,3,3.66667,3
14,19,113,177743,177743,1,11,4.45455,1
20,14,114,149928,149928,1,16,3.5625,2
14,4,115,7094,7094,1,2,1.5,1
9,19,116,0,5120,0,30,6.8,2
22,17,117,0,8880,0,49,8.10204,2
1,21,118,1600,1600,1,4,3.5,2
0,17,119,0,2880,0,22,7.22727,3
0,4,120,240,240,1,9,4.22222,3
2,21,121,10766,10766,1,6,3.16667,2
20,2,122,0,1200,0,34,6.70588,3
21,23,123,160,160,1,6,4.5,3
5,9,124,2560,2560,1,4,4.5,2
23,7,125,160,160,1,7,4.28571,3
18,17,126,560,560,1,4,2.5,2
11,14,127,102006,102006,1,29,3.96552,2
11,8,128,1520,1520,1,6,3.5,2
13,0,129,2240,2240,1,3,3.33333,3
13,9,130,0,2000,0,27,8,3
17,2,131,0,8960,0,33,6.21212,2
11,17,132,0,5360,0,9,4.44444,3
19,5,133,3840,3840,1,9,3.88889,2
18,22,134,0,80,0,10,5.3,2
4,0,135,240,240,1,12,4.41667,3
5,0,136,1200,1200,1,13,5.23077,3
13,20,137,0,640,0,31,8.64516,4
9,2,138,0,5200,0,21,5.80952,2
2,10,139,5120,5120,1,9,5.11111,2
23,17,140,0,880,0,21,8.04762,3
21,17,141,0,2800,0,5,5,3
22,5,142,3680,3680,1,20,5.65,2
1,2,143,10623,10623,1,7,2.85714,2
23,14,144,9921,9921,1,29,6.7931,2
22,14,145,217368,244471,0.889137,37,6.51351,1
1,20,146,0,1280,0,7,3.85714,3
22,8,147,65076,65076,1,1,1,1
22,19,148,243712,400109,0.609113,7,2.57143,1
10,5,149,3040,3040,1,12,5.75,2
8,23,150,9200,9200,1,1,2,2
21,20,151,0,240,0,9,5.88889,4
2,5,152,5760,5760,1,2,2,2
21,2,153,10766,10766,1,7,3.28571,2
17,19,154,0,9681,0,44,7.11364,2
7,14,155,18070,18070,1,35,5.08571,2
14,17,156,281153,291262,0.965291,8,2.5,1
22,0,157,27274,27274,1,2,2,2
8,1,158,1680,1680,1,11,5,3
11,5,159,2480,2480,1,2,2.5,2
13,1,160,2000,2000,1,26,5.96154,3
19,10,161,5600,5600,1,19,6.21053,2
9,8,162,0,1600,0,28,7.71429,3
17,9,163,14160,14160,1,4,2.25,2
11,19,164,255175,255545,0.998552,6,2.5,1
5,1,165,2400,2400,1,1,2,2
8,13,166,6560,6560,1,2,2.5,2
14,1,167,202233,202233,1,2,1.5,1
14,22,168,209468,244471,0.85682,3,2.33333,1
0,22,169,27274,27274,1,2,2,2
8,18,170,0,160,0,10,5.3,3
1,10,171,0,3360,0,5,3.2,2
23,13,172,8640,8640,1,1,1,1
1,23,173,0,480,0,23,6,3
23,19,174,0,29520,0,7,3.57143,2
7,19,175,59532,59532,1,3,1.66667,1
0,2,176,36023,36023,1,11,4.45455,2
9,10,177,4800,4800,1,4,2.5,2
20,8,178,0,480,0,34,8.20588,4
23,0,179,560,560,1,3,3.33333,3
8,20,180,0,480,0,23,8.04348,4
8,7,181,560,560,1,4,3.25,2
13,7,182,160,160,1,13,4.69231,3
2,4,183,9246,9246,1,2,1,1
20,23,184,0,160,0,32,9.1875,4
11,2,185,91068,91068,1,4,2.5,2
4,14,186,14934,14934,1,16,3.6875,1
17,8,187,0,3600,0,38,7.92105,3
17,14,188,523987,694108,0.754907,17,3.11765,1
11,22,189,0,8000,0,17,4.11765,2
20,10,190,1440,1440,1,6,3.16667,2
14,0,191,48047,48047,1,43,5.5814,2
19,22,192,39761,39761,1,3,1.66667,1
21,11,193,3120,3120,1,1,1,1
23,11,194,0,800,0,13,4.76923,3
14,9,195,200121,200121,1,4,2.25,1
1,8,196,0,1680,0,14,5.21429,3
7,0,197,640,640,1,3,2.66667,2
14,21,198,39282,39282,1,13,4.46154,2
0,10,199,0,1840,0,25,7.48,3
20,9,200,2480,2480,1,1,1,1
10,19,201,0,5600,0,36,7.13889,2
5,13,202,1760,1760,1,2,3,3
14,10,203,179144,179144,1,6,2.5,1
17,13,204,0,5600,0,71,9.15493,3
4,21,205,160,160,1,3,3,2
21,8,206,880,880,1,3,3,2
13,4,207,160,160,1,16,5.375,2
7,13,208,160,160,1,7,3.85714,3
4,23,209,80,80,1,2,3,3
4,17,210,0,400,0,5,4,2
21,7,211,19789,19789,1,1,1,1
5,4,212,800,800,1,1,1,1
2,14,213,298710,298710,1,10,2.6,1
14,23,214,0,9921,0,6,3.83333,2
13,21,215,640,640,1,14,4.78571,3
10,14,216,274773,415181,0.661814,12,2.91667,1
22,18,217,0,80,0,11,5.18182,2
21,10,218,800,800,1,8,5.5,3
10,4,219,0,80,0,10,4.7,2
22,23,220,31800,31800,1,1,1,1
9,14,221,146664,469013,0.312707,20,4.05,1
7,22,222,1760,1760,1,8,3.25,2
0,8,223,2720,2720,1,1,1,1
5,10,224,3040,3040,1,5,4.8,2
14,13,225,0,82457,0,7,3,2
8,5,226,0,1760,0,14,5.28571,3
18,10,227,80,80,1,4,2.5,2
4,11,228,960,960,1,2,1.5,1
13,5,229,1760,1760,1,28,7.03571,3
13,10,230,931.29,2800,0.332604,55,8.90909,3
19,14,231,177743,177743,1,26,4.38462,1
18,1,232,1920,1920,1,1,1,1
19,8,233,6640,6640,1,1,1,1
18,19,234,0,240,0,11,4.54545,2
11,23,235,0,800,0,13,4.92308,3
20,17,236,33502,33502,1,1,1,1
13,19,237,8400,8400,1,15,3.93333,2
2,9,238,0,5200,0,6,4.66667,2
9,22,239,0,4320,0,45,8.04444,2
2,11,240,91068,91068,1,4,2.5,2
10,9,241,4800,4800,1,4,2.5,2
13,17,242,0,5600,0,70,9.11429,3
1,19,243,0,5360,0,12,4,2
7,17,244,0,1440,0,14,6.64286,3
7,23,245,160,160,1,6,4,3
20,22,246,0,1120,0,51,8.80392,3
7,10,247,800,800,1,12,6.5,3
9,17,248,14160,14160,1,5,2.4,2
21,1,249,1600,1600,1,2,2.5,2
17,22,250,0,8880,0,65,8.29231,2
2,8,251,4320,4320,1,3,3,2
8,0,252,2720,2720,1,1,1,1
4,22,253,0,320,0,6,3.16667,2
4,10,254,80,80,1,5,4,2
13,2,255,206332,206332,1,2,2.5,1
19,23,256,2000,2000,1,3,2.66667,2
17,4,257,0,400,0,13,4.92308,2
18,0,258,0,80,0,9,5.22222,3
17,10,259,23406,23406,1,5,1.8,1
19,9,260,0,5120,0,11,5.63636,2
