source,destination,link_id,used_rate_c,usage,capacity_c
23,13,22,9600,0.0298816,321268
23,22,21,51801,0.182356,284066
22,16,99,30074,0.0872412,344722
22,14,85,300042,1,300042
22,23,20,44200,0.155598,284066
22,13,18,114921,0.357711,321268
22,8,16,152361,0.460527,330841
22,19,13,269065,1,269065
21,11,67,5920,0.0220427,268570
21,7,43,19789,0.0547359,361536
21,19,11,119132,0.442763,269065
20,17,55,36702,0.122414,299818
20,9,14,152488,0.493535,308971
19,16,107,0,0,344722
19,8,83,20784.6,0.0628235,330841
19,7,69,42499,0.117551,361536
19,0,65,118933,0.364213,326548
19,22,12,62721,0.233107,269065
19,21,10,65151,0.242138,269065
19,16,9,0,0,344722
19,14,6,300042,1,300042
19,11,4,74403,0.277034,268570
19,3,2,0,0,323189
19,2,0,210412,0.646464,325481
18,6,87,1120,0.00370522,302277
18,15,81,720,0.00260069,276849
18,14,59,292035,0.973313,300042
18,1,57,1920,0.00713469,269108
17,15,108,560,0.00202276,276849
17,15,76,270669,0.977676,276849
17,14,61,300042,1,300042
17,20,54,35022,0.116811,299818
17,10,52,24846,0.0768188,323437
16,19,106,0,0,344722
16,22,98,30074,0.0872412,344722
16,0,50,30074,0.0920967,326548
16,19,8,0,0,344722
15,17,109,14240,0.0514359,276849
15,10,105,4800,0.0148406,323437
15,6,97,0,0,302277
15,18,80,1760,0.00635725,276849
15,9,78,18960,0.061365,308971
15,17,77,560,0.00202276,276849
15,10,75,80,0.000247344,323437
15,14,49,300042,1,300042
14,22,84,300042,1,300042
14,17,60,300042,1,300042
14,18,58,14447,0.0481499,300042
14,15,48,0,0,300042
14,10,47,205224,0.634511,323437
14,9,45,303928,0.983678,308971
14,5,41,161143,0.401485,401367
14,4,39,117340,0.400318,293117
14,2,31,325481,1,325481
14,1,27,260285,0.967214,269108
14,19,7,300042,1,300042
13,2,29,236863,0.727732,325481
13,23,23,9600,0.0298816,321268
13,22,19,178041,0.554182,321268
12,1,95,0,0,269108
12,4,93,0,0,293117
12,11,91,0,0,268570
11,12,90,0,0,268570
11,3,89,3040,0.00940626,323189
11,4,73,208114,0.710003,293117
11,21,66,5920,0.0220427,268570
11,1,25,39263,0.145901,269108
11,19,5,268570,1,268570
10,15,104,4800,0.0148406,323437
10,15,74,80,0.000247344,323437
10,17,53,24846,0.0768188,323437
10,14,46,323437,1,323437
9,6,102,80,0.000264658,302277
9,15,79,63613.1,0.205887,308971
9,14,44,308971,1,308971
9,20,15,75887,0.245612,308971
8,19,82,289187,0.874097,330841
8,0,63,2720,0.00832955,326548
8,22,17,82596,0.249655,330841
7,19,68,84322,0.233233,361536
7,21,42,19789,0.0547359,361536
7,3,33,3040,0.00940626,323189
6,9,103,1120,0.00370522,302277
6,15,96,0,0,302277
6,18,86,80,0.000264658,302277
5,14,40,329703,0.82145,401367
5,4,37,14240,0.0485813,293117
4,2,101,94188,0.289381,325481
4,12,92,0,0,293117
4,11,72,205714,0.701815,293117
4,1,71,15183,0.0564198,269108
4,14,38,226268,0.771937,293117
4,5,36,11840,0.0403934,293117
4,2,35,30189,0.0927519,325481
3,11,88,3040,0.00940626,323189
3,7,32,3040,0.00940626,323189
3,19,3,0,0,323189
2,4,100,103611,0.318332,325481
2,4,34,17086,0.0524946,325481
2,14,30,325481,1,325481
2,13,28,83440,0.256359,325481
2,19,1,219372,0.673993,325481
1,12,94,0,0,269108
1,4,70,114751,0.426413,269108
1,18,56,269108,1,269108
1,14,26,269108,1,269108
1,11,24,33247.6,0.123547,269108
0,19,64,303707,0.930053,326548
0,8,62,2720,0.00832955,326548
0,16,51,30074,0.0920967,326548
