source,destination,link_id,used_rate,usage,link_capa
23,13,22,9600,0.0190476,504000
23,22,21,85001,0.168653,504000
22,16,99,30074,0.0596706,504000
22,14,85,397004,0.787706,504000
22,23,20,57481,0.11405,504000
22,13,18,205778,0.40829,504000
22,8,16,153961,0.305478,504000
22,19,13,446109,0.885137,504000
21,11,67,5920,0.011746,504000
21,7,43,19789,0.0392639,504000
21,19,11,159774,0.317012,504000
20,17,55,38942,0.0772659,504000
20,9,14,156488,0.310492,504000
19,16,107,0,0,504000
19,8,83,22800,0.0452381,504000
19,7,69,45139,0.0895615,504000
19,0,65,136198,0.270234,504000
19,22,12,63521,0.126034,504000
19,21,10,70351,0.139585,504000
19,16,9,0,0,504000
19,14,6,402028,0.797675,504000
19,11,4,74963,0.148736,504000
19,3,2,0,0,504000
19,2,0,210652,0.41796,504000
18,6,87,1120,0.00222222,504000
18,15,81,720,0.00142857,504000
18,14,59,504000,1,504000
18,1,57,1920,0.00380952,504000
17,15,108,560,0.00111111,504000
17,15,76,270109,0.535931,504000
17,14,61,504000,1,504000
17,20,54,38302,0.075996,504000
17,10,52,24846,0.0492976,504000
16,19,106,0,0,504000
16,22,98,30074,0.0596706,504000
16,0,50,30074,0.0596706,504000
16,19,8,0,0,504000
15,17,109,14240,0.028254,504000
15,10,105,4800,0.00952381,504000
15,6,97,0,0,504000
15,18,80,1760,0.00349206,504000
15,9,78,18960,0.037619,504000
15,17,77,560,0.00111111,504000
15,10,75,80,0.00015873,504000
15,14,49,408970,0.811448,504000
14,22,84,483626,0.959575,504000
14,17,60,356383,0.707109,504000
14,18,58,15007,0.0297758,504000
14,15,48,0,0,504000
14,10,47,210424,0.417508,504000
14,9,45,309608,0.614302,504000
14,5,41,170343,0.337982,504000
14,4,39,121420,0.240913,504000
14,2,31,390790,0.775377,504000
14,1,27,261645,0.519137,504000
14,19,7,332343,0.659411,504000
13,2,29,314149,0.623312,504000
13,23,23,9600,0.0190476,504000
13,22,19,178041,0.353256,504000
12,1,95,0,0,504000
12,4,93,0,0,504000
12,11,91,0,0,504000
11,12,90,0,0,504000
11,3,89,3040,0.00603175,504000
11,4,73,207874,0.412448,504000
11,21,66,5920,0.011746,504000
11,1,25,39263,0.0779028,504000
11,19,5,291930,0.579226,504000
10,15,104,4800,0.00952381,504000
10,15,74,80,0.00015873,504000
10,17,53,24846,0.0492976,504000
10,14,46,446461,0.885835,504000
9,6,102,80,0.00015873,504000
9,15,79,173101,0.343454,504000
9,14,44,504000,1,504000
9,20,15,77887,0.154538,504000
8,19,82,289187,0.573784,504000
8,0,63,2720,0.00539683,504000
8,22,17,89796,0.178167,504000
7,19,68,86162,0.170956,504000
7,21,42,19789,0.0392639,504000
7,3,33,3040,0.00603175,504000
6,9,103,1120,0.00222222,504000
6,15,96,0,0,504000
6,18,86,80,0.00015873,504000
5,14,40,333383,0.661474,504000
5,4,37,14240,0.028254,504000
4,2,101,94188,0.186881,504000
4,12,92,0,0,504000
4,11,72,209634,0.41594,504000
4,1,71,15183,0.030125,504000
4,14,38,226588,0.449579,504000
4,5,36,11840,0.0234921,504000
4,2,35,29629,0.0587877,504000
3,11,88,3040,0.00603175,504000
3,7,32,3040,0.00603175,504000
3,19,3,0,0,504000
2,4,100,103611,0.205577,504000
2,4,34,17326,0.034377,504000
2,14,30,413247,0.819935,504000
2,13,28,86080,0.170794,504000
2,19,1,218812,0.434151,504000
1,12,94,0,0,504000
1,4,70,114751,0.227681,504000
1,18,56,482993,0.958319,504000
1,14,26,504000,1,504000
1,11,24,40143,0.0796488,504000
0,19,64,347210,0.688909,504000
0,8,62,2720,0.00539683,504000
0,16,51,30074,0.0596706,504000
