source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,7,0,640,640,1,3,2.66667,2,1
9,13,1,2000,2000,1,6,5.66667,3,4
21,5,2,1040,1040,1,1,3,3,1
2,19,3,156663,156663,1,1,1,1,1
1,5,4,2400,2400,1,3,2.33333,2,1
8,4,5,160,160,1,2,3,3,1
18,9,6,1120,1120,1,1,2,2,1
1,17,7,7280,7280,1,3,2.66667,2,3
13,11,8,3120,3120,1,6,3.5,3,5
19,13,9,8400,8400,1,2,2,2,1
19,7,10,18509,18509,1,1,1,1,1
18,20,11,80,80,1,2,3,3,1
10,21,12,800,800,1,4,4.75,3,3
20,18,13,80,80,1,1,3,3,1
19,18,14,240,240,1,2,2.5,2,2
9,0,15,1520,1520,1,3,5,3,3
14,8,16,71365,71365,1,4,3.75,2,3
20,13,17,640,640,1,5,5.8,4,4
1,0,18,2240,2240,1,1,3,3,1
9,20,19,2480,2480,1,1,1,1,1
7,8,20,560,560,1,1,2,2,1
1,22,21,40132,40132,1,12,4.33333,2,6
0,18,22,80,80,1,2,3.5,3,2
0,5,23,1200,1200,1,4,4.25,3,4
2,17,24,8960,8960,1,7,4.42857,2,4
20,1,25,1280,1280,1,3,3.66667,3,3
21,22,26,2480,2480,1,1,2,2,1
9,18,27,1120,1120,1,2,2,2,2
21,0,28,1040,1040,1,1,2,2,1
17,21,29,2800,2800,1,4,4.75,3,3
23,8,30,9200,9200,1,1,2,2,1
2,7,31,1840,1840,1,2,3,2,1
11,13,32,3120,3120,1,3,3,3,3
11,7,33,2800,2800,1,2,2,2,2
4,9,34,400,400,1,2,3,2,2
17,1,35,7280,7280,1,5,3.2,2,3
17,11,36,5360,5360,1,6,4,3,2
7,21,37,19789,19789,1,1,1,1,1
4,1,38,160,160,1,1,1,1,1
22,2,39,68640,68640,1,9,3.55556,2,3
9,1,40,6000,6000,1,3,2.66667,2,3
5,19,41,3840,3840,1,5,3,2,3
22,21,42,2480,2480,1,4,2.75,2,4
22,4,43,320,320,1,3,2.66667,2,3
10,11,44,2400,2400,1,5,3.8,3,2
7,5,45,800,800,1,2,3.5,3,2
0,11,46,10465,10465,1,5,3,2,3
22,7,47,1760,1760,1,4,2.75,2,3
0,13,48,2240,2240,1,2,3,3,2
22,20,49,1120,1120,1,5,5.8,3,3
23,20,50,160,160,1,2,4,4,2
5,18,51,160,160,1,2,2.5,2,2
23,2,52,880,880,1,1,2,2,1
8,22,53,65076,65076,1,1,1,1,1
21,19,54,99326,99326,1,2,1.5,1,2
17,0,55,2880,2880,1,4,5.5,3,3
17,20,56,33502,33502,1,1,1,1,1
10,7,57,800,800,1,4,5.25,3,4
14,18,58,13727,13727,1,1,1,1,1
11,10,59,2400,2400,1,3,3.66667,3,3
8,2,60,4320,4320,1,2,2.5,2,1
11,4,61,960,960,1,1,1,1,1
13,8,62,6560,6560,1,1,2,2,1
19,11,63,41218,41218,1,3,1.66667,1,2
9,7,64,400,400,1,3,5,3,3
19,1,65,5360,5360,1,1,2,2,1
11,20,66,880,880,1,2,4.5,4,2
14,20,67,70687,70687,1,5,2.8,2,5
8,14,68,71365,71365,1,7,4.28571,2,2
14,2,69,298710,298710,1,5,2.2,1,3
10,17,70,23406,23406,1,1,1,1,1
21,13,71,640,640,1,2,3,3,2
22,1,72,40132,40132,1,11,4.18182,2,5
1,9,73,6000,6000,1,3,2.66667,2,2
2,22,74,68640,68640,1,3,2.33333,2,2
22,10,75,3600,3600,1,6,5.83333,2,4
23,21,76,160,160,1,1,3,3,1
2,23,77,880,880,1,1,2,2,1
10,1,78,3360,3360,1,4,3,2,3
8,19,79,208862,208862,1,4,2.25,1,4
10,23,80,640,640,1,4,6,3,3
18,13,81,240,240,1,4,3.5,3,4
13,22,82,97481,97481,1,2,1.5,1,2
17,23,83,880,880,1,5,6.4,3,3
2,1,84,10623,10623,1,2,2,2,2
18,8,85,160,160,1,2,3.5,3,2
17,18,86,560,560,1,2,2,2,2
11,1,87,28143,28143,1,2,1.5,1,2
23,22,88,31800,31800,1,1,1,1,1
13,18,89,240,240,1,4,3.5,3,4
17,7,90,1440,1440,1,6,5.66667,3,4
19,0,91,29423,29423,1,3,1.66667,1,3
0,21,92,1040,1040,1,2,2.5,2,1
8,9,93,1600,1600,1,4,6,3,3
10,13,94,2800,2800,1,8,5.5,3,5
14,5,95,146023,146023,1,2,1.5,1,1
1,14,96,1.02611e+06,1.02611e+06,1,4,2,1,3
1,7,97,240,240,1,1,3,3,1
22,11,98,8000,8000,1,4,2.75,2,3
11,9,99,3200,3200,1,2,3.5,3,2
19,2,100,156663,156663,1,3,3,1,1
10,22,101,3600,3600,1,6,5.16667,2,3
21,4,102,160,160,1,1,2,2,1
2,20,103,1200,1200,1,4,4.5,3,4
10,0,104,1840,1840,1,4,5.5,3,3
20,19,105,960,960,1,4,4.5,3,4
22,9,106,4320,4320,1,4,5.5,2,4
2,0,107,36023,36023,1,3,2.66667,2,3
5,11,108,2480,2480,1,1,2,2,1
7,2,109,1840,1840,1,4,3.75,2,3
11,21,110,3120,3120,1,1,1,1,1
19,17,111,9681,9681,1,5,4.2,2,3
5,23,112,320,320,1,3,3.66667,3,3
14,19,113,177743,177743,1,3,3.33333,1,1
20,14,114,149928,149928,1,6,2.83333,2,6
14,4,115,7094,7094,1,2,1.5,1,2
9,19,116,5120,5120,1,6,4.5,2,4
22,17,117,8880,8880,1,8,5.625,2,4
1,21,118,1600,1600,1,1,2,2,1
0,17,119,2880,2880,1,4,5.5,3,3
0,4,120,240,240,1,2,3,3,1
2,21,121,10766,10766,1,4,3,2,4
20,2,122,1200,1200,1,6,5,3,5
21,23,123,160,160,1,1,3,3,1
5,9,124,2560,2560,1,2,3.5,2,2
23,7,125,160,160,1,1,3,3,1
18,17,126,560,560,1,2,2,2,2
11,14,127,102006,102006,1,6,3,2,3
11,8,128,1520,1520,1,1,2,2,1
13,0,129,2240,2240,1,2,3,3,2
13,9,130,2000,2000,1,4,4.5,3,3
17,2,131,8960,8960,1,10,4.7,2,4
11,17,132,5360,5360,1,4,3.5,3,2
19,5,133,3840,3840,1,3,3,2,2
18,22,134,80,80,1,1,2,2,1
4,0,135,240,240,1,3,3,3,2
5,0,136,1200,1200,1,3,3.66667,3,2
13,20,137,640,640,1,5,5.2,4,5
9,2,138,5200,5200,1,8,4.625,2,5
