source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
36,15,0,56.0036,160,0.350023,4,5,4
13,36,1,84.0054,240,0.350023,3,4.33333,4
40,54,2,87.9127,2160,0.0407003,18,5.88889,4
12,34,3,812.052,2320,0.350023,19,10.1579,5
23,12,4,3245.81,19451,0.166871,90,10.9444,5
40,10,5,26.8622,80,0.335777,19,10.1053,8
3,37,6,28.0018,80,0.350023,37,8.2973,4
15,38,7,392.025,1120,0.350023,14,6.5,4
28,37,8,84.0054,240,0.350023,4,4.25,3
44,15,9,413.841,2480,0.166871,102,11.7647,5
28,3,10,84.0054,240,0.350023,5,6.6,4
4,30,11,341.883,1680,0.203502,88,10.1705,4
27,26,12,10523.8,30066,0.350023,12,6,3
4,40,13,31.7462,240,0.132276,80,10.8125,6
44,51,14,140.009,400,0.350023,53,8.32075,4
50,12,15,218.479,1760,0.124136,94,11.3298,5
30,12,16,5488.35,15680,0.350023,3,3.66667,3
45,27,17,58880.8,168220,0.350023,5,3.2,1
51,3,18,28.0018,80,0.350023,3,5,4
26,29,19,43337.7,123814,0.350023,28,7,2
30,4,20,547.012,1680,0.325602,4,5.25,4
60,3,21,168.011,480,0.350023,2,4.5,4
58,13,22,1037.37,4720,0.219782,116,10.5345,5
62,54,23,13812.6,39462,0.350023,5,4.6,3
16,46,24,2822.23,8063,0.350023,2,3.5,3
31,5,25,212.293,640,0.331707,7,6.28571,4
40,28,26,18.2337,320,0.0569804,9,5.22222,4
15,29,27,55103.3,161176,0.341883,24,8.33333,2
51,26,28,84.0054,240,0.350023,5,4.8,3
44,10,29,1493.55,4267,0.350023,2,2.5,2
50,32,30,1204.08,3440,0.350023,36,8.83333,4
16,38,31,341.231,1280,0.266587,61,10.0164,5
4,47,32,280.018,800,0.350023,2,3,3
44,54,33,2839.58,8160,0.347988,33,7.75758,4
47,48,34,56.0036,160,0.350023,1,3,3
18,44,35,27734,79235,0.350023,1,1,1
60,38,36,64.4693,240,0.268622,60,10.5833,5
39,48,37,280.018,800,0.350023,87,14.8276,4
45,22,38,504.033,1440,0.350023,3,4.66667,3
45,30,39,18966.7,54187,0.350023,1,2,2
64,41,40,728.047,2080,0.350023,6,6.16667,4
55,23,41,224.014,640,0.350023,2,2.5,2
48,18,42,448.029,1280,0.350023,1,3,3
29,47,43,2208.68,6347,0.347988,7,5.28571,4
14,55,44,196.013,560,0.350023,4,4,3
15,46,45,280.018,800,0.350023,11,9,4
27,50,46,8498.9,24281,0.350023,2,3,2
16,31,47,198.617,800,0.248272,63,10.6032,5
15,64,48,700.045,2000,0.350023,4,3,2
45,47,49,308.02,880,0.350023,3,6,4
27,14,50,50105.7,143150,0.350023,5,4.2,3
64,24,51,392.025,1120,0.350023,6,7.5,5
26,64,52,442.168,2240,0.197396,86,10,5
48,9,53,476.031,1360,0.350023,36,7.41667,4
29,40,54,3080.55,8801,0.350023,15,5.4,4
14,44,55,4032.26,11520,0.350023,7,4.71429,2
22,60,56,56.0036,160,0.350023,8,10,6
29,7,57,14971.9,42774,0.350023,15,7.4,4
51,28,58,28.0018,80,0.350023,3,2.66667,2
58,41,59,3158.25,9023,0.350023,14,5.21429,2
27,41,60,8001.87,22861,0.350023,3,3.66667,2
16,24,61,252.016,720,0.350023,6,6,3
24,4,62,1366.84,3905,0.350023,1,1,1
36,44,63,28.0018,80,0.350023,2,5,5
5,62,64,27432.7,78374,0.350023,1,1,1
3,58,65,18792.7,53690,0.350023,1,1,1
50,37,66,308.02,880,0.350023,30,10.3,3
46,4,67,392.025,1120,0.350023,31,9.06452,5
23,3,68,420.027,1200,0.350023,1,3,3
46,36,69,107.449,320,0.335777,12,6,4
40,41,70,214.898,640,0.335777,9,7,5
29,45,71,32509,92877,0.350023,18,5.22222,2
55,39,72,73.5861,320,0.229957,11,8.18182,4
12,27,73,132617,378881,0.350023,18,5.77778,3
55,4,74,56.0036,160,0.350023,1,3,3
47,62,75,2402.21,6863,0.350023,1,3,3
55,38,76,25.5598,80,0.319497,14,8.35714,3
9,22,77,392.025,1120,0.350023,17,6.64706,4
24,13,78,132.846,640,0.207572,68,9.83824,5
38,28,79,252.016,720,0.350023,5,3.6,2
64,4,80,392.025,1120,0.350023,5,8.2,5
23,40,81,210.99,960,0.219782,68,11.3088,5
13,40,82,3097,8848,0.350023,1,1,1
14,13,83,956.457,3760,0.254377,95,10.7158,5
58,62,84,45000,128563,0.350023,4,4.25,1
13,30,85,11843,33835,0.350023,2,1.5,1
32,12,86,1428.09,4080,0.350023,38,7.65789,3
39,62,87,2016.13,5760,0.350023,44,11.7045,2
50,30,88,566.548,2400,0.236062,63,10.5873,3
29,9,89,31383.4,89661,0.350023,1,1,1
48,10,90,56.0036,160,0.350023,3,5.66667,4
26,22,91,25.7226,160,0.160766,70,10.6143,5
29,5,92,5255.24,15014,0.350023,3,3,2
55,29,93,3257.66,9307,0.350023,19,10.0526,3
9,27,94,139597,398822,0.350023,11,3.81818,1
54,36,95,25.7226,80,0.321532,18,8.05556,3
37,12,96,336.022,960,0.350023,46,8.54348,4
31,15,97,581.2,1680,0.345953,6,5.66667,4
10,34,98,1456.09,4160,0.350023,1,1,1
13,37,99,55.0268,160,0.343918,4,7,5
4,13,100,88.8895,480,0.185186,74,11.0405,5
24,44,101,560.036,1600,0.350023,21,8.95238,3
4,5,102,224.014,640,0.350023,2,5,3
32,13,103,784.051,2240,0.350023,68,8.26471,4
12,50,104,501.428,1760,0.284902,28,8.5,5
7,12,105,370.861,2720,0.136346,111,12.2432,6
3,64,106,88.8895,560,0.158731,101,11.7327,6
47,45,107,216.688,880,0.246237,60,10.8667,4
4,15,108,48.8404,400,0.122101,61,11.2623,5
31,47,109,168.011,480,0.350023,3,6,4
54,55,110,2053.58,5867,0.350023,1,1,1
64,54,111,2240.14,6400,0.350023,15,6.4,3
60,32,112,756.049,2160,0.350023,32,9.75,3
13,50,113,364.023,1040,0.350023,14,7.14286,4
45,58,114,7423.98,21210,0.350023,15,8.2,4
51,32,115,168.011,480,0.350023,4,3,2
24,55,116,84.0054,240,0.350023,2,4.5,4
44,23,117,1848.12,5280,0.350023,19,6.47368,3
12,41,118,588.038,1680,0.350023,9,7.77778,4
31,40,119,224.014,640,0.350023,2,3.5,3
29,55,120,653.492,1867,0.350023,1,3,3
39,12,121,20801.1,59428,0.350023,5,2.6,1
10,24,122,28.0018,80,0.350023,23,8.91304,4
5,18,123,1092.07,3120,0.350023,1,2,2
37,58,124,336.022,960,0.350023,6,5.5,3
37,44,125,84.0054,240,0.350023,22,9.68182,4
12,44,126,1568.1,4480,0.350023,15,8.26667,5
5,46,127,1372.09,3920,0.350023,3,4.33333,4
32,37,128,532.034,1520,0.350023,1,1,1
64,30,129,17426.6,49787,0.350023,2,3.5,3
31,14,130,924.06,2640,0.350023,22,7.31818,4
47,31,131,108.426,480,0.225887,55,11.8364,4
29,50,132,5684.72,16241,0.350023,5,5.6,3
9,60,133,532.034,1520,0.350023,2,4,4
22,46,134,140.009,400,0.350023,7,7.71429,5
50,7,135,476.031,1360,0.350023,9,7.66667,5
38,60,136,84.0054,240,0.350023,3,5.33333,5
44,31,137,571.269,2320,0.246237,85,10.4824,4
13,12,138,5314.39,15183,0.350023,2,3,3
30,36,139,550.936,1574,0.350023,1,3,3
41,10,140,28.0018,80,0.350023,2,3.5,3
14,27,141,35831.4,143150,0.250307,45,8.88889,3
14,7,142,1512.1,4320,0.350023,3,4.66667,3
26,16,143,5498.5,15709,0.350023,1,1,1
41,54,144,765.817,2240,0.341883,36,8.61111,3
51,44,145,140.009,400,0.350023,40,8.55,4
26,9,146,1680.11,4800,0.350023,18,6.77778,3
32,39,147,2100.14,6000,0.350023,22,8.22727,2
54,14,148,8572.05,24490,0.350023,4,3,2
54,23,149,65866.2,188177,0.350023,2,1.5,1
44,38,150,459.262,2480,0.185186,94,11.6489,4
10,62,151,112.007,320,0.350023,12,7.08333,3
7,44,152,55356.4,158151,0.350023,1,1,1
3,16,153,252.016,720,0.350023,1,3,3
18,62,154,5806.52,16589,0.350023,2,3,3
9,3,155,532.034,1520,0.350023,13,6.30769,4
60,41,156,196.013,560,0.350023,34,9.58824,5
38,5,157,476.031,1360,0.350023,4,5.75,4
46,45,158,7974.2,37319,0.213677,51,8.52941,3
51,41,159,56.0036,160,0.350023,4,4,3
32,23,160,3634.28,10383,0.350023,4,4.5,4
29,34,161,12694.3,36267,0.350023,13,6.76923,3
32,46,162,1736.11,4960,0.350023,1,2,2
54,40,163,514.289,2160,0.238097,39,10.1538,4
30,48,164,361.907,1040,0.347988,20,9.4,5
39,22,165,1484.1,4240,0.350023,5,3.6,2
34,32,166,840.054,2400,0.350023,43,8.37209,3
28,41,167,111.356,320,0.347988,3,3.33333,3
26,45,168,376.071,2400,0.156696,91,9.78022,4
7,55,169,28.0018,80,0.350023,18,9.16667,6
41,4,170,280.018,800,0.350023,22,9.18182,5
27,64,171,27360.2,78167,0.350023,4,3.5,2
29,22,172,2511.06,7174,0.350023,12,5.66667,3
9,46,173,5516.36,15760,0.350023,1,1,1
41,44,174,24532,70087,0.350023,1,1,1
46,28,175,196.013,560,0.350023,12,6.33333,3
31,55,176,28.0018,80,0.350023,10,5.9,3
54,47,177,2501.61,7147,0.350023,2,2.5,2
34,10,178,1456.09,4160,0.350023,1,1,1
16,64,179,218.805,2560,0.0854706,104,10.5481,6
28,50,180,168.011,480,0.350023,5,6.4,3
23,34,181,728.047,2080,0.350023,9,5.66667,3
12,60,182,224.014,640,0.350023,12,9.66667,5
7,50,183,476.031,1360,0.350023,9,7.66667,5
29,23,184,33614.4,96035,0.350023,6,6,3
38,45,185,3360.22,9600,0.350023,1,1,1
44,64,186,567.199,4160,0.136346,103,11.1553,5
9,39,187,2548.16,7280,0.350023,25,7.84,2
28,9,188,445.424,1280,0.347988,3,2.33333,2
22,16,189,56.0036,160,0.350023,18,10,6
7,26,190,812.052,2320,0.350023,6,5.5,4
31,36,191,56.0036,160,0.350023,2,3.5,3
45,60,192,616.04,1760,0.350023,4,6.25,5
34,29,193,12694.3,36267,0.350023,60,8.45,3
45,51,194,112.007,320,0.350023,5,5.2,3
48,30,195,143.916,1040,0.138381,110,11.4182,5
32,7,196,1036.07,2960,0.350023,9,7.66667,4
24,23,197,2542.21,7263,0.350023,2,3,3
24,37,198,84.0054,240,0.350023,19,9.42105,1
34,28,199,112.007,320,0.350023,65,9.56923,4
9,16,200,3242.26,9263,0.350023,4,4,4
12,9,201,2548.16,7280,0.350023,10,6.6,3
3,23,202,420.027,1200,0.350023,2,3.5,3
41,36,203,37.1187,160,0.231992,44,9.29545,4
38,48,204,168.011,480,0.350023,18,8.55556,5
38,54,205,1064.07,3040,0.350023,8,4,2
9,48,206,476.031,1360,0.350023,17,7.11765,4
47,58,207,700.045,2000,0.350023,3,4,3
7,27,208,9322.65,57264,0.162801,97,10.1134,4
7,29,209,106447,304115,0.350023,66,9.4697,4
64,15,210,700.045,2000,0.350023,4,3,2
12,39,211,20801.1,59428,0.350023,5,2.6,1
46,26,212,812.052,2320,0.350023,2,5,4
34,4,213,504.033,1440,0.350023,16,7.75,4
34,39,214,101.751,2000,0.0508754,86,10.8953,4
50,47,215,504.033,1440,0.350023,1,2,2
47,27,216,4516.76,32640,0.138381,47,8.19149,3
40,31,217,224.014,640,0.350023,4,4,3
38,15,218,392.025,1120,0.350023,5,5.6,4
24,32,219,1562.85,4465,0.350023,23,9.26087,2
16,58,220,3886.3,11103,0.350023,2,3.5,3
38,51,221,28.0018,80,0.350023,5,4.6,3
62,48,222,756.049,2160,0.350023,1,2,2
30,28,223,588.038,1680,0.350023,5,3.4,2
27,31,224,61564.4,175887,0.350023,1,1,1
37,4,225,112.007,320,0.350023,1,2,2
45,3,226,364.023,1040,0.350023,17,8.82353,5
45,40,227,756.049,2160,0.350023,3,4.33333,4
51,54,228,924.06,2640,0.350023,1,1,1
22,54,229,420.027,1200,0.350023,19,7.10526,5
50,64,230,102.565,1200,0.0854706,84,10.6905,4
46,14,231,7087.96,20250,0.350023,10,6.4,3
3,31,232,44.9331,320,0.140416,98,13.5102,5
39,29,233,140540,406242,0.345953,13,8.07692,1
15,24,234,224.014,640,0.350023,17,9.52941,4
4,46,235,392.025,1120,0.350023,32,9.34375,5
50,27,236,3063.56,24281,0.126171,45,9.08889,2
44,39,237,296.298,5600,0.0529104,62,9.70968,4
31,13,238,728.047,2080,0.350023,2,2.5,2
36,14,239,28.0018,80,0.350023,21,8.28571,5
40,51,240,84.0054,240,0.350023,16,6.875,5
34,23,241,728.047,2080,0.350023,12,6.16667,3
40,15,242,616.04,1760,0.350023,2,3.5,3
3,38,243,44.9331,240,0.187221,93,12.1613,5
37,62,244,364.023,1040,0.350023,2,2,2
23,27,245,88284,411806,0.214382,56,9.375,2
28,38,246,252.016,720,0.350023,1,2,2
23,50,247,2044.13,5840,0.350023,1,1,1
44,16,248,6014.44,17183,0.350023,1,2,2
28,4,249,84.0054,240,0.350023,6,5.5,4
4,29,250,28279.4,80793,0.350023,22,7.40909,3
5,22,251,7.97726,80,0.0997157,65,11.0154,5
29,36,252,606.939,1734,0.350023,20,6.55,3
27,23,253,34028.8,97219,0.350023,4,3.5,2
50,22,254,19.5361,160,0.122101,72,11.5278,6
54,5,255,1204.08,3440,0.350023,4,5.5,4
44,48,256,812.052,2320,0.350023,6,5.33333,3
47,46,257,252.016,720,0.350023,36,8.91667,5
30,39,258,8429.83,24367,0.345953,11,5.81818,3
3,46,259,448.029,1280,0.350023,14,6.21429,3
34,22,260,9.93087,80,0.124136,97,10.8144,6
51,4,261,112.007,320,0.350023,1,3,3
26,30,262,420.027,2400,0.175011,86,11.0581,4
30,3,263,304.438,880,0.345953,13,8.69231,5
51,12,264,280.018,800,0.350023,20,6.35,3
60,4,265,280.018,800,0.350023,1,2,2
58,12,266,2313.31,21051,0.109891,88,9.95455,4
15,16,267,308.02,880,0.350023,38,11.0526,5
40,18,268,216.2,640,0.337812,10,8.6,7
7,3,269,308.02,880,0.350023,3,4.66667,3
40,27,270,39624,113204,0.350023,16,4.875,3
15,30,271,1876.12,5360,0.350023,12,6,4
15,48,272,140.009,400,0.350023,61,13.459,5
4,38,273,102.565,480,0.213677,64,12.2188,4
4,26,274,364.023,1040,0.350023,2,4,3
60,39,275,109.402,1120,0.0976807,39,11.1795,4
16,37,276,196.013,560,0.350023,19,7.68421,4
50,51,277,224.014,640,0.350023,33,10.3636,2
15,62,278,868.056,2480,0.350023,35,11.0571,3
4,48,279,112.007,320,0.350023,2,4,4
24,7,280,280.018,800,0.350023,13,8.38462,4
18,45,281,774.608,3120,0.248272,62,10.2903,5
27,12,282,60664,174328,0.347988,10,4.8,3
26,62,283,29478.9,84220,0.350023,2,2,1
45,32,284,1932.12,5520,0.350023,3,4,3
46,7,285,4782.71,13664,0.350023,2,2.5,2
26,37,286,84.0054,240,0.350023,23,7.91304,3
64,40,287,924.06,2640,0.350023,2,3.5,3
26,3,288,476.031,1360,0.350023,1,2,2
60,22,289,16.2801,160,0.101751,76,10.9342,6
14,54,290,8572.05,24490,0.350023,4,3,2
55,7,291,27.839,80,0.347988,19,9,6
47,24,292,280.018,800,0.350023,1,2,2
15,45,293,840.054,2400,0.350023,10,6.2,3
18,10,294,84.0054,240,0.350023,2,3.5,3
16,30,295,499.962,2960,0.168906,95,11.1368,5
5,36,296,73.5861,320,0.229957,56,11.3929,5
18,54,297,1288.08,3680,0.350023,7,6.71429,5
27,13,298,23346.2,66699,0.350023,7,3.14286,2
64,23,299,1120.07,3200,0.350023,25,8.28,4
39,40,300,2682.22,7663,0.350023,10,5.4,3
5,64,301,278.064,2240,0.124136,79,10.3544,5
58,5,302,1792.12,5120,0.350023,6,4.83333,2
22,41,303,168.011,480,0.350023,7,7.71429,5
15,18,304,168.011,480,0.350023,27,10.4074,6
60,27,305,2316.68,8757,0.264552,47,8.48936,4
14,45,306,5029.03,19770,0.254377,73,10.8904,4
9,24,307,448.029,1280,0.350023,1,3,3
51,27,308,7084.46,20240,0.350023,18,7.11111,2
38,22,309,168.011,480,0.350023,3,4.33333,4
23,60,310,16769.9,47911,0.350023,1,2,2
13,28,311,364.023,1040,0.350023,9,4.44444,3
41,62,312,10891,31115,0.350023,6,4.33333,3
36,45,313,1316.08,3760,0.350023,1,1,1
37,9,314,280.018,800,0.350023,1,2,2
32,18,315,896.058,2560,0.350023,3,4,4
60,58,316,868.056,2480,0.350023,4,4.5,3
51,64,317,224.014,640,0.350023,31,6.35484,4
40,44,318,432.4,1280,0.337812,11,7.45455,6
31,51,319,112.007,320,0.350023,5,5,3
12,28,320,476.031,1360,0.350023,24,6.625,3
54,30,321,4513.14,15401,0.293042,22,8.04545,2
24,14,322,728.047,2080,0.350023,5,4.2,3
22,32,323,392.025,1120,0.350023,6,7.33333,4
23,41,324,896.058,2560,0.350023,37,7.97297,4
13,39,325,2800.18,8000,0.350023,10,5.6,4
14,12,326,1430.78,19530,0.0732605,107,10.8785,5
3,4,327,84.0054,240,0.350023,4,5,4
18,4,328,168.011,480,0.350023,4,6.25,5
30,54,329,5390.7,15401,0.350023,10,4.4,2
7,18,330,1400.09,4000,0.350023,2,2.5,2
3,62,331,2038.18,5823,0.350023,3,3.33333,2
50,29,332,36094.7,103121,0.350023,22,7.81818,3
50,13,333,228.573,1040,0.219782,68,10.1912,4
4,16,334,224.014,640,0.350023,3,4.66667,4
29,10,335,1129.52,3227,0.350023,13,7.30769,4
32,55,336,196.013,560,0.350023,6,6.33333,4
62,12,337,1824.46,23593,0.0773306,64,9.34375,3
55,30,338,75.2142,240,0.313392,18,7.66667,3
13,62,339,1107.05,3200,0.345953,14,8.42857,4
9,34,340,1400.09,4000,0.350023,4,3.5,3
22,4,341,84.0054,240,0.350023,7,9.71429,6
38,34,342,448.029,1280,0.350023,4,5.5,5
13,48,343,167.034,480,0.347988,23,10.3043,6
10,27,344,5448.14,23280,0.234027,80,9.4875,5
13,38,345,728.047,2080,0.350023,2,2.5,2
18,27,346,2728.91,15964,0.170941,64,8.95312,4
14,29,347,166001,474259,0.350023,43,7.51163,3
7,9,348,1400.09,4000,0.350023,31,8.64516,3
48,62,349,756.049,2160,0.350023,2,3,2
39,58,350,2716.18,7760,0.350023,67,12.6119,3
31,46,351,843.961,2560,0.329672,2,4,3
31,64,352,1484.1,4240,0.350023,3,4,3
60,29,353,22252.3,63574,0.350023,39,9.5641,3
13,51,354,56.0036,160,0.350023,9,5.44444,4
7,60,355,280.018,800,0.350023,14,8.35714,5
5,12,356,446.727,2240,0.199431,43,10.1163,4
13,3,357,110.705,320,0.345953,20,9.9,6
44,22,358,140.66,480,0.293042,69,11,6
12,58,359,7368.33,21051,0.350023,28,10.6071,4
14,26,360,7682.65,21949,0.350023,1,3,3
14,4,361,672.043,1920,0.350023,2,3.5,3
32,31,362,504.033,1440,0.350023,58,9.93103,3
31,26,363,293.693,880,0.333742,8,6.625,4
64,36,364,364.023,1040,0.350023,3,5,2
39,55,365,112.007,320,0.350023,50,9.7,4
31,39,366,1011.97,2960,0.341883,14,6.21429,3
13,58,367,1623.29,4720,0.343918,21,9.04762,5
44,7,368,55356.4,158151,0.350023,1,1,1
30,29,369,46941.2,149144,0.314737,20,4.7,2
16,15,370,177.291,880,0.201466,52,11.0385,5
5,45,371,915.594,2960,0.309322,34,8.88235,4
62,46,372,10128.3,28936,0.350023,11,5.09091,3
46,60,373,392.025,1120,0.350023,19,8.73684,5
26,15,374,93.7735,480,0.195361,52,10.7692,4
26,46,375,812.052,2320,0.350023,7,6.57143,4
34,50,376,364.023,1040,0.350023,10,6.7,4
15,36,377,56.0036,160,0.350023,9,7.11111,4
47,30,378,328.207,1120,0.293042,41,10.8049,4
54,12,379,5001.39,21371,0.234027,21,6.80952,4
44,32,380,2604.17,7440,0.350023,29,7.24138,3
41,9,381,14992.9,42834,0.350023,2,1.5,1
14,28,382,184.617,560,0.329672,46,8.69565,4
5,54,383,1204.08,3440,0.350023,6,6.16667,4
48,39,384,154.661,800,0.193326,27,10.6667,4
36,38,385,252.016,720,0.350023,1,2,2
64,38,386,2744.18,7840,0.350023,3,3.66667,2
23,58,387,12034.5,34382,0.350023,3,3,2
34,55,388,28.0018,80,0.350023,18,8.11111,5
60,12,389,122.427,640,0.191291,51,9.13725,5
31,58,390,1326.83,4000,0.331707,14,7.92857,4
54,13,391,1228.5,3920,0.313392,24,7.16667,3
30,47,392,392.025,1120,0.350023,6,5.66667,4
10,9,393,112.007,320,0.350023,40,9.35,4
54,24,394,4245.07,12128,0.350023,1,3,3
27,4,395,4161.42,11889,0.350023,2,4,3
50,54,396,31457.9,89874,0.350023,2,1.5,1
3,13,397,92.4711,320,0.288972,59,10.2712,6
9,4,398,672.043,1920,0.350023,1,4,4
29,28,399,3267.11,9334,0.350023,1,1,1
38,4,400,168.011,480,0.350023,2,5,4
45,54,401,7900.01,22570,0.350023,7,4.28571,2
10,3,402,28.0018,80,0.350023,3,4.66667,3
32,47,403,560.036,1600,0.350023,1,4,4
54,41,404,752.142,2240,0.335777,61,8.91803,3
10,18,405,84.0054,240,0.350023,2,3.5,3
30,51,406,308.02,880,0.350023,5,4.4,3
39,23,407,1904.12,5440,0.350023,59,12.0678,4
28,40,408,112.007,320,0.350023,7,4.85714,4
24,28,409,56.0036,160,0.350023,15,6.26667,3
15,27,410,8710.06,25326,0.343918,32,6.59375,3
41,3,411,252.016,720,0.350023,5,5,3
30,31,412,1876.12,5360,0.350023,1,1,1
44,62,413,15991.8,45688,0.350023,7,4,2
18,36,414,52.422,160,0.327637,23,9.69565,6
9,45,415,12605,36012,0.350023,31,7.09677,2
41,45,416,1142.86,4320,0.264552,45,8.04444,3
62,58,417,45000,128563,0.350023,2,2.5,1
54,62,418,13812.6,39462,0.350023,3,4,3
46,27,419,79510.4,307647,0.258447,29,5.86207,2
47,7,420,56.0036,160,0.350023,9,7.66667,5
62,32,421,27841.1,79541,0.350023,13,6.23077,1
54,48,422,504.033,1440,0.350023,2,3.5,3
34,9,423,1400.09,4000,0.350023,50,8.54,3
32,64,424,1680.11,4800,0.350023,57,7.75439,4
28,51,425,28.0018,80,0.350023,1,2,2
9,18,426,2380.15,6800,0.350023,2,3,3
41,30,427,660.81,2640,0.250307,56,9.39286,3
38,46,428,700.045,2000,0.350023,1,3,3
22,13,429,532.034,1520,0.350023,2,2.5,2
14,38,430,940.34,3040,0.309322,33,10.2121,4
32,27,431,29188.4,83390,0.350023,40,7.625,2
47,38,432,122.101,400,0.305252,27,11,4
45,34,433,1092.07,3120,0.350023,8,6.5,5
58,48,434,20236.9,57816,0.350023,1,2,2
34,45,435,965.086,3120,0.309322,56,10.2143,5
48,31,436,90.5175,320,0.282867,37,11.4054,5
28,58,437,252.016,720,0.350023,6,5.5,3
24,26,438,1758.16,5023,0.350023,2,4,2
24,38,439,167.522,560,0.299147,27,10,4
7,58,440,5230.39,14943,0.350023,3,3.66667,2
28,22,441,112.007,320,0.350023,8,5.625,4
9,47,442,364.023,1040,0.350023,2,4.5,4
62,26,443,29478.9,84220,0.350023,1,1,1
7,30,444,1269.85,4160,0.305252,74,11.5811,5
34,62,445,1764.11,5040,0.350023,9,6.33333,2
45,31,446,1344.09,3840,0.350023,2,2.5,2
34,3,447,420.027,1200,0.350023,3,3.66667,2
34,40,448,193.408,720,0.268622,74,11.4595,7
26,13,449,247.621,1040,0.238097,57,9.84211,5
50,48,450,112.007,320,0.350023,1,3,3
48,38,451,144.567,480,0.301182,35,10.6286,5
50,62,452,1148.07,3280,0.350023,1,3,3
40,32,453,407.817,1200,0.339848,6,6.33333,5
24,29,454,20967.8,59904,0.350023,17,5.82353,2
23,38,455,586.084,1920,0.305252,26,10.9231,3
28,13,456,364.023,1040,0.350023,7,4.14286,3
28,27,457,12986.5,37102,0.350023,1,1,1
26,10,458,28.0018,80,0.350023,4,6,4
7,37,459,84.0054,240,0.350023,46,9.86957,5
27,34,460,15489.2,44252,0.350023,3,4.33333,4
22,37,461,28.0018,80,0.350023,6,8.33333,5
34,47,462,196.013,560,0.350023,11,6.90909,4
50,39,463,735.047,3440,0.213677,15,8.2,4
48,3,464,1674.16,4783,0.350023,1,1,1
28,64,465,616.04,1760,0.350023,3,4,3
46,15,466,136.753,800,0.170941,43,8.53488,4
16,50,467,364.023,1040,0.350023,4,5.25,5
3,32,468,308.02,880,0.350023,27,7.33333,3
39,36,469,140.009,400,0.350023,16,7.3125,4
15,23,470,476.031,1360,0.350023,44,10.3636,5
41,27,471,32979.8,109501,0.301182,37,6.97297,2
28,12,472,476.031,1360,0.350023,10,5.7,3
24,60,473,4183.12,11951,0.350023,1,1,1
22,26,474,56.0036,160,0.350023,13,10.7692,5
29,30,475,52203.8,149144,0.350023,31,6.12903,2
50,28,476,146.521,480,0.305252,17,6.58824,3
36,13,477,84.0054,240,0.350023,2,4.5,4
34,24,478,364.023,1040,0.350023,24,8.04167,3
45,36,479,1316.08,3760,0.350023,1,1,1
55,27,480,610.342,1840,0.331707,6,6.33333,2
51,18,481,56.0036,160,0.350023,8,6.25,5
58,18,482,5090.38,14543,0.350023,7,4.71429,2
40,16,483,168.011,480,0.350023,12,9.16667,7
16,55,484,56.0036,160,0.350023,6,7,6
23,28,485,147.498,480,0.307287,26,7.30769,3
44,13,486,601.713,1920,0.313392,74,10.3919,5
27,24,487,5356.75,15304,0.350023,7,4.85714,3
44,47,488,280.018,800,0.350023,15,7.4,4
18,39,489,359.465,1840,0.195361,22,9.90909,5
30,37,490,448.029,1280,0.350023,2,4.5,4
30,14,491,2576.17,7360,0.350023,15,6.86667,4
3,45,492,319.579,1040,0.307287,33,9.09091,5
46,31,493,823.123,2560,0.321532,21,8.66667,3
51,5,494,84.0054,240,0.350023,6,5.33333,3
26,31,495,231.015,880,0.262517,35,9,4
64,46,496,1316.08,3760,0.350023,5,6,4
51,9,497,280.018,800,0.350023,3,2.66667,2
15,13,498,924.06,2640,0.350023,6,4.83333,4
16,44,499,6014.44,17183,0.350023,1,2,2
12,32,500,1428.09,4080,0.350023,11,7.09091,3
7,4,501,420.027,1200,0.350023,17,8.35294,5
31,3,502,110.705,320,0.345953,14,9.07143,5
15,31,503,581.2,1680,0.345953,13,6.76923,4
51,24,504,56.0036,160,0.350023,4,4.75,3
15,47,505,168.011,480,0.350023,20,11.75,6
4,37,506,112.007,320,0.350023,9,6.77778,2
27,55,507,644.042,1840,0.350023,2,3,2
16,36,508,72.7721,240,0.303217,32,9.625,6
31,54,509,3160.35,9029,0.350023,8,4.875,2
18,46,510,2968.19,8480,0.350023,2,2.5,2
46,34,511,2240.14,6400,0.350023,2,2.5,2
26,38,512,166.383,560,0.297112,32,8.875,4
64,39,513,2912.19,8320,0.350023,10,4.1,2
26,4,514,364.023,1040,0.350023,3,4.66667,3
39,5,515,1120.07,3200,0.350023,52,13,3
15,40,516,616.04,1760,0.350023,3,4,3
58,44,517,39064.6,111606,0.350023,7,3.71429,1
18,9,518,2380.15,6800,0.350023,19,7.57895,3
16,29,519,38885.4,111094,0.350023,27,7.40741,3
16,27,520,5706.73,23765,0.240132,29,6.7931,4
13,22,521,532.034,1520,0.350023,1,2,2
