source,destination,link_id,used_rate_c,usage,capacity_c
64,12,214,69495.8,0.228963,303524
64,42,174,47125,0.110939,424782
64,45,172,144125,0.381675,377611
63,33,85,0,0,504000
63,17,37,0,0,504000
62,58,212,137258,0.440366,311690
62,29,210,288875,1,288875
62,5,170,108017,0.360196,299884
62,32,168,305139,1,305139
62,26,166,108683,0.297829,364917
62,24,164,185291,0.594138,311866
61,15,162,20018,0.0608446,329003
61,12,23,43989.2,0.144928,303524
60,47,125,89544.8,0.186656,479731
60,24,55,163496,0.524252,311866
59,58,209,43032.6,0.138062,311690
59,11,160,41333.1,0.0820101,504000
59,56,158,12069.2,0.0239467,504000
58,62,213,200468,0.643164,311690
58,59,208,31947.7,0.102498,311690
58,34,206,75883.4,0.224851,337483
58,56,156,9385.45,0.0301115,311690
58,3,154,129847,0.315545,411501
58,44,152,155150,0.502703,308632
58,14,29,191896,0.46055,416667
57,19,150,60736.8,0.120509,504000
57,29,148,192659,0.666929,288875
57,20,43,8607.99,0.0170793,504000
56,59,159,9385.45,0.0186219,504000
56,58,157,12069.2,0.0387217,311690
55,54,145,6233.13,0.0176362,353428
55,43,117,0,0,504000
54,27,204,332989,1,332989
54,23,202,157496,0.492744,319630
54,50,146,154662,0.384651,402084
54,55,144,4285,0.0121241,353428
54,51,142,348726,0.986696,353428
54,33,83,0,0,353428
53,1,140,79852.7,0.250352,318962
53,36,93,105538,0.229141,460578
52,35,138,35949.9,0.0713291,504000
52,21,136,62985,0.12497,504000
52,27,134,197104,0.591922,332989
51,54,143,146122,0.413443,353428
51,29,132,211118,0.73083,288875
51,2,130,162431,0.322283,504000
50,54,147,246940,0.614149,402084
50,23,49,89591.5,0.280297,319630
50,4,5,125482,0.312078,402084
49,39,107,35949.9,0.119268,301420
49,35,91,103289,0.204939,504000
48,25,128,155121,0.371812,417202
48,3,126,77276.8,0.187792,411501
48,26,59,119886,0.328529,364917
47,60,124,149671,0.31199,479731
47,23,51,98899.6,0.309419,319630
46,9,181,296047,1,296047
46,44,122,170015,0.550869,308632
46,41,120,62520.2,0.171503,364542
45,27,200,190835,0.573097,332989
45,38,193,89943.6,0.263704,341078
45,64,173,88230.3,0.233654,377611
45,36,95,81563.9,0.17709,460578
44,58,153,111483,0.361216,308632
44,46,123,265477,0.860174,308632
44,34,118,85702.7,0.253947,337483
44,41,111,271605,0.745056,364542
44,18,41,140816,0.456258,308632
44,7,11,75601.6,0.244957,308632
43,55,116,0,0,504000
43,17,39,0,0,504000
42,64,175,33327.2,0.0784572,424782
42,12,114,46354,0.15272,303524
42,0,112,113722,0.22564,504000
41,46,121,51868.6,0.142284,364542
41,44,110,168606,0.462516,364542
41,9,17,296047,1,296047
40,13,185,62776,0.148795,421895
40,22,108,42460,0.0966248,439432
40,21,47,69681.9,0.151852,458881
39,29,198,233227,0.807366,288875
39,15,196,78917,0.239867,329003
39,12,194,97127.5,0.32,303524
39,49,106,103289,0.342675,301420
39,6,104,54637.2,0.181266,301420
38,45,192,54104.4,0.158628,341078
38,27,190,178972,0.537471,332989
38,1,102,111287,0.348904,318962
38,30,100,73390.7,0.220866,332286
37,19,98,189388,0.578849,327181
37,24,96,142741,0.457699,311866
37,32,79,132589,0.434519,305139
36,45,94,108685,0.235975,460578
36,53,92,79852.7,0.173375,460578
35,52,139,103289,0.204939,504000
35,49,90,35949.9,0.0713291,504000
34,58,207,81394.3,0.24118,337483
34,44,119,108871,0.322598,337483
34,10,88,6223.95,0.0184423,337483
34,11,86,55101.8,0.163273,337483
34,7,9,69114.3,0.204793,337483
33,63,84,0,0,504000
33,54,82,0,0,353428
32,62,169,172499,0.565312,305139
32,29,80,221880,0.768085,288875
32,37,78,87751.4,0.287578,305139
32,9,76,85308.8,0.28816,296047
32,8,74,205346,0.672959,305139
31,30,73,50809.1,0.152908,332286
31,27,63,202634,0.608531,332989
30,13,182,39585.6,0.0938281,421895
30,38,101,115599,0.347891,332286
30,31,72,123661,0.372154,332286
30,27,69,206275,0.619463,332989
30,0,1,48049.8,0.144604,332286
29,62,211,173117,0.599281,288875
29,39,199,253603,0.877898,288875
29,57,149,60736.8,0.210253,288875
29,51,133,111981,0.387645,288875
29,32,81,63254.9,0.21897,288875
29,28,71,248586,0.860534,288875
29,27,65,285617,0.857736,332989
29,9,15,102310,0.345589,296047
29,8,13,36920.1,0.127807,288875
29,2,3,190616,0.659857,288875
28,29,70,225105,0.779247,288875
28,27,67,256056,0.768963,332989
27,54,205,201021,0.603686,332989
27,45,201,83571.9,0.250975,332989
27,38,191,63645.9,0.191135,332989
27,9,179,193877,0.654885,296047
