switch_id,used_rules,usage
64,772,0.956629
63,0,0
62,1964,2.43371
61,302,0.374226
60,612,0.758364
59,402,0.498141
58,1540,1.9083
57,443,0.548947
56,42,0.0520446
55,218,0.270136
54,1339,1.65923
53,693,0.858736
52,369,0.457249
51,687,0.851301
50,914,1.13259
49,161,0.199504
48,1047,1.2974
47,550,0.681537
46,943,1.16853
45,1036,1.28377
44,1682,2.08426
43,0,0
42,460,0.570012
41,1028,1.27385
40,640,0.793061
39,1637,2.0285
38,1222,1.51425
37,1308,1.62082
36,767,0.950434
35,161,0.199504
34,1125,1.39405
33,0,0
32,1844,2.28501
31,430,0.532838
30,1274,1.57869
29,2261,2.80173
28,417,0.516729
27,1556,1.92813
26,999,1.23792
25,814,1.00867
24,1554,1.92565
23,1513,1.87485
22,613,0.759603
21,265,0.328377
20,69,0.0855019
19,387,0.479554
18,678,0.840149
17,0,0
16,867,1.07435
15,1052,1.30359
14,753,0.933086
13,745,0.923172
12,1553,1.92441
11,402,0.498141
10,215,0.266419
9,2158,2.6741
8,480,0.594796
7,471,0.583643
6,362,0.448575
5,665,0.82404
4,590,0.731103
3,763,0.945477
2,410,0.508055
1,1512,1.87361
0,328,0.406444
