source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
36,15,0,36.6894,160,0.229309,3,4.66667,4,2
13,36,1,55.0341,240,0.229309,2,4,4,1
40,54,2,495.307,2160,0.229309,2,5,4,1
12,34,3,531.996,2320,0.229309,5,8.4,5,3
23,12,4,4460.28,19451,0.229309,10,8.8,5,3
40,10,5,18.3447,80,0.229309,4,8.5,8,2
3,37,6,18.3447,80,0.229309,4,5,4,2
15,38,7,256.826,1120,0.229309,3,5,4,3
28,37,8,55.0341,240,0.229309,3,3.66667,3,2
44,15,9,568.686,2480,0.229309,9,7.55556,5,2
28,3,10,55.0341,240,0.229309,4,5.5,4,2
4,30,11,385.239,1680,0.229309,4,8.75,4,2
27,26,12,6894.4,30066,0.229309,7,5.14286,3,4
4,40,13,55.0341,240,0.229309,6,9.33333,6,4
44,51,14,91.7235,400,0.229309,9,6.55556,4,4
50,12,15,403.583,1760,0.229309,9,8.44444,5,3
30,12,16,3595.56,15680,0.229309,1,3,3,1
45,27,17,38574.3,168220,0.229309,2,1.5,1,2
51,3,18,18.3447,80,0.229309,3,5,4,2
26,29,19,28391.6,123814,0.229309,4,3.75,2,4
30,4,20,385.239,1680,0.229309,3,5.33333,4,3
60,3,21,110.068,480,0.229309,2,4.5,4,2
58,13,22,1082.34,4720,0.229309,9,8.44444,5,2
62,54,23,9048.98,39462,0.229309,2,3.5,3,1
16,46,24,1848.92,8063,0.229309,2,3.5,3,1
31,5,25,146.758,640,0.229309,4,5.25,4,2
40,28,26,73.3788,320,0.229309,2,4,4,1
15,29,27,36959.1,161176,0.229309,2,2.5,2,2
51,26,28,55.0341,240,0.229309,4,5,3,3
44,10,29,978.46,4267,0.229309,1,2,2,1
50,32,30,788.822,3440,0.229309,1,4,4,1
16,38,31,293.515,1280,0.229309,5,7.6,5,3
4,47,32,183.447,800,0.229309,2,3,3,1
44,54,33,1871.16,8160,0.229309,5,5.8,4,3
47,48,34,36.6894,160,0.229309,1,3,3,1
18,44,35,18169.3,79235,0.229309,1,1,1,1
60,38,36,55.0341,240,0.229309,2,5.5,5,1
39,48,37,183.447,800,0.229309,5,6.8,4,2
45,22,38,330.205,1440,0.229309,3,4,3,2
45,30,39,12425.6,54187,0.229309,1,2,2,1
64,41,40,476.962,2080,0.229309,3,5,4,2
55,23,41,146.758,640,0.229309,2,2.5,2,2
48,18,42,293.515,1280,0.229309,1,3,3,1
29,47,43,1455.42,6347,0.229309,4,4.75,4,2
14,55,44,128.413,560,0.229309,3,4,3,2
15,46,45,183.447,800,0.229309,4,7.25,4,3
27,50,46,5567.84,24281,0.229309,2,3,2,1
16,31,47,183.447,800,0.229309,10,8,5,3
15,64,48,458.617,2000,0.229309,2,2.5,2,1
45,47,49,201.792,880,0.229309,3,6,4,3
27,14,50,32825.5,143150,0.229309,3,4,3,2
64,24,51,256.826,1120,0.229309,4,6.5,5,2
26,64,52,513.651,2240,0.229309,9,7.33333,5,3
48,9,53,311.86,1360,0.229309,3,6,4,3
29,40,54,2018.15,8801,0.229309,4,4.75,4,3
14,44,55,2641.64,11520,0.229309,2,2.5,2,2
22,60,56,36.6894,160,0.229309,3,7.66667,6,3
29,7,57,9808.45,42774,0.229309,5,4.8,4,3
51,28,58,18.3447,80,0.229309,3,2.66667,2,3
58,41,59,2069.05,9023,0.229309,2,3,2,2
27,41,60,5242.23,22861,0.229309,2,3,2,2
16,24,61,165.102,720,0.229309,1,3,3,1
24,4,62,895.45,3905,0.229309,1,1,1,1
36,44,63,18.3447,80,0.229309,2,5,5,2
5,62,64,17971.8,78374,0.229309,1,1,1,1
3,58,65,12311.6,53690,0.229309,1,1,1,1
50,37,66,201.792,880,0.229309,1,3,3,1
46,4,67,256.826,1120,0.229309,5,7.6,5,2
23,3,68,275.17,1200,0.229309,1,3,3,1
46,36,69,73.3788,320,0.229309,2,4.5,4,2
40,41,70,146.758,640,0.229309,3,5.33333,5,1
29,45,71,21297.5,92877,0.229309,6,4.16667,2,3
55,39,72,73.3788,320,0.229309,5,5.4,4,3
12,27,73,86880.7,378881,0.229309,5,5,3,4
55,4,74,36.6894,160,0.229309,1,3,3,1
47,62,75,1573.75,6863,0.229309,1,3,3,1
55,38,76,18.3447,80,0.229309,2,4,3,2
9,22,77,256.826,1120,0.229309,3,5.66667,4,2
24,13,78,146.758,640,0.229309,5,8.4,5,1
38,28,79,165.102,720,0.229309,1,2,2,1
64,4,80,256.826,1120,0.229309,3,6.66667,5,2
23,40,81,220.136,960,0.229309,5,7.4,5,2
13,40,82,2028.92,8848,0.229309,1,1,1,1
14,13,83,862.201,3760,0.229309,8,7.375,5,3
58,62,84,29480.6,128563,0.229309,2,2.5,1,1
13,30,85,7758.66,33835,0.229309,1,1,1,1
32,12,86,935.579,4080,0.229309,7,4.85714,3,4
39,62,87,1320.82,5760,0.229309,6,6.5,2,1
50,30,88,550.341,2400,0.229309,5,5.2,3,3
29,9,89,20560,89661,0.229309,1,1,1,1
48,10,90,36.6894,160,0.229309,2,5,4,1
26,22,91,36.6894,160,0.229309,7,8.28571,5,3
29,5,92,3442.84,15014,0.229309,4,3.75,2,2
55,29,93,2134.18,9307,0.229309,2,3.5,3,2
9,27,94,91453.4,398822,0.229309,3,3,1,2
54,36,95,18.3447,80,0.229309,4,4.5,3,3
37,12,96,220.136,960,0.229309,8,6.125,4,5
31,15,97,385.239,1680,0.229309,3,5,4,1
10,34,98,953.924,4160,0.229309,1,1,1,1
13,37,99,36.6894,160,0.229309,2,5.5,5,1
4,13,100,110.068,480,0.229309,6,8,5,4
24,44,101,366.894,1600,0.229309,3,4.33333,3,3
4,5,102,146.758,640,0.229309,1,3,3,1
32,13,103,513.651,2240,0.229309,6,6.83333,4,3
12,50,104,403.583,1760,0.229309,9,9.11111,5,4
7,12,105,623.72,2720,0.229309,11,8.90909,6,1
3,64,106,128.413,560,0.229309,8,9.375,6,4
47,45,107,201.792,880,0.229309,2,6.5,4,2
4,15,108,91.7235,400,0.229309,7,6.85714,5,4
31,47,109,110.068,480,0.229309,3,6,4,3
54,55,110,1345.35,5867,0.229309,1,1,1,1
64,54,111,1467.58,6400,0.229309,9,5.44444,3,3
60,32,112,495.307,2160,0.229309,1,3,3,1
13,50,113,238.481,1040,0.229309,5,6,4,3
45,58,114,4863.64,21210,0.229309,7,6.28571,4,3
51,32,115,110.068,480,0.229309,4,3,2,3
24,55,116,55.0341,240,0.229309,1,4,4,1
44,23,117,1210.75,5280,0.229309,3,4.66667,3,3
12,41,118,385.239,1680,0.229309,5,6.8,4,4
31,40,119,146.758,640,0.229309,1,3,3,1
29,55,120,428.119,1867,0.229309,1,3,3,1
39,12,121,13627.4,59428,0.229309,4,2.5,1,3
10,24,122,18.3447,80,0.229309,3,6.33333,4,2
5,18,123,715.443,3120,0.229309,1,2,2,1
37,58,124,220.136,960,0.229309,2,3,3,1
37,44,125,55.0341,240,0.229309,4,5,4,4
12,44,126,1027.3,4480,0.229309,8,7.125,5,4
5,46,127,898.89,3920,0.229309,2,4,4,1
32,37,128,348.549,1520,0.229309,1,1,1,1
64,30,129,11416.6,49787,0.229309,2,3.5,3,1
31,14,130,605.375,2640,0.229309,7,5.85714,4,4
47,31,131,110.068,480,0.229309,4,6.5,4,2
29,50,132,3724.2,16241,0.229309,4,5,3,3
9,60,133,348.549,1520,0.229309,2,4,4,1
22,46,134,91.7235,400,0.229309,2,6,5,2
50,7,135,311.86,1360,0.229309,4,6.25,5,3
38,60,136,55.0341,240,0.229309,3,5.33333,5,1
44,31,137,531.996,2320,0.229309,6,7.33333,4,3
13,12,138,3481.59,15183,0.229309,2,3,3,2
30,36,139,360.932,1574,0.229309,1,3,3,1
41,10,140,18.3447,80,0.229309,1,3,3,1
14,27,141,32825.5,143150,0.229309,5,5,3,3
14,7,142,990.614,4320,0.229309,2,4,3,1
26,16,143,3602.21,15709,0.229309,1,1,1,1
41,54,144,513.651,2240,0.229309,7,6,3,3
51,44,145,91.7235,400,0.229309,9,6.66667,4,2
26,9,146,1100.68,4800,0.229309,3,5.66667,3,2
32,39,147,1375.85,6000,0.229309,2,2.5,2,2
54,14,148,5615.77,24490,0.229309,4,3,2,4
54,23,149,43150.6,188177,0.229309,2,1.5,1,2
44,38,150,568.686,2480,0.229309,5,6.6,4,2
10,62,151,73.3788,320,0.229309,3,5,3,2
7,44,152,36265.4,158151,0.229309,1,1,1,1
3,16,153,165.102,720,0.229309,1,3,3,1
18,62,154,3804,16589,0.229309,2,3,3,2
9,3,155,348.549,1520,0.229309,5,4.8,4,2
60,41,156,128.413,560,0.229309,6,6.83333,5,2
38,5,157,311.86,1360,0.229309,2,4.5,4,1
46,45,158,8557.57,37319,0.229309,4,4.5,3,3
51,41,159,36.6894,160,0.229309,2,3.5,3,2
32,23,160,2380.91,10383,0.229309,2,4.5,4,1
29,34,161,8316.34,36267,0.229309,4,4.25,3,2
32,46,162,1137.37,4960,0.229309,1,2,2,1
54,40,163,495.307,2160,0.229309,3,5.66667,4,2
30,48,164,238.481,1040,0.229309,4,6,5,1
39,22,165,972.269,4240,0.229309,3,3,2,2
34,32,166,550.341,2400,0.229309,5,6.4,3,3
28,41,167,73.3788,320,0.229309,2,3,3,1
26,45,168,550.341,2400,0.229309,6,6.66667,4,3
7,55,169,18.3447,80,0.229309,6,8.16667,6,4
41,4,170,183.447,800,0.229309,4,7,5,3
27,64,171,17924.4,78167,0.229309,2,2.5,2,2
29,22,172,1645.06,7174,0.229309,3,4,3,1
9,46,173,3613.91,15760,0.229309,1,1,1,1
41,44,174,16071.6,70087,0.229309,1,1,1,1
46,28,175,128.413,560,0.229309,3,4,3,3
31,55,176,18.3447,80,0.229309,2,4,3,2
54,47,177,1638.87,7147,0.229309,2,2.5,2,2
34,10,178,953.924,4160,0.229309,1,1,1,1
16,64,179,587.03,2560,0.229309,9,8.55556,6,4
28,50,180,110.068,480,0.229309,5,5.4,3,2
23,34,181,476.962,2080,0.229309,5,4.8,3,3
12,60,182,146.758,640,0.229309,6,8.16667,5,5
7,50,183,311.86,1360,0.229309,4,7,5,3
29,23,184,22021.7,96035,0.229309,4,5.75,3,2
38,45,185,2201.36,9600,0.229309,1,1,1,1
44,64,186,953.924,4160,0.229309,8,7.875,5,3
9,39,187,1669.37,7280,0.229309,4,4.5,2,3
28,9,188,293.515,1280,0.229309,2,2,2,1
22,16,189,36.6894,160,0.229309,5,7.8,6,3
7,26,190,531.996,2320,0.229309,3,4.33333,4,1
31,36,191,36.6894,160,0.229309,2,3.5,3,2
45,60,192,403.583,1760,0.229309,3,6.66667,5,2
34,29,193,8316.34,36267,0.229309,7,6.57143,3,3
45,51,194,73.3788,320,0.229309,2,3.5,3,2
48,30,195,238.481,1040,0.229309,7,8,5,3
32,7,196,678.754,2960,0.229309,2,5,4,2
24,23,197,1665.47,7263,0.229309,2,3,3,2
24,37,198,55.0341,240,0.229309,1,1,1,1
34,28,199,73.3788,320,0.229309,5,7,4,1
9,16,200,2124.09,9263,0.229309,2,4,4,2
12,9,201,1669.37,7280,0.229309,4,5.5,3,4
3,23,202,275.17,1200,0.229309,1,3,3,1
41,36,203,36.6894,160,0.229309,2,4.5,4,2
38,48,204,110.068,480,0.229309,3,5.33333,5,1
38,54,205,697.098,3040,0.229309,2,3,2,2
9,48,206,311.86,1360,0.229309,1,4,4,1
47,58,207,458.617,2000,0.229309,3,4,3,3
7,27,208,13131.1,57264,0.229309,9,7.77778,4,2
7,29,209,69736.2,304115,0.229309,9,6.22222,4,3
64,15,210,458.617,2000,0.229309,2,2.5,2,2
12,39,211,13627.4,59428,0.229309,3,2.33333,1,2
46,26,212,531.996,2320,0.229309,1,4,4,1
34,4,213,330.205,1440,0.229309,6,6.5,4,3
34,39,214,458.617,2000,0.229309,7,9,4,2
50,47,215,330.205,1440,0.229309,1,2,2,1
47,27,216,7484.64,32640,0.229309,6,5.66667,3,4
40,31,217,146.758,640,0.229309,1,3,3,1
38,15,218,256.826,1120,0.229309,3,5,4,3
24,32,219,1023.86,4465,0.229309,1,2,2,1
16,58,220,2546.01,11103,0.229309,2,3.5,3,2
38,51,221,18.3447,80,0.229309,1,3,3,1
62,48,222,495.307,2160,0.229309,1,2,2,1
30,28,223,385.239,1680,0.229309,2,2.5,2,2
27,31,224,40332.4,175887,0.229309,1,1,1,1
37,4,225,73.3788,320,0.229309,1,2,2,1
45,3,226,238.481,1040,0.229309,6,7.33333,5,3
45,40,227,495.307,2160,0.229309,2,4,4,1
51,54,228,605.375,2640,0.229309,1,1,1,1
22,54,229,275.17,1200,0.229309,5,6,5,3
50,64,230,275.17,1200,0.229309,6,8.16667,4,3
46,14,231,4643.5,20250,0.229309,1,3,3,1
