switch_id,used_rules,usage
64,465,0.576208
63,0,0
62,1489,1.84511
61,162,0.200743
60,436,0.540273
59,69,0.0855019
58,863,1.06939
57,293,0.363073
56,0,0
55,153,0.189591
54,838,1.03841
53,335,0.415118
52,265,0.328377
51,402,0.498141
50,535,0.662949
49,120,0.148699
48,621,0.769517
47,382,0.473358
46,516,0.639405
45,614,0.760843
44,960,1.18959
43,0,0
42,246,0.304833
41,593,0.73482
40,411,0.509294
39,1138,1.41016
38,764,0.946716
37,965,1.19579
36,387,0.479554
35,120,0.148699
34,545,0.675341
33,0,0
32,1345,1.66667
31,291,0.360595
30,762,0.944238
29,1678,2.07931
28,306,0.379182
27,1083,1.34201
26,738,0.914498
25,427,0.52912
24,1129,1.39901
23,929,1.15118
22,406,0.503098
21,192,0.237918
20,13,0.016109
19,280,0.346964
18,419,0.519207
17,0,0
16,554,0.686493
15,616,0.763321
14,508,0.629492
13,474,0.587361
12,937,1.16109
11,69,0.0855019
10,121,0.149938
9,1424,1.76456
8,314,0.389095
7,250,0.309789
6,162,0.200743
5,457,0.566295
4,378,0.468401
3,419,0.519207
2,219,0.271375
1,931,1.15366
0,171,0.211896
