switch_id,used_rules,usage
64,384,0.475836
63,0,0
62,1169,1.44857
61,14,0.0173482
60,336,0.416357
59,13,0.016109
58,756,0.936803
57,152,0.188352
56,0,0
55,72,0.0892193
54,706,0.874845
53,279,0.345725
52,182,0.225527
51,309,0.3829
50,388,0.480793
49,64,0.0793061
48,418,0.517968
47,286,0.354399
46,540,0.669145
45,564,0.698885
44,921,1.14126
43,0,0
42,168,0.208178
41,545,0.675341
40,289,0.358116
39,811,1.00496
38,626,0.775713
37,597,0.739777
36,324,0.401487
35,64,0.0793061
34,390,0.483271
33,0,0
32,944,1.16976
31,231,0.286245
30,648,0.802974
29,1311,1.62454
28,207,0.256506
27,1051,1.30235
26,472,0.584882
25,306,0.379182
24,774,0.959108
23,748,0.92689
22,238,0.294919
21,127,0.157373
20,5,0.00619579
19,147,0.182156
18,355,0.439901
17,0,0
16,434,0.537794
15,258,0.319703
14,419,0.519207
13,344,0.42627
12,698,0.864932
11,13,0.016109
10,94,0.116481
9,1307,1.61958
8,102,0.126394
7,219,0.271375
6,28,0.0346964
5,370,0.458488
4,314,0.389095
3,305,0.377943
2,159,0.197026
1,776,0.961586
0,155,0.192069
