source,destination,link_id,used_rate,usage,link_capa
53,26,151,1031.93,0.511871,2016
53,40,148,1539.32,0.763554,2016
53,9,146,1042.97,0.517344,2016
52,30,79,0,0,2016
52,14,37,0,0,2016
51,49,144,1212.85,0.601612,2016
51,29,142,1851.15,0.918227,2016
51,25,140,1859.23,0.922237,2016
51,21,138,1211.92,0.601151,2016
51,20,136,1361.29,0.675244,2016
51,20,134,1361.49,0.67534,2016
51,3,132,1212.89,0.601631,2016
50,42,109,1394.47,0.6917,2016
50,20,49,1514.58,0.751281,2016
49,51,145,1370.73,0.679924,2016
49,31,130,1585.38,0.786397,2016
49,1,128,1238.32,0.614246,2016
49,11,25,1432,0.710319,2016
48,25,126,932.537,0.462568,2016
48,16,124,1520.08,0.754006,2016
48,17,43,891.592,0.442258,2016
47,46,123,24.1076,0.0119582,2016
47,38,101,0,0,2016
46,47,122,24.1076,0.0119582,2016
46,44,120,1540.65,0.764209,2016
46,22,118,1858.87,0.922061,2016
46,19,116,1447,0.717756,2016
46,30,77,0,0,2016
45,25,114,1525.25,0.756574,2016
45,0,112,1530.6,0.759228,2016
44,46,121,1532.66,0.760249,2016
44,2,5,1429.17,0.708916,2016
43,1,110,829.998,0.411706,2016
43,21,51,1129.27,0.560152,2016
42,50,108,1528.68,0.758276,2016
42,19,47,1364.85,0.677008,2016
41,39,106,1566.73,0.777148,2016
41,37,104,1243.48,0.616803,2016
41,7,17,1674.11,0.830413,2016
40,53,149,1277.22,0.633541,2016
40,22,102,1278.28,0.634066,2016
40,34,89,1155.38,0.573103,2016
40,32,83,1405.91,0.697376,2016
39,31,156,1034.03,0.512912,2016
39,37,155,1855.05,0.920166,2016
39,41,107,1854.96,0.920121,2016
39,15,39,1452.64,0.720555,2016
39,5,9,1034.12,0.512954,2016
38,47,100,0,0,2016
38,14,35,0,0,2016
37,39,154,1567.28,0.777422,2016
37,41,105,1211.57,0.600975,2016
37,7,15,1674.39,0.83055,2016
36,18,98,1024.81,0.50834,2016
36,10,23,1083.76,0.53758,2016
35,25,96,1532.54,0.760187,2016
35,12,94,425.583,0.211103,2016
35,9,92,757.345,0.375667,2016
35,4,90,400.067,0.198446,2016
34,40,88,821.146,0.407315,2016
34,22,86,1276.35,0.633108,2016
33,20,160,1500.01,0.744051,2016
33,16,84,1824.13,0.904826,2016
32,7,152,1386.62,0.687809,2016
32,40,82,1744.6,0.865376,2016
31,39,157,1209.88,0.600139,2016
31,49,131,1471.01,0.729667,2016
31,8,80,28.9292,0.0143498,2016
31,5,7,930.538,0.461577,2016
30,52,78,0,0,2016
30,46,76,0,0,2016
29,51,143,1549.26,0.768483,2016
29,25,74,1799.03,0.892374,2016
28,25,72,1499.71,0.743903,2016
28,24,70,1520.35,0.754143,2016
27,26,69,1166.57,0.578658,2016
27,22,59,1543.11,0.765431,2016
26,53,150,1142.18,0.56656,2016
26,27,68,1285.3,0.63755,2016
26,25,66,1532.49,0.760165,2016
26,22,57,1542.41,0.765083,2016
26,10,21,1129.4,0.560218,2016
25,51,141,1555.13,0.771395,2016
25,48,127,780.39,0.387098,2016
25,45,115,1545.88,0.766804,2016
25,35,97,1512.32,0.750161,2016
25,29,75,1482.68,0.735455,2016
25,28,73,1520.35,0.754143,2016
25,26,67,1512.66,0.750329,2016
25,24,65,1544.98,0.766357,2016
25,22,55,1580.21,0.783833,2016
25,6,11,739.685,0.366907,2016
24,28,71,1499.71,0.743903,2016
24,25,64,1526.22,0.757052,2016
24,23,63,1532.44,0.76014,2016
24,22,53,1559.52,0.773569,2016
23,24,62,1510.7,0.749357,2016
23,22,60,1532.44,0.76014,2016
22,46,119,1541.66,0.764715,2016
22,40,103,934.567,0.463575,2016
22,34,87,932.475,0.462537,2016
22,23,61,1510.7,0.749357,2016
22,27,58,1274.92,0.632398,2016
22,26,56,1278.63,0.634239,2016
22,25,54,1558.03,0.772834,2016
22,24,52,1537.03,0.762415,2016
22,7,13,1423.75,0.706223,2016
22,0,1,1509.98,0.748998,2016
21,13,158,1086.6,0.538986,2016
21,51,139,1368.21,0.678674,2016
21,43,50,747.15,0.37061,2016
20,33,161,1804.06,0.894871,2016
20,51,137,1295.1,0.642412,2016
20,51,135,1294.75,0.642238,2016
20,50,48,1385.19,0.687096,2016
20,2,3,1485.01,0.736612,2016
19,46,117,1540.76,0.764264,2016
19,42,46,1508.71,0.748367,2016
19,11,44,1263.51,0.62674,2016
18,36,99,1045.61,0.518655,2016
18,9,19,1084.23,0.537813,2016
17,48,42,739.685,0.366907,2016
17,6,40,891.592,0.442258,2016
16,48,125,1824.13,0.904826,2016
16,33,85,1520.08,0.754006,2016
15,39,38,1567.13,0.777346,2016
15,13,33,1437.84,0.713215,2016
14,52,36,0,0,2016
14,38,34,0,0,2016
13,21,159,846.3,0.419792,2016
13,15,32,1547.51,0.767613,2016
13,3,30,1179.81,0.585222,2016
12,35,95,412.678,0.204702,2016
12,9,28,757.301,0.375645,2016
12,4,26,386.886,0.191908,2016
11,19,45,1298.62,0.644159,2016
11,49,24,1560.82,0.774216,2016
10,36,22,1048.5,0.52009,2016
10,26,20,1183.94,0.587274,2016
9,53,147,1190,0.590277,2016
9,35,93,716.857,0.355584,2016
9,12,29,716.75,0.355531,2016
9,18,18,1105.03,0.548128,2016
8,31,81,28.9292,0.0143498,2016
