source,destination,link_id,used_rate_c,usage,capacity_c
53,26,151,604.646,0.541927,1115.73
53,40,148,1118.42,1,1118.42
53,9,146,754.96,0.685742,1100.94
52,30,79,0,0,2016
52,14,37,0,0,2016
51,49,144,988.8,0.828322,1193.74
51,29,142,1216.42,1,1216.42
51,25,140,1057.69,1,1057.69
51,21,138,975.823,0.855725,1140.35
51,20,136,903.653,0.839688,1076.18
51,20,134,911.034,0.846547,1076.18
51,3,132,929.585,0.744333,1248.88
50,42,109,956.693,0.655802,1458.81
50,20,49,1075.72,0.999574,1076.18
49,51,145,1004.39,0.841378,1193.74
49,31,130,950.126,0.778737,1220.09
49,1,128,813.322,0.614859,1322.78
49,11,25,1143.4,0.72009,1587.86
48,25,126,605.135,0.572131,1057.69
48,16,124,1107.97,0.960103,1154.01
48,17,43,485.578,0.357196,1359.42
47,46,123,17.3851,0.0116215,1495.94
47,38,101,0,0,2016
46,47,122,21.8549,0.0146095,1495.94
46,44,120,881.358,0.587362,1500.54
46,22,118,1077.02,1,1077.02
46,19,116,1132.34,0.822992,1375.89
46,30,77,0,0,1495.94
45,25,114,1057.69,1,1057.69
45,0,112,1072.63,0.532057,2016
44,46,121,1258.65,0.838798,1500.54
44,2,5,759.504,0.566756,1340.09
43,1,110,608.718,0.460181,1322.78
43,21,51,667.87,0.585673,1140.35
42,50,108,1104.42,0.757067,1458.81
42,19,47,941.1,0.683995,1375.89
41,39,106,1099.45,1,1099.45
41,37,104,771.208,0.681229,1132.08
41,7,17,982.647,0.896035,1096.66
40,53,149,974.333,0.871166,1118.42
40,22,102,796.761,0.739785,1077.02
40,34,89,778.196,0.634285,1226.89
40,32,83,1047.58,0.849059,1233.81
39,31,156,829.129,0.679567,1220.09
39,37,155,1132.08,1,1132.08
39,41,107,1099.45,1,1099.45
39,15,39,1171.75,0.942997,1242.58
39,5,9,821.157,0.586643,1399.76
38,47,100,0,0,2016
38,14,35,0,0,2016
37,39,154,1132.08,1,1132.08
37,41,105,651.789,0.575744,1132.08
37,7,15,992.641,0.905149,1096.66
36,18,98,659.26,0.54543,1208.7
36,10,23,626.046,0.515876,1213.56
35,25,96,1057.69,1,1057.69
35,12,94,304.841,0.259248,1175.87
35,9,92,479.03,0.435111,1100.94
35,4,90,269.537,0.18027,1495.19
34,40,88,500.233,0.407726,1226.89
34,22,86,902.734,0.83818,1077.02
33,20,160,1076.18,1,1076.18
33,16,84,1090.71,0.945152,1154.01
32,7,152,1030.06,0.939273,1096.66
32,40,82,1116.95,0.905284,1233.81
31,39,157,619.899,0.508078,1220.09
31,49,131,1220.09,1,1220.09
31,8,80,26.0708,0.021368,1220.09
31,5,7,762.884,0.545012,1399.76
30,52,78,0,0,2016
30,46,76,0,0,1495.94
29,51,143,1206.48,0.991823,1216.42
29,25,74,1057.69,1,1057.69
28,25,72,1030.7,0.974484,1057.69
28,24,70,1057.69,0.844752,1252.07
27,26,69,847.77,0.759831,1115.73
27,22,59,1077.02,1,1077.02
26,53,150,800.137,0.717139,1115.73
26,27,68,816.941,0.7322,1115.73
26,25,66,1057.69,1,1057.69
26,22,57,1077.02,1,1077.02
26,10,21,862.402,0.710638,1213.56
25,51,141,1057.69,1,1057.69
25,48,127,602.999,0.570111,1057.69
25,45,115,1057.69,1,1057.69
25,35,97,1057.69,1,1057.69
25,29,75,1057.69,1,1057.69
25,28,73,1057.69,1,1057.69
25,26,67,1057.69,1,1057.69
25,24,65,1104.64,0.882255,1252.07
25,22,55,1077.02,1,1077.02
25,6,11,504.969,0.37146,1359.42
24,28,71,1030.7,0.823197,1252.07
24,25,64,1132.58,0.904566,1252.07
24,23,63,1077.02,0.578295,1862.4
24,22,53,1077.02,1,1077.02
23,24,62,1077.02,0.578295,1862.4
23,22,60,1077.02,1,1077.02
22,46,119,1077.02,1,1077.02
22,40,103,594.069,0.551587,1077.02
22,34,87,517.227,0.48024,1077.02
22,23,61,1077.02,1,1077.02
22,27,58,1077.02,1,1077.02
22,26,56,1077.02,1,1077.02
22,25,54,1077.02,1,1077.02
22,24,52,1077.02,1,1077.02
22,7,13,802.429,0.731702,1096.66
22,0,1,1066.53,0.990263,1077.02
21,13,158,757.377,0.650133,1164.96
21,51,139,989.048,0.867322,1140.35
21,43,50,518.504,0.45469,1140.35
20,33,161,1076.18,1,1076.18
20,51,137,711.461,0.6611,1076.18
20,51,135,856.469,0.795844,1076.18
20,50,48,925.136,0.85965,1076.18
20,2,3,1183.79,0.883362,1340.09
19,46,117,1099.38,0.799033,1375.89
19,42,46,1098.56,0.798434,1375.89
19,11,44,1014.03,0.638617,1587.86
18,36,99,668.859,0.553371,1208.7
18,9,19,717.972,0.652146,1100.94
17,48,42,504.969,0.37146,1359.42
17,6,40,485.578,0.357196,1359.42
16,48,125,1090.71,0.945152,1154.01
16,33,85,1107.97,0.960103,1154.01
15,39,38,1183.16,0.952175,1242.58
15,13,33,1164.96,1,1164.96
14,52,36,0,0,2016
14,38,34,0,0,2016
13,21,159,607.777,0.521717,1164.96
13,15,32,1164.96,1,1164.96
13,3,30,933.252,0.747269,1248.88
12,35,95,281.869,0.239712,1175.87
12,9,28,503.499,0.457336,1100.94
12,4,26,247.36,0.165437,1495.19
11,19,45,833.893,0.525169,1587.86
11,49,24,1303.05,0.820635,1587.86
10,36,22,717.457,0.591201,1213.56
10,26,20,694.199,0.572036,1213.56
9,53,147,811.331,0.736945,1100.94
9,35,93,463.669,0.421158,1100.94
9,12,29,466.918,0.42411,1100.94
