source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
22,27,0,369.745,93,3.97575,1,1,1
39,49,1,234.569,59,3.97575,2,2.5,2
51,18,2,0,1,0,16,8.25,4
2,49,3,3.97575,1,3.97575,4,4.5,3
46,26,4,15.903,4,3.97575,2,2.5,2
34,35,5,3.97575,1,3.97575,5,4.4,3
53,43,6,3.77335,1,3.77335,10,7.8,5
19,41,7,51.6847,13,3.97575,7,6.71429,4
19,13,8,3.97575,1,3.97575,7,5.71429,5
40,39,9,19.8787,5,3.97575,3,4.33333,4
15,31,10,3.97575,1,3.97575,2,2.5,2
20,49,11,3.97575,1,3.97575,4,3.5,2
34,9,12,3.97575,1,3.97575,1,3,3
5,34,13,3.54203,1,3.54203,8,6,5
12,25,14,67.5877,17,3.97575,2,2.5,2
49,39,15,234.569,59,3.97575,3,3.66667,2
18,25,16,11.9272,3,3.97575,3,4,3
39,13,17,27.8302,7,3.97575,1,2,2
39,37,18,159.03,40,3.97575,2,1.5,1
25,32,19,3.97575,1,3.97575,13,5.07692,3
33,29,20,3.97575,1,3.97575,2,3,3
40,10,21,3.97575,1,3.97575,2,4,3
46,9,22,51.4968,13,3.96129,5,4.6,4
49,26,23,3.54853,6,0.591422,12,8,3
3,37,24,3.97575,1,3.97575,2,4.5,4
53,49,25,3.81672,1,3.81672,16,7.6875,4
15,50,26,3.97575,1,3.97575,4,5,5
34,27,27,11.9272,3,3.97575,1,2,2
9,18,28,59.6362,15,3.97575,1,1,1
13,21,29,27.8302,7,3.97575,1,1,1
27,46,30,0,5,0,1,2,2
53,33,31,3.97575,1,3.97575,5,7,5
46,27,32,19.8787,5,3.97575,1,2,2
44,35,33,2.21196,1,2.21196,20,7,4
33,25,34,11.9272,3,3.97575,2,4,3
34,39,35,3.97575,1,3.97575,4,5,4
13,32,36,3.97575,1,3.97575,4,5.5,5
5,43,37,3.97575,1,3.97575,1,4,4
5,19,38,3.97575,1,3.97575,1,4,4
29,35,39,0,1,0,1,2,2
27,26,40,7.9515,2,3.97575,1,1,1
50,21,41,3.97575,1,3.97575,2,3,3
22,13,42,3.87455,1,3.87455,18,6.22222,4
3,49,43,3.97575,1,3.97575,2,3.5,2
44,51,44,3.97575,1,3.97575,2,3,3
7,25,45,163.006,41,3.97575,22,5.40909,2
22,20,46,3.41191,1,3.41191,17,6.82353,3
26,40,47,63.612,16,3.97575,1,2,2
35,49,48,1.61282,1,1.61282,5,5.8,3
2,42,49,3.97575,1,3.97575,1,3,3
21,19,50,3.97575,1,3.97575,4,4.75,4
39,5,51,381.672,96,3.97575,1,1,1
33,46,52,3.97575,1,3.97575,1,4,4
26,53,53,43.7332,11,3.97575,1,1,1
10,7,54,3.97575,1,3.97575,4,4.75,3
35,15,55,3.64323,1,3.64323,12,8.33333,5
11,10,56,2.37099,1,2.37099,17,10.4706,5
51,3,57,155.054,39,3.97575,1,1,1
26,29,58,3.97575,1,3.97575,1,2,2
31,39,59,210.715,53,3.97575,2,1.5,1
19,7,60,3.97575,1,3.97575,13,7.76923,3
26,24,61,2.63122,1,2.63122,6,2.83333,2
29,3,62,3.97575,1,3.97575,1,2,2
29,40,63,0,1,0,13,5.07692,3
9,35,64,83.4907,21,3.97575,3,2,1
22,1,65,3.889,1,3.889,22,7.36364,4
1,9,66,0,1,0,19,9.89474,5
24,26,67,3.97575,1,3.97575,6,2.83333,2
7,2,68,3.97575,1,3.97575,13,7.61538,4
31,5,69,151.078,38,3.97575,1,1,1
13,43,70,3.97575,1,3.97575,1,2,2
15,29,71,3.97575,1,3.97575,2,4,4
29,43,72,3.97575,1,3.97575,1,3,3
39,27,73,3.00711,1,3.00711,12,6.16667,4
44,10,74,3.75889,1,3.75889,7,6.71429,4
3,22,75,2.84808,1,2.84808,29,6.96552,3
13,15,76,59.6362,15,3.97575,1,1,1
41,15,77,3.97575,1,3.97575,1,2,2
41,35,78,3.97575,1,3.97575,10,6.9,4
31,29,79,3.97575,1,3.97575,2,4.5,3
7,40,80,35.7817,9,3.97575,1,2,2
43,7,81,3.94683,1,3.94683,5,6.2,5
9,53,82,107.345,27,3.97575,1,1,1
36,12,83,3.97575,1,3.97575,1,3,3
9,29,84,3.97575,1,3.97575,3,4,3
39,46,85,3.65769,1,3.65769,8,6.375,4
13,5,86,3.97575,1,3.97575,2,4.5,3
41,51,87,67.3419,17,3.96129,4,4.5,4
15,5,88,3.97575,1,3.97575,1,2,2
21,26,89,1.85053,1,1.85053,6,6.5,3
46,41,90,51.6847,13,3.97575,15,8.53333,3
51,45,91,0,1,0,6,5.5,2
21,35,92,0,1,0,6,6.5,3
51,2,93,11.9272,3,3.97575,2,2,2
26,13,94,3.97575,1,3.97575,8,6.75,4
20,31,95,3.97575,1,3.97575,4,4.5,3
36,1,96,2.06739,1,2.06739,11,9.18182,6
40,31,97,3.97575,1,3.97575,2,5.5,5
19,37,98,3.97575,1,3.97575,7,6.71429,4
25,22,99,3733.23,939,3.97575,6,2.66667,1
49,15,100,11.9272,3,3.97575,2,4,3
35,27,101,3.97575,1,3.97575,5,5.6,3
37,2,102,3.97575,1,3.97575,5,6.6,5
40,32,103,3.97575,1,3.97575,1,1,1
9,20,104,2.49372,1,2.49372,10,6.6,4
12,35,105,99.3937,25,3.97575,2,1.5,1
24,29,106,3.97575,1,3.97575,2,2.5,2
1,21,107,3.97575,1,3.97575,1,2,2
53,36,108,3.97575,1,3.97575,2,3,3
37,13,109,11.9272,3,3.97575,1,3,3
51,19,110,266.375,67,3.97575,3,3.66667,3
3,7,111,11.8405,3,3.94683,5,5.2,4
15,11,112,3.97575,1,3.97575,2,5,4
42,27,113,1.15658,1,1.15658,7,6.85714,4
15,46,114,3.84563,1,3.84563,6,6.33333,5
20,26,115,1.73487,1,1.73487,6,4.33333,3
