switch_id,used_rules,usage
53,1330,2.13483
52,0,0
51,3857,6.19101
50,855,1.37239
49,1413,2.26806
48,1380,2.21509
47,29,0.046549
46,730,1.17175
45,354,0.568218
44,568,0.911717
43,910,1.46067
42,627,1.00642
41,1852,2.97271
40,1862,2.98876
39,2493,4.00161
38,0,0
37,1921,3.08347
36,972,1.56019
35,1963,3.15088
34,869,1.39486
33,1439,2.30979
32,1158,1.85875
31,1151,1.84751
30,0,0
29,1204,1.93258
28,412,0.661316
27,688,1.10433
26,1730,2.77689
25,4090,6.56501
24,1042,1.67255
23,436,0.699839
22,2903,4.65971
21,1640,2.63242
20,2880,4.62279
19,734,1.17817
18,930,1.49278
17,682,1.0947
16,1380,2.21509
15,1142,1.83307
14,0,0
13,1428,2.29213
12,1234,1.98074
11,569,0.913323
10,882,1.41573
9,1996,3.20385
8,80,0.128411
7,2510,4.02889
6,682,1.0947
5,721,1.1573
4,523,0.839486
3,975,1.56501
2,732,1.17496
1,824,1.32263
0,292,0.4687
