source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
22,27,0,330.894,93,3.55799,1,1,1,1
39,49,1,209.922,59,3.55799,2,2.5,2,2
51,18,2,3.55799,1,3.55799,15,7.93333,4,10
2,49,3,3.55799,1,3.55799,4,4.5,3,4
46,26,4,14.232,4,3.55799,2,2.5,2,2
34,35,5,3.55799,1,3.55799,4,4.5,3,4
53,43,6,3.55799,1,3.55799,5,6.2,5,5
19,41,7,46.2539,13,3.55799,7,6.71429,4,7
19,13,8,3.55799,1,3.55799,7,5.71429,5,6
40,39,9,17.79,5,3.55799,2,4.5,4,2
15,31,10,3.55799,1,3.55799,2,2.5,2,2
20,49,11,3.55799,1,3.55799,4,3.5,2,4
34,9,12,3.55799,1,3.55799,1,3,3,1
5,34,13,3.55799,1,3.55799,7,6,5,6
12,25,14,60.4859,17,3.55799,2,2.5,2,2
49,39,15,209.922,59,3.55799,3,3.66667,2,3
18,25,16,10.674,3,3.55799,3,4,3,3
39,13,17,24.906,7,3.55799,1,2,2,1
39,37,18,142.32,40,3.55799,2,1.5,1,2
25,32,19,3.55799,1,3.55799,13,5.07692,3,12
33,29,20,3.55799,1,3.55799,2,3,3,2
40,10,21,3.55799,1,3.55799,2,4,3,2
46,9,22,46.2539,13,3.55799,6,5,4,4
49,26,23,21.348,6,3.55799,10,8.2,3,8
3,37,24,3.55799,1,3.55799,2,4.5,4,2
53,49,25,3.55799,1,3.55799,8,6.5,4,7
15,50,26,3.55799,1,3.55799,4,5,5,4
34,27,27,10.674,3,3.55799,1,2,2,1
9,18,28,53.3699,15,3.55799,1,1,1,1
13,21,29,24.906,7,3.55799,1,1,1,1
27,46,30,17.79,5,3.55799,1,2,2,1
53,33,31,3.55799,1,3.55799,5,7,5,2
46,27,32,17.79,5,3.55799,1,2,2,1
44,35,33,3.55799,1,3.55799,18,7.05556,4,16
33,25,34,10.674,3,3.55799,2,4,3,2
34,39,35,3.55799,1,3.55799,4,5,4,4
13,32,36,3.55799,1,3.55799,4,5.5,5,3
5,43,37,3.55799,1,3.55799,1,4,4,1
5,19,38,3.55799,1,3.55799,1,4,4,1
29,35,39,3.55799,1,3.55799,1,2,2,1
27,26,40,7.11599,2,3.55799,1,1,1,1
50,21,41,3.55799,1,3.55799,2,3,3,2
22,13,42,3.55799,1,3.55799,4,5,4,4
3,49,43,3.55799,1,3.55799,2,3.5,2,2
44,51,44,3.55799,1,3.55799,2,3,3,2
7,25,45,145.878,41,3.55799,19,5,2,16
22,20,46,3.55799,1,3.55799,15,6.93333,3,15
26,40,47,56.9279,16,3.55799,1,2,2,1
35,49,48,3.55799,1,3.55799,4,5,3,4
2,42,49,3.55799,1,3.55799,1,3,3,1
21,19,50,3.55799,1,3.55799,4,4.75,4,4
39,5,51,341.568,96,3.55799,1,1,1,1
33,46,52,3.55799,1,3.55799,1,4,4,1
26,53,53,39.1379,11,3.55799,1,1,1,1
10,7,54,3.55799,1,3.55799,4,4.75,3,4
35,15,55,3.55799,1,3.55799,12,7.91667,5,11
11,10,56,3.55799,1,3.55799,12,9.5,5,7
51,3,57,138.762,39,3.55799,1,1,1,1
26,29,58,3.55799,1,3.55799,1,2,2,1
31,39,59,188.574,53,3.55799,2,1.5,1,2
19,7,60,3.55799,1,3.55799,10,7.5,3,9
26,24,61,3.55799,1,3.55799,6,2.83333,2,6
29,3,62,3.55799,1,3.55799,1,2,2,1
29,40,63,3.55799,1,3.55799,13,5.07692,3,13
9,35,64,74.7179,21,3.55799,3,2,1,3
22,1,65,3.55799,1,3.55799,8,6.375,4,8
1,9,66,3.55799,1,3.55799,16,9.375,5,9
24,26,67,3.55799,1,3.55799,6,2.83333,2,4
