switch_id,used_rules,usage
53,996,1.59872
52,0,0
51,2876,4.61637
50,664,1.06581
49,996,1.59872
48,1067,1.71268
47,29,0.046549
46,639,1.02568
45,232,0.372392
44,453,0.727127
43,638,1.02408
42,478,0.767255
41,1125,1.80578
40,1257,2.01766
39,1629,2.61477
38,0,0
37,1192,1.91332
36,684,1.09791
35,1580,2.53612
34,561,0.900482
33,1117,1.79294
32,858,1.37721
31,664,1.06581
30,0,0
29,941,1.51043
28,258,0.414125
27,513,0.823435
26,1311,2.10433
25,3113,4.99679
24,707,1.13483
23,271,0.434992
22,1962,3.14928
21,1211,1.94382
20,2151,3.45265
19,584,0.9374
18,674,1.08186
17,528,0.847512
16,1067,1.71268
15,892,1.43178
14,0,0
13,1090,1.7496
12,983,1.57785
11,440,0.70626
10,605,0.971108
9,1512,2.42697
8,48,0.0770465
7,1663,2.66934
6,528,0.847512
5,459,0.736758
4,426,0.683788
3,727,1.16693
2,587,0.942215
1,577,0.926164
0,172,0.276083
