source,destination,link_id,used_rate_c,usage,capacity_c
53,26,151,164,0.0813492,2016
53,40,148,169,0.0838294,2016
53,9,146,205,0.101687,2016
52,30,79,0,0,2016
52,14,37,0,0,2016
51,49,144,738,0.544282,1355.91
51,29,142,68,0.0501507,1355.91
51,25,140,1061.84,0.756186,1404.2
51,21,138,165,0.121689,1355.91
51,20,136,49,0.0288688,1697.33
51,20,134,50,0.0294579,1697.33
51,3,132,109,0.0803886,1355.91
50,42,109,49,0.0243056,2016
50,20,49,38,0.022388,1697.33
49,51,145,772.84,0.569978,1355.91
49,31,130,393,0.19494,2016
49,1,128,91,0.0451389,2016
49,11,25,402,0.199405,2016
48,25,126,12,0.00854576,1404.2
48,16,124,12,0.00595238,2016
48,17,43,0,0,2016
47,46,123,5,0.00248016,2016
47,38,101,0,0,2016
46,47,122,5,0.00248016,2016
46,44,120,109,0.0540675,2016
46,22,118,468,0.304125,1538.84
46,19,116,381,0.188988,2016
46,30,77,0,0,2016
45,25,114,8,0.00569718,1404.2
45,0,112,7,0.00347222,2016
44,46,121,112,0.0555556,2016
44,2,5,45,0.0223214,2016
43,1,110,43,0.0213294,2016
43,21,51,29,0.0143849,2016
42,50,108,49,0.0243056,2016
42,19,47,56,0.0277778,2016
41,39,106,172,0.104525,1645.55
41,37,104,6,0.00297619,2016
41,7,17,247,0.143402,1722.43
40,53,149,200,0.0992063,2016
40,22,102,285,0.185204,1538.84
40,34,89,5,0.00248016,2016
40,32,83,67,0.0332341,2016
39,31,156,386,0.234572,1645.55
39,37,155,146,0.0887243,1645.55
39,41,107,225,0.136733,1645.55
39,15,39,87,0.05287,1645.55
39,5,9,118,0.0717087,1645.55
38,47,100,0,0,2016
38,14,35,0,0,2016
37,39,154,154,0.0935859,1645.55
37,41,105,6,0.00297619,2016
37,7,15,128,0.0743136,1722.43
36,18,98,19,0.0094246,2016
36,10,23,63,0.03125,2016
35,25,96,345,0.245691,1404.2
35,12,94,56.8402,0.0281946,2016
35,9,92,161,0.0798611,2016
35,4,90,0,0,2016
34,40,88,5,0.00248016,2016
34,22,86,71,0.0461386,1538.84
33,20,160,8,0.00471327,1697.33
33,16,84,12,0.00595238,2016
32,7,152,63,0.0365762,1722.43
32,40,82,67,0.0332341,2016
31,39,157,408,0.247942,1645.55
31,49,131,420,0.208333,2016
31,8,80,6,0.00297619,2016
31,5,7,73,0.0362103,2016
30,52,78,0,0,2016
30,46,76,0,0,2016
29,51,143,68,0.0501507,1355.91
29,25,74,58,0.0413045,1404.2
28,25,72,0,0,1404.2
28,24,70,0,0,2016
27,26,69,46,0.0228175,2016
27,22,59,148,0.0961763,1538.84
26,53,150,114,0.0565476,2016
26,27,68,46,0.0228175,2016
26,25,66,230,0.163794,1404.2
26,22,57,466,0.302825,1538.84
26,10,21,125,0.062004,2016
25,51,141,1002,0.713571,1404.2
25,48,127,12,0.00854576,1404.2
25,45,115,9,0.00640932,1404.2
25,35,97,325.84,0.232046,1404.2
25,29,75,56,0.0398802,1404.2
25,28,73,0,0,1404.2
25,26,67,228,0.16237,1404.2
25,24,65,13,0.00925791,1404.2
25,22,55,1538.84,1,1538.84
25,6,11,0,0,1404.2
24,28,71,0,0,2016
24,25,64,13,0.00925791,1404.2
24,23,63,0,0,2016
24,22,53,14,0.00909776,1538.84
23,24,62,0,0,2016
23,22,60,0,0,1538.84
22,46,119,571,0.371059,1538.84
22,40,103,243,0.157911,1538.84
22,34,87,57,0.0370409,1538.84
22,23,61,0,0,1538.84
22,27,58,117,0.0760313,1538.84
22,26,56,316,0.205349,1538.84
22,25,54,1538.84,1,1538.84
22,24,52,13,0.00844792,1538.84
22,7,13,301,0.174753,1722.43
22,0,1,6,0.00389904,1538.84
21,13,158,92,0.0456349,2016
21,51,139,162,0.119477,1355.91
21,43,50,26,0.0128968,2016
20,33,161,8,0.00471327,1697.33
20,51,137,53,0.0312254,1697.33
20,51,135,48,0.0282796,1697.33
20,50,48,39,0.0229772,1697.33
20,2,3,46,0.0271013,1697.33
19,46,117,420,0.208333,2016
19,42,46,58,0.0287698,2016
19,11,44,227,0.112599,2016
18,36,99,19,0.0094246,2016
18,9,19,46,0.0228175,2016
17,48,42,0,0,2016
17,6,40,0,0,2016
16,48,125,12,0.00595238,2016
16,33,85,12,0.00595238,2016
15,39,38,87,0.05287,1645.55
15,13,33,73,0.0362103,2016
14,52,36,0,0,2016
14,38,34,0,0,2016
13,21,159,83,0.0411706,2016
13,15,32,72,0.0357143,2016
13,3,30,67,0.0332341,2016
12,35,95,61,0.0302579,2016
12,9,28,17,0.00843254,2016
12,4,26,0,0,2016
11,19,45,227,0.112599,2016
11,49,24,436,0.21627,2016
10,36,22,60,0.0297619,2016
10,26,20,132,0.0654762,2016
9,53,147,223,0.110615,2016
9,35,93,161,0.0798611,2016
9,12,29,17,0.00843254,2016
9,18,18,46,0.0228175,2016
8,31,81,6,0.00297619,2016
7,32,153,63,0.0365762,1722.43
7,41,16,139,0.0806999,1722.43
7,37,14,133,0.0772165,1722.43
7,22,12,453,0.263001,1722.43
6,17,41,0,0,2016
6,25,10,0,0,1404.2
5,39,8,118,0.0717087,1645.55
5,31,6,96,0.047619,2016
4,35,91,0,0,2016
4,12,27,0,0,2016
3,51,133,124,0.0914513,1355.91
3,13,31,53,0.0262897,2016
2,44,4,45,0.0223214,2016
2,20,2,48,0.0282796,1697.33
1,49,129,90,0.0446429,2016
1,43,111,43,0.0213294,2016
0,45,113,6,0.00297619,2016
0,22,0,7,0.00454888,1538.84
