source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0.80559,2,0.402795,5,2.2,1
0,4,1,1.13504,3,0.378348,13,2.61538,2
0,5,2,0.853717,3,0.284572,16,2.875,2
0,7,3,0.721406,4,0.180352,14,2.5,1
1,2,4,0.402795,1,0.402795,3,1.66667,1
4,5,5,0.771623,2,0.385811,4,1.75,1
4,6,6,0.80559,2,0.402795,3,1.66667,1
3,4,7,0.402795,1,0.402795,2,1.5,1
3,9,8,0.394575,1,0.394575,7,2,1
0,10,9,0.179502,1,0.179502,3,1.66667,1
10,5,10,1.15898,3,0.386328,8,2.25,1
10,6,11,0.80559,2,0.402795,6,2.33333,1
0,6,12,0.185929,1,0.185929,3,1.66667,1
6,8,13,1.26625,4,0.316561,5,2,1
2,9,14,1.57653,5,0.315306,16,2.6875,1
1,9,15,0.650863,2,0.325431,6,2.16667,1
3,8,16,0.402795,1,0.402795,3,2,1
7,9,17,0.709745,3,0.236582,8,2.25,1
2,3,18,0.402795,1,0.402795,7,2.28571,2
2,6,19,0.656555,3,0.218852,18,2.88889,2
10,8,20,1.10443,5,0.220887,13,2.69231,1
6,7,21,1.1921,3,0.397368,6,2.16667,1
