source,destination,link_id,used_rate_c,usage,capacity_c
10,8,76,0.587302,1,0.587302
10,5,74,0.575342,1,0.575342
10,2,64,0.355842,0.645341,0.551402
10,3,50,0.532417,0.967224,0.550459
10,7,48,0.543307,1,0.543307
10,6,46,0.55914,1,0.55914
10,1,45,0.56044,1,0.56044
10,0,43,0,0,0.554455
9,5,69,0.340728,0.592217,0.575342
9,2,61,0,0,0.551402
9,1,59,0.115084,0.205346,0.56044
9,0,57,0,0,0.554455
9,6,55,0,0,0.55914
9,3,41,0.0164406,0.0298671,0.550459
9,7,39,0.082203,0.151301,0.543307
9,8,36,0.55914,0.952049,0.587302
8,10,77,0,0,0.587302
8,6,71,0.0411015,0.0735085,0.55914
8,9,37,0.55076,0.937781,0.587302
8,4,35,0.378134,0.677787,0.557895
8,2,29,0,0,0.551402
8,3,21,0.176321,0.320317,0.550459
8,0,7,0,0,0.554455
7,0,73,0,0,0.554455
7,10,49,0,0,0.543307
7,9,38,0.543307,1,0.543307
7,4,33,0.27127,0.486239,0.557895
7,2,27,0.0082203,0.014908,0.551402
7,5,23,0.50518,0.878051,0.575342
7,3,19,0.205206,0.372791,0.550459
7,1,17,0.27949,0.498698,0.56044
7,6,1,0.55914,1,0.55914
6,4,81,0.557895,1,0.557895
6,8,70,0.55914,1,0.55914
6,9,54,0.55914,1,0.55914
6,3,52,0.550459,1,0.550459
6,10,47,0.0411015,0.0735085,0.55914
6,0,5,0,0,0.554455
6,7,0,0.55914,1,0.55914
5,3,83,0.0164406,0.0298671,0.550459
5,10,75,0,0,0.575342
5,9,68,0.575342,1,0.575342
5,4,31,0.0904233,0.16208,0.557895
5,2,25,0,0,0.551402
5,7,22,0,0,0.575342
5,1,15,0,0,0.56044
4,6,80,0.557895,1,0.557895
4,3,79,0.509659,0.92588,0.550459
4,2,67,0,0,0.551402
4,8,34,0.557895,1,0.557895
4,7,32,0.55076,0.987212,0.557895
4,5,30,0.557895,1,0.557895
4,1,13,0.115084,0.205346,0.56044
3,5,82,0.422629,0.767776,0.550459
3,4,78,0.493218,0.896013,0.550459
3,6,53,0.550459,1,0.550459
3,10,51,0,0,0.550459
3,9,40,0.550459,1,0.550459
3,8,20,0.550459,1,0.550459
3,7,18,0.476778,0.866146,0.550459
3,1,11,0.246609,0.440028,0.56044
2,4,66,0.551402,1,0.551402
2,10,65,0.212286,0.384992,0.551402
2,9,60,0.551402,1,0.551402
2,8,28,0.551402,1,0.551402
2,7,26,0.551402,1,0.551402
2,5,24,0.551402,1,0.551402
2,1,9,0.56044,1,0.56044
2,0,3,0,0,0.554455
1,0,63,0,0,0.554455
1,9,58,0.56044,1,0.56044
1,10,44,0.0164406,0.0293352,0.56044
1,7,16,0.257533,0.45952,0.56044
1,5,14,0.513354,0.915984,0.56044
1,4,12,0.467471,0.834116,0.56044
1,3,10,0.486298,0.867708,0.56044
1,2,8,0.378134,0.67471,0.56044
0,7,72,0.554455,1,0.554455
0,1,62,0.554455,1,0.554455
0,9,56,0.554455,1,0.554455
0,10,42,0.554455,1,0.554455
0,8,6,0.554455,1,0.554455
0,6,4,0.554455,1,0.554455
0,2,2,0.554455,1,0.554455
