source,destination,link_id,used_rate,usage,link_capa
10,8,76,1,1,1
10,5,74,1,1,1
10,2,64,0.5,0.5,1
10,3,50,1,1,1
10,7,48,0.5,0.5,1
10,6,46,1,1,1
10,1,45,1,1,1
10,0,43,0,0,1
9,5,69,1,1,1
9,2,61,0,0,1
9,1,59,0,0,1
9,0,57,0,0,1
9,6,55,0,0,1
9,3,41,0,0,1
9,7,39,0,0,1
9,8,36,1,1,1
8,10,77,0,0,1
8,6,71,0,0,1
8,9,37,0.5,0.5,1
8,4,35,0.5,0.5,1
8,2,29,0,0,1
8,3,21,1,1,1
8,0,7,0,0,1
7,0,73,0,0,1
7,10,49,0,0,1
7,9,38,1,1,1
7,4,33,1,1,1
7,2,27,0,0,1
7,5,23,0.5,0.5,1
7,3,19,2.4187e-16,2.4187e-16,1
7,1,17,0,0,1
7,6,1,1,1,1
6,4,81,0,0,1
6,8,70,1,1,1
6,9,54,1,1,1
6,3,52,1,1,1
6,10,47,0,0,1
6,0,5,0,0,1
6,7,0,1,1,1
5,3,83,-1.05262e-16,-1.05262e-16,1
5,10,75,0,0,1
5,9,68,1,1,1
5,4,31,0,0,1
5,2,25,0,0,1
5,7,22,0,0,1
5,1,15,0,0,1
4,6,80,1,1,1
4,3,79,0.5,0.5,1
4,2,67,0,0,1
4,8,34,1,1,1
4,7,32,0.5,0.5,1
4,5,30,1,1,1
4,1,13,0,0,1
3,5,82,0.5,0.5,1
3,4,78,0.5,0.5,1
3,6,53,0.5,0.5,1
3,10,51,0,0,1
3,9,40,1,1,1
3,8,20,1,1,1
3,7,18,1,1,1
3,1,11,0,0,1
2,4,66,1,1,1
2,10,65,0.5,0.5,1
2,9,60,1,1,1
2,8,28,1,1,1
2,7,26,1,1,1
2,5,24,0.5,0.5,1
2,1,9,1,1,1
2,0,3,0,0,1
1,0,63,0,0,1
1,9,58,1,1,1
1,10,44,0,0,1
1,7,16,0.5,0.5,1
1,5,14,0.5,0.5,1
1,4,12,1,1,1
1,3,10,3.96508e-18,3.96508e-18,1
1,2,8,0.5,0.5,1
0,7,72,1,1,1
0,1,62,1,1,1
0,9,56,1,1,1
0,10,42,1,1,1
0,8,6,1,1,1
0,6,4,1,1,1
0,2,2,1,1,1
